elemZ,elemA,elemSymb,TypeII,W7,W70,WDD1,WDD2,WDD3,CDD1,CDD2
6,12,C,0.057463768115942025,0.035,0.03681159420289856,0.0039275362318840585,0.006514492753623188,0.012028985507246378,0.007195652173913044,0.003681159420289855
6,13,C,2.753623188405797e-09,1.0144927536231885e-06,1.1304347826086956e-09,3.666666666666667e-07,2.391304347826087e-07,2.2971014492753626e-07,6.130434782608696e-07,3.014492753623189e-07
7,14,N,0.0011304347826086958,8.405797101449277e-07,2.3985507246376813e-08,0.00020579710144927533,0.00019492753623188402,0.00013188405797101452,6.565217391304347e-05,6.543478260869566e-05
7,15,N,1.2028985507246377e-08,9.565217391304347e-10,2.992753623188406e-07,7.239130434782609e-07,3.855072463768117e-07,8.768115942028984e-08,1.8333333333333336e-07,1.789855072463768e-07
8,16,O,1.3043478260869568,0.10362318840579712,0.09637681159420293,0.06391304347826088,0.04768115942028986,0.040434782608695666,0.06768115942028986,0.042246376811594204
8,17,O,7.159420289855074e-08,2.565217391304348e-08,2.41304347826087e-10,2.7318840579710146e-06,3.318840579710145e-06,2.608695652173913e-06,6.920289855072464e-07,7.318840579710145e-07
8,18,O,0.0033405797101449283,5.978260869565219e-10,1.949275362318841e-10,4.985507246376812e-07,4.601449275362319e-07,1.7318840579710148e-07,1.5072463768115944e-07,1.391304347826087e-07
9,19,F,8.405797101449276e-10,4.1086956521739136e-10,9.927536231884057e-11,1.2318840579710149e-09,3.260869565217392e-10,1.6666666666666669e-10,4.224637681159421e-10,3.0724637681159423e-10
10,20,Ne,0.1536231884057971,0.0014637681159420293,0.0016594202898550724,0.0009347826086956524,0.0004507246376811594,0.00032971014492753627,0.0008405797101449276,0.0004384057971014493
10,21,Ne,0.0007826086956521741,6.130434782608696e-06,2.036231884057971e-08,8.405797101449275e-06,1.0072463768115943e-06,1.246376811594203e-06,2.630434782608696e-06,1.4420289855072462e-06
10,22,Ne,0.013260869565217392,0.0018043478260869566,1.5579710144927537e-08,0.00010942028985507249,0.000305072463768116,0.0005978260869565218,0.0003195652173913044,0.00015289855072463766
11,23,Na,0.004717391304347826,4.5797101449275374e-05,1.0217391304347823e-05,6.355072463768116e-05,1.891304347826087e-05,2.1811594202898557e-05,3.695652173913044e-05,2.536231884057971e-05
12,24,Mg,0.06398550724637682,0.0061594202898550745,0.011449275362318843,0.005471014492753624,0.003239130434782609,0.001898550724637681,0.0055942028985507255,0.0030434782608695647
12,25,Mg,0.010434782608695651,2.934782608695653e-05,1.1884057971014493e-07,5.963768115942029e-05,1.9275362318840584e-05,1.9420289855072467e-05,3.514492753623189e-05,2.3550724637681165e-05
12,26,Mg,0.014565217391304347,2.304347826086957e-05,1.355072463768116e-07,4.528985507246378e-05,1.8768115942028985e-05,1.0217391304347823e-05,3.594202898550725e-05,2.1521739130434784e-05
13,27,Al,0.010724637681159421,0.0007144927536231883,8.188405797101451e-05,0.0003173913043478261,0.00017898550724637687,0.00010217391304347824,0.00032246376811594215,0.00017028985507246383
14,28,Si,0.07608695652173914,0.11159420289855074,0.10289855072463767,0.1971014492753624,0.14927536231884062,0.11449275362318842,0.20072463768115945,0.14347826086956522
14,29,Si,0.006514492753623188,0.0006579710144927536,4.195652173913044e-05,0.00039637681159420285,0.00024637681159420295,0.00015434782608695654,0.0004,0.00023333333333333336
14,30,Si,0.0058333333333333345,0.0012246376811594205,5.159420289855074e-05,0.0007463768115942032,0.0004644927536231884,0.00028115942028985507,0.0007608695652173912,0.00044492753623188406
15,31,P,0.0008768115942028986,0.00025869565217391305,6.608695652173914e-05,0.00017246376811594203,0.00011594202898550728,7.7536231884058e-05,0.00017391304347826083,0.00011014492753623191
16,32,S,0.02782608695652174,0.061304347826086965,0.06623188405797102,0.11594202898550725,0.08840579710144927,0.06789855072463769,0.11811594202898552,0.08478260869565217
16,33,S,0.00012898550724637682,0.00030724637681159425,4.398550724637681e-05,0.00019855072463768121,0.00013913043478260868,9.710144927536232e-05,0.0001963768115942029,0.00012971014492753626
16,34,S,0.001898550724637681,0.0014347826086956526,1.2608695652173915e-05,0.0020000000000000005,0.0014782608695652173,0.0010579710144927538,0.0020072463768115944,0.0013768115942028984
16,36,S,1.289855072463768e-06,3.028985507246377e-07,2.471014492753624e-11,1.6159420289855074e-07,9.492753623188406e-08,5.391304347826087e-08,1.6086956521739132e-07,9.057971014492754e-08
17,35,Cl,7.318840579710145e-05,9.927536231884061e-05,7.681159420289856e-06,6.72463768115942e-05,5.123188405797103e-05,3.86231884057971e-05,6.543478260869566e-05,4.753623188405797e-05
17,37,Cl,1.3623188405797106e-05,2.659420289855073e-05,4.028985507246376e-06,2.130434782608696e-05,1.6376811594202898e-05,1.239130434782609e-05,2.0724637681159423e-05,1.5289855072463768e-05
18,36,Ar,0.0047971014492753615,0.01065217391304348,0.013840579710144928,0.022536231884057973,0.01746376811594203,0.01355072463768116,0.023043478260869568,0.016956521739130436
18,38,Ar,0.0009927536231884061,0.0006884057971014492,4.782608695652174e-07,0.0008913043478260869,0.0007173913043478263,0.0005391304347826088,0.0008695652173913044,0.0006710144927536232
18,40,Ar,1.6449275362318842e-08,1.3550724637681162e-08,2.4782608695652183e-12,5.659420289855072e-09,3.760869565217392e-09,2.579710144927537e-09,5.478260869565218e-09,3.492753623188406e-09
19,39,K,4.5144927536231876e-05,5.239130434782609e-05,1.210144927536232e-06,4.898550724637681e-05,4.1086956521739134e-05,3.2753623188405796e-05,4.6304347826086966e-05,3.869565217391305e-05
