  ele   Z    A    013a000     015a000     020a000     025a000     030a000     040a000     060a000     080a000     120a000
H       1    1  7.4330E-01  7.1346E-01  6.4522E-01  6.0740E-01  5.8673E-01  5.3958E-01  4.9951E-01  4.6143E-01  4.4163E-01
H2      1    2  8.7324E-03  9.3173E-03  1.0878E-02  1.0811E-02  1.0971E-02  1.0713E-02  1.0572E-02  1.0570E-02  1.0425E-02
He3     2    3  1.0202E+00  9.4536E-01  8.1924E-01  7.6011E-01  7.3598E-01  6.7736E-01  6.3055E-01  5.6689E-01  4.8898E-01
He4     2    4  1.5223E+00  1.4455E+00  1.4707E+00  1.3591E+00  1.3854E+00  1.3542E+00  1.4958E+00  1.5521E+00  1.7346E+00
Li6     3    6  8.7323E-03  9.3174E-03  1.0925E-02  1.0896E-02  1.1100E-02  1.0926E-02  1.0930E-02  1.1041E-02  1.1029E-02
Li7     3    7  8.7323E-03  9.3174E-03  1.1555E-02  1.1657E-02  1.1972E-02  1.2308E-02  1.1802E-02  1.1306E-02  1.1359E-02
Be9     4    9  1.2560E-02  1.2239E-02  2.1300E-02  2.0889E-02  2.0951E-02  1.9959E-02  1.8957E-02  1.5837E-02  1.5876E-02
B10     5   10  3.0173E-02  2.8682E-02  2.8534E-02  3.5170E-02  3.4784E-02  3.2548E-02  3.0342E-02  2.5766E-02  2.5155E-02
B11     5   11  2.1539E-01  2.0678E-01  1.8876E-01  1.7936E-01  1.7620E-01  1.6866E-01  1.6323E-01  1.5181E-01  1.4435E-01
C12     6   12  4.2229E+00  7.0266E+00  9.4704E+00  1.1391E+01  1.2531E+01  1.3124E+01  2.2681E+01  2.4015E+01  2.2040E+01
C13     6   13  2.1141E+00  2.0435E+00  1.9874E+00  1.9484E+00  1.8666E+00  1.7041E+00  1.0666E+00  7.8876E-01  7.2790E-01
N14     7   14  4.1452E+00  3.9400E+00  3.4225E+00  3.6937E+00  3.7290E+00  4.1204E+00  5.2598E+00  5.4230E+00  6.2085E+00
N15     7   15  3.4621E-01  3.2820E-01  4.3086E-01  3.2446E-01  3.7666E-01  3.5528E-01  2.6237E-01  2.4609E-01  2.4001E-01
