 ele  Z   A   PFAv000     PFAv150     PFAv300     PFBv000     PFBv150     PFBv300     PFCv000     PFCv150     PFCv300     PFDv000     PFDv150     PFDv300      YAv000      YAv150      YAv300      YBv000      YBv150      YBv300      YCv000      YCv150      YCv300      YDv000      YDv150      YDv300     PFAvavg     PFBvavg     PFCvavg     PFDvavg      YAvavg      YBvavg      YCvavg      YDvavg       iniA        iniB        iniC        iniD 
  H     1    0  5.7249E-01  4.4884E-01  3.9093E-01  5.4336E-01  4.3378E-01  4.1404E-01  5.3964E-01  4.7447E-01  4.2261E-01  5.4665E-01  4.4026E-01  4.2120E-01  3.8976E-01  3.0315E-01  2.6151E-01  3.7830E-01  2.9457E-01  2.8021E-01  3.8425E-01  3.0862E-01  2.8689E-01  3.8833E-01  3.0163E-01  2.9084E-01  5.7248E-01  5.4336E-01  5.3964E-01  5.4665E-01  3.8976E-01  3.7830E-01  3.8425E-01  3.8832E-01  7.2158E-01  7.4679E-01  7.5971E-01  7.6000E-01
  He    2    0  1.4672E+00  1.4544E+00  1.6888E+00  1.4704E+00  1.3226E+00  1.2989E+00  1.5381E+00  1.1066E+00  9.9622E-01  1.4432E+00  1.0149E+00  9.7142E-01  3.6689E-01  3.6080E-01  4.1492E-01  3.4275E-01  3.0071E-01  2.9432E-01  3.4603E-01  2.2741E-01  2.1367E-01  3.2378E-01  2.1959E-01  2.1185E-01  1.4672E+00  1.4704E+00  1.5381E+00  1.4431E+00  3.6689E-01  3.4275E-01  3.4603E-01  3.2378E-01  2.6503E-01  2.5003E-01  2.4003E-01  2.4003E-01
  Li    3    0  1.1297E-02  2.1669E-03  1.6037E-03  1.0654E-02  1.0857E-01  9.4809E-02  1.8473E-02  8.1006E-02  3.6591E-02  5.9245E-03  1.7882E-02  2.3522E-02  9.6592E-11  1.8381E-11  1.3472E-11  2.0359E-11  2.0236E-10  1.7611E-10  3.5488E-11  1.4216E-10  6.7017E-11  1.1350E-11  3.3042E-11  4.3804E-11  1.1297E-02  1.0659E-02  1.8476E-02  5.9251E-03  9.6588E-11  2.0369E-11  3.5494E-11  1.1352E-11  9.0621E-09  2.0497E-09  2.0497E-09  2.0497E-09
  Be    4    0  1.8225E-02  3.1181E-03  2.4614E-03  1.3257E-02  1.4415E-03  7.7226E-04  9.2857E-03  1.8832E-04  1.0401E-04  4.0004E-03  9.0254E-05  5.0038E-05  2.7322E-12  4.6374E-13  3.6256E-13  1.9839E-13  2.1039E-14  1.1233E-14  1.3969E-14  2.5880E-16  1.4918E-16  6.0018E-16  1.3059E-17  7.2972E-18  1.8225E-02  1.3257E-02  9.2853E-03  4.0002E-03  2.7321E-12  1.9838E-13  1.3969E-14  6.0015E-16  1.5889E-10  1.6051E-11  1.6051E-12  1.6051E-13
  B     5    0  1.4839E-01  4.5541E-02  2.3080E-02  1.2205E-01  2.7036E-02  8.3654E-03  8.3667E-02  7.7539E-03  6.0478E-04  5.5506E-02  3.4422E-03  1.7969E-04  5.5779E-10  1.6983E-10  8.5245E-11  4.5795E-11  9.8945E-12  3.0511E-12  3.1561E-12  2.6719E-13  2.1750E-14  2.0881E-13  1.2489E-14  6.5707E-16  1.4838E-01  1.2205E-01  8.3663E-02  5.5504E-02  5.5777E-10  4.5793E-11  3.1559E-12  2.0880E-13  3.9841E-09  4.0247E-10  4.0247E-11  4.0247E-12
  C     6    0  1.4513E+01  2.3151E+01  2.2607E+01  6.8826E+01  1.0993E+02  1.1385E+02  6.6298E+02  1.0246E+03  1.1047E+03  6.8138E+03  9.0568E+03  1.3081E+04  3.2588E-02  5.1571E-02  4.9877E-02  2.8432E-02  4.4294E-02  4.5719E-02  2.7533E-02  3.8870E-02  4.3740E-02  2.8221E-02  3.6177E-02  5.2660E-02  1.4513E+01  6.8828E+01  6.6300E+02  6.8139E+03  3.2589E-02  2.8432E-02  2.7534E-02  2.8221E-02  2.3799E-03  4.4310E-04  4.4310E-05  4.4310E-06
  N     7    0  4.3893E+00  5.7876E+00  7.9642E+00  1.0600E+01  4.7553E+01  3.6494E+01  1.2015E+01  3.1393E+02  2.5338E+02  1.2499E+01  2.0505E+03  3.7964E+03  2.8861E-03  3.7753E-03  5.1453E-03  6.8859E-04  3.0131E-03  2.3046E-03  7.8469E-05  1.8729E-03  1.5776E-03  8.1407E-06  1.2881E-03  2.4035E-03  4.3894E+00  1.0602E+01  1.2030E+01  1.2603E+01  2.8862E-03  6.8871E-04  7.8564E-05  8.2088E-06  6.9691E-04  6.9682E-05  6.9682E-06  6.9682E-07
  O     8    0  1.9028E+01  2.7729E+01  2.6183E+01  7.1505E+01  1.1023E+02  1.1356E+02  7.1843E+02  1.2337E+03  1.4548E+03  7.9719E+03  1.4732E+04  1.5390E+04  1.0360E-01  1.4978E-01  1.4007E-01  1.3647E-01  2.0520E-01  2.1069E-01  1.3785E-01  2.1624E-01  2.6613E-01  1.5254E-01  2.7188E-01  2.8625E-01  1.9029E+01  7.1507E+01  7.1845E+02  7.9722E+03  1.0360E-01  1.3648E-01  1.3785E-01  1.5255E-01  5.7706E-03  2.0472E-03  2.0472E-04  2.0472E-05
  F     9    0  9.3623E-01  1.3546E+01  7.9977E+00  6.4646E+00  1.5763E+02  3.8395E+02  7.3844E+00  1.3272E+03  1.8018E+03  1.0702E+01  6.4769E+04  4.0101E+04  4.4860E-07  6.4394E-06  3.7653E-06  3.0603E-07  7.2784E-06  1.7668E-05  3.5144E-08  5.7701E-06  8.1754E-06  5.0796E-09  2.9648E-05  1.8500E-05  9.3690E-01  6.4725E+00  7.4486E+00  1.4025E+01  4.4892E-07  3.0640E-07  3.5449E-08  6.6564E-09  5.0785E-07  5.0778E-08  5.0778E-09  5.0778E-10
  Ne   10    0  1.7154E+01  1.5617E+01  1.6200E+01  1.4784E+02  1.7766E+02  2.0517E+02  1.5184E+03  1.9477E+03  2.4203E+03  1.4819E+04  2.3192E+04  2.1230E+04  2.0424E-02  1.8446E-02  1.8951E-02  1.7390E-02  2.0383E-02  2.3459E-02  1.7956E-02  2.1040E-02  2.7287E-02  1.7476E-02  2.6379E-02  2.4336E-02  1.7154E+01  1.4784E+02  1.5185E+03  1.4820E+04  2.0424E-02  1.7390E-02  1.7956E-02  1.7477E-02  1.2619E-03  1.2617E-04  1.2617E-05  1.2617E-06
