 ele  Z   A   PFAv000     PFAv150     PFAv300     PFBv000     PFBv150     PFBv300     PFCv000     PFCv150     PFCv300     PFDv000     PFDv150     PFDv300      YAv000      YAv150      YAv300      YBv000      YBv150      YBv300      YCv000      YCv150      YCv300      YDv000      YDv150      YDv300     PFAvavg     PFBvavg     PFCvavg     PFDvavg      YAvavg      YBvavg      YCvavg      YDvavg       iniA        iniB        iniC        iniD 
H       1    1  5.7257E-01  4.4892E-01  3.9095E-01  5.4342E-01  4.3379E-01  4.1407E-01  5.3969E-01  4.7449E-01  4.2264E-01  5.4669E-01  4.4028E-01  4.2122E-01  3.8976E-01  3.0315E-01  2.6151E-01  3.7830E-01  2.9457E-01  2.8021E-01  3.8425E-01  3.0862E-01  2.8689E-01  3.8833E-01  3.0163E-01  2.9084E-01  5.7257E-01  5.4341E-01  5.3969E-01  5.4669E-01  3.8976E-01  3.7830E-01  3.8425E-01  3.8832E-01  7.2155E-01  7.4676E-01  7.5968E-01  7.5997E-01
H2      1    2  1.0476E-02  1.0823E-04  4.7531E-05  9.8442E-03  1.6751E-05  1.6864E-05  8.7512E-03  2.6288E-06  2.5210E-06  3.9980E-03  4.9934E-07  4.9536E-07  2.9095E-07  2.9820E-09  1.2972E-09  2.7295E-07  4.5304E-10  4.5454E-10  2.4394E-07  6.6943E-11  6.6998E-11  1.1115E-07  1.3388E-11  1.3386E-11  1.0475E-02  9.8437E-03  8.7507E-03  3.9978E-03  2.9093E-07  2.7294E-07  2.4393E-07  1.1114E-07  2.9439E-05  2.9743E-05  2.9743E-05  2.9743E-05
He3     2    3  7.2276E-01  4.0723E-01  2.5739E-01  6.1083E-01  3.2803E-01  1.8545E-01  4.5664E-01  2.1476E-01  1.0085E-01  3.4700E-01  1.4519E-01  4.2240E-02  2.1271E-05  1.1890E-05  7.4435E-06  1.7947E-05  9.4012E-06  5.2968E-06  1.3489E-05  5.7954E-06  2.8403E-06  1.0222E-05  4.1252E-06  1.2096E-06  7.2274E-01  6.1081E-01  4.5663E-01  3.4699E-01  2.1271E-05  1.7947E-05  1.3488E-05  1.0222E-05  3.1196E-05  3.1518E-05  3.1518E-05  3.1518E-05
He4     2    4  1.4671E+00  1.4542E+00  1.6889E+00  1.4704E+00  1.3227E+00  1.2990E+00  1.5381E+00  1.1067E+00  9.9625E-01  1.4432E+00  1.0150E+00  9.7150E-01  3.6677E-01  3.6067E-01  4.1491E-01  3.4268E-01  3.0070E-01  2.9429E-01  3.4597E-01  2.2740E-01  2.1364E-01  3.2374E-01  2.1959E-01  2.1184E-01  1.4671E+00  1.4704E+00  1.5381E+00  1.4432E+00  3.6677E-01  3.4268E-01  3.4596E-01  3.2374E-01  2.6500E-01  2.5000E-01  2.4000E-01  2.4000E-01
Li6     3    6  1.0692E-02  1.4365E-03  1.0650E-03  9.8988E-03  6.1824E-04  3.9570E-04  8.7553E-03  9.8401E-05  5.6375E-05  3.9985E-03  6.6783E-05  3.7794E-05  6.0120E-12  8.0129E-13  5.8842E-13  1.2440E-12  7.5787E-14  4.8341E-14  1.1062E-12  1.1358E-14  6.7908E-15  5.0383E-13  8.1158E-15  4.6290E-15  1.0691E-02  9.8984E-03  8.7549E-03  3.9983E-03  6.0117E-12  1.2440E-12  1.1061E-12  5.0380E-13  5.9602E-10  1.3481E-10  1.3481E-10  1.3481E-10
Li7     3    7  1.1341E-02  2.2187E-03  1.6416E-03  1.0708E-02  1.1617E-01  1.0146E-01  1.9158E-02  8.6704E-02  3.9163E-02  6.0602E-03  1.9137E-02  2.5175E-02  9.0581E-11  1.7579E-11  1.2884E-11  1.9115E-11  2.0229E-10  1.7606E-10  3.4382E-11  1.4215E-10  6.7008E-11  1.0847E-11  3.3034E-11  4.3799E-11  1.1341E-02  1.0714E-02  1.9161E-02  6.0609E-03  9.0577E-11  1.9125E-11  3.4388E-11  1.0848E-11  8.4661E-09  1.9149E-09  1.9149E-09  1.9149E-09
Be9     4    9  1.8227E-02  3.1185E-03  2.4615E-03  1.3258E-02  1.4415E-03  7.7229E-04  9.2862E-03  1.8832E-04  1.0402E-04  4.0006E-03  9.0254E-05  5.0039E-05  2.7322E-12  4.6374E-13  3.6256E-13  1.9839E-13  2.1039E-14  1.1233E-14  1.3969E-14  2.5880E-16  1.4918E-16  6.0018E-16  1.3059E-17  7.2972E-18  1.8227E-02  1.3258E-02  9.2858E-03  4.0004E-03  2.7321E-12  1.9838E-13  1.3969E-14  6.0015E-16  1.5889E-10  1.6051E-11  1.6051E-12  1.6051E-13
B10     5   10  3.0226E-02  4.5040E-03  3.5274E-03  2.2745E-02  2.0898E-03  1.0686E-03  1.1953E-02  2.6173E-04  1.3503E-04  5.3647E-03  1.0709E-04  6.3487E-05  2.0932E-11  3.0942E-12  2.4003E-12  1.5723E-12  1.4091E-13  7.1804E-14  8.3070E-14  1.6616E-15  8.9465E-16  3.7181E-15  7.1587E-17  4.2771E-17  3.0225E-02  2.2744E-02  1.1953E-02  5.3645E-03  2.0931E-11  1.5722E-12  8.3066E-14  3.7179E-15  7.3404E-10  7.4151E-11  7.4151E-12  7.4151E-13
B11     5   11  1.7509E-01  5.4816E-02  2.7496E-02  1.4449E-01  3.2670E-02  1.0014E-02  9.9868E-02  9.4459E-03  7.1088E-04  6.6832E-02  4.1955E-03  2.0594E-04  5.3685E-10  1.6674E-10  8.2844E-11  4.4223E-11  9.7536E-12  2.9794E-12  3.0730E-12  2.6553E-13  2.0855E-14  2.0509E-13  1.2417E-14  6.1429E-16  1.7508E-01  1.4448E-01  9.9864E-02  6.6829E-02  5.3683E-10  4.4222E-11  3.0728E-12  2.0508E-13  3.2501E-09  3.2832E-10  3.2832E-11  3.2832E-12
C12     6   12  1.4672E+01  2.3403E+01  2.2837E+01  6.9645E+01  1.1120E+02  1.1515E+02  6.7103E+02  1.0359E+03  1.1168E+03  6.8964E+03  9.1631E+03  1.3232E+04  3.2546E-02  5.1502E-02  4.9779E-02  2.8424E-02  4.4269E-02  4.5684E-02  2.7533E-02  3.8831E-02  4.3687E-02  2.8220E-02  3.6163E-02  5.2633E-02  1.4672E+01  6.9647E+01  6.7104E+02  6.8965E+03  3.2547E-02  2.8425E-02  2.7533E-02  2.8221E-02  2.3514E-03  4.3780E-04  4.3780E-05  4.3780E-06
