  ele   Z    A    013a000     015a000     020a000     025a000     030a000     040a000     060a000     080a000     120a000
  H     1    0  7.4327E-01  7.1343E-01  6.4520E-01  6.0738E-01  8.3694E-01  7.7919E-01  6.5885E-01  6.1015E-01  5.5257E-01
  He    2    0  1.5249E+00  1.4464E+00  1.4715E+00  1.3595E+00  1.4439E+00  1.6014E+00  1.8945E+00  1.9826E+00  2.1289E+00
  Li    3    0  8.7323E-03  9.3174E-03  1.1513E-02  1.1607E-02  1.6996E-02  1.7643E-02  1.5492E-02  1.4927E-02  1.4186E-02
  Be    4    0  1.2560E-02  1.2239E-02  2.1300E-02  2.0889E-02  2.9887E-02  2.8823E-02  2.5005E-02  2.0942E-02  1.9865E-02
  B     5    0  1.8126E-01  1.7397E-01  1.5924E-01  1.5279E-01  2.1419E-01  2.0735E-01  1.8301E-01  1.7004E-01  1.5314E-01
  C     6    0  4.1977E+00  6.9670E+00  9.3808E+00  1.1278E+01  5.8080E-01  5.4819E-01  3.9046E+00  8.2473E+00  9.2142E+00
  N     7    0  4.1359E+00  3.9311E+00  3.4151E+00  3.6855E+00  5.0756E+00  5.8025E+00  6.9199E+00  7.1538E+00  7.7493E+00
  O     8    0  3.7290E+00  7.5934E+00  1.1844E+01  1.8563E+01  6.6871E-01  5.8622E-01  6.0142E-01  7.3283E-01  6.9335E-01
  F     9    0  6.3024E-01  5.9875E-01  5.8471E-01  5.3074E-01  6.3905E-01  5.5822E-01  6.2074E-01  5.2593E-01  5.4392E-01
  Ne   10    0  3.1518E+00  8.3766E+00  1.8098E+01  3.0476E+01  9.6647E-01  9.5535E-01  1.2088E+00  1.5844E+00  1.7881E+00
  Na   11    0  3.0695E+00  6.2089E+00  1.2186E+01  3.1829E+01  2.5429E+00  3.0617E+00  4.0273E+00  4.4657E+00  5.0309E+00
  Mg   12    0  2.6676E+00  4.9505E+00  9.9591E+00  9.7068E+00  9.9533E-01  9.9152E-01  9.8547E-01  9.8260E-01  9.7804E-01
  Al   13    0  3.1496E+00  5.9086E+00  1.1675E+01  1.3636E+01  1.0815E+00  1.1423E+00  1.2606E+00  1.3492E+00  1.4701E+00
  Si   14    0  9.6725E+00  1.5060E+01  1.4120E+01  1.1475E+01  1.0000E+00  1.0001E+00  1.0002E+00  1.0005E+00  1.0007E+00
  P    15    0  6.7100E+00  1.0818E+01  1.1742E+01  1.1369E+01  1.0000E+00  1.0000E+00  1.0026E+00  1.0110E+00  1.0146E+00
  S    16    0  9.0018E+00  1.4186E+01  1.0956E+01  1.1344E+01  9.9999E-01  9.9999E-01  1.0000E+00  1.0001E+00  1.0001E+00
  Cl   17    0  1.9319E+00  2.7745E+00  2.5398E+00  3.9745E+00  9.9999E-01  1.0000E+00  1.0078E+00  1.0319E+00  1.0432E+00
  Ar   18    0  8.1212E+00  1.2478E+01  9.4408E+00  1.0267E+01  9.9999E-01  1.0000E+00  9.9906E-01  9.9594E-01  9.9447E-01
  K    19    0  2.0949E+00  2.8594E+00  2.5081E+00  3.2199E+00  9.9999E-01  1.0000E+00  1.0177E+00  1.0677E+00  1.0919E+00
  Ca   20    0  6.9894E+00  1.0338E+01  8.0782E+00  8.3468E+00  9.9998E-01  1.0000E+00  9.9929E-01  9.9712E-01  9.9607E-01
  Sc   21    0  1.9954E+00  2.6699E+00  5.2777E+00  1.0565E+01  1.0000E+00  1.0000E+00  1.0212E+00  1.0732E+00  1.1003E+00
  Ti   22    0  3.8121E+00  3.7760E+00  3.2369E+00  3.7211E+00  1.0000E+00  1.0000E+00  1.0004E+00  1.0015E+00  1.0021E+00
  V    23    0  4.2322E+00  6.6009E+00  5.4976E+00  5.3769E+00  9.9997E-01  1.0000E+00  1.0077E+00  1.0174E+00  1.0225E+00
  Cr   24    0  5.6353E+00  8.1453E+00  6.5794E+00  7.5249E+00  9.9998E-01  9.9998E-01  9.9987E-01  9.9956E-01  9.9945E-01
  Mn   25    0  4.6522E+00  7.5983E+00  6.2434E+00  6.0851E+00  1.0000E+00  1.0000E+00  1.0232E+00  1.0670E+00  1.0880E+00
  Fe   26    0  6.0798E+00  5.5820E+00  4.3699E+00  3.6111E+00  1.0000E+00  1.0000E+00  9.9987E-01  9.9944E-01  9.9925E-01
  Co   27    0  5.0742E+00  4.7538E+00  6.4969E+00  8.8566E+00  9.9999E-01  1.0000E+00  1.0342E+00  1.1135E+00  1.1553E+00
  Ni   28    0  8.8710E+00  7.0378E+00  5.5789E+00  3.8842E+00  9.9998E-01  1.0000E+00  9.9813E-01  9.9451E-01  9.9255E-01
  Cu   29    0  3.1382E+00  4.6827E+00  1.0778E+01  2.6449E+01  1.0000E+00  1.0000E+00  1.0221E+00  1.0945E+00  1.1269E+00
  Zn   30    0  2.3868E+00  2.6082E+00  4.4445E+00  9.4989E+00  9.9999E-01  1.0000E+00  9.9873E-01  9.9932E-01  9.9896E-01
  Ga   31    0  2.5817E+00  3.9707E+00  1.0662E+01  3.0127E+01  9.9999E-01  1.0000E+00  1.0101E+00  1.0377E+00  1.0508E+00
  Ge   32    0  1.7983E+00  2.4463E+00  5.7236E+00  1.7471E+01  9.9999E-01  1.0000E+00  1.0007E+00  1.0051E+00  1.0070E+00
  As   33    0  2.1880E+00  3.4406E+00  8.5104E+00  2.4865E+01  9.9996E-01  9.9996E-01  9.9679E-01  9.9406E-01  9.9234E-01
  Se   34    0  1.4152E+00  1.6909E+00  3.6139E+00  1.1466E+01  9.9998E-01  9.9999E-01  9.9985E-01  1.0002E+00  1.0008E+00
  Br   35    0  1.2982E+00  1.4926E+00  3.4569E+00  1.1563E+01  1.0000E+00  9.9995E-01  9.9503E-01  9.8899E-01  9.8589E-01
  Kr   36    0  1.1477E+00  1.2765E+00  2.2785E+00  5.5721E+00  9.9998E-01  1.0000E+00  1.0029E+00  1.0098E+00  1.0127E+00
  Rb   37    0  1.2774E+00  1.5645E+00  2.9783E+00  6.5047E+00  9.9996E-01  9.9997E-01  9.9799E-01  9.9137E-01  9.8841E-01
  Sr   38    0  1.2454E+00  1.5163E+00  2.4347E+00  3.9466E+00  1.0000E+00  1.0000E+00  1.0097E+00  1.0388E+00  1.0523E+00
  Y    39    0  1.1348E+00  1.2748E+00  1.7937E+00  3.0373E+00  1.0000E+00  1.0000E+00  1.0006E+00  1.0028E+00  1.0040E+00
  Zr   40    0  1.0324E+00  1.0881E+00  1.3427E+00  2.0180E+00  9.7102E-01  9.7102E-01  9.7098E-01  9.7152E-01  9.7170E-01
  Nb   41    0  9.8765E-01  1.0094E+00  1.2024E+00  1.8853E+00  9.9999E-01  1.0000E+00  9.8830E-01  9.7664E-01  9.6922E-01
  Mo   42    0  1.1814E+00  1.1977E+00  1.2817E+00  1.5272E+00  1.1538E+00  1.1538E+00  1.1621E+00  1.1710E+00  1.1766E+00
  Xe   54    0  9.7440E-01  9.6639E-01  9.8475E-01  1.0494E+00  1.0000E+00  1.0000E+00  9.9761E-01  9.9293E-01  9.9040E-01
  Cs   55    0  9.4450E-01  9.3483E-01  9.1606E-01  9.9786E-01  9.9996E-01  9.9996E-01  9.8518E-01  9.6641E-01  9.5587E-01
