 ele  Z   A   PFAv000     PFAv150     PFAv300     PFBv000     PFBv150     PFBv300     PFCv000     PFCv150     PFCv300     PFDv000     PFDv150     PFDv300      YAv000      YAv150      YAv300      YBv000      YBv150      YBv300      YCv000      YCv150      YCv300      YDv000      YDv150      YDv300     PFAvavg     PFBvavg     PFCvavg     PFDvavg      YAvavg      YBvavg      YCvavg      YDvavg       iniA        iniB        iniC        iniD 
  H     1    0  6.7765E-01  5.3594E-01  4.5694E-01  7.0389E-01  5.6092E-01  5.4501E-01  6.6267E-01  6.3816E-01  6.1756E-01  6.5151E-01  6.5864E-01  6.5244E-01  3.8976E-01  3.0315E-01  2.6151E-01  3.0301E-01  2.7106E-01  2.8021E-01  2.0108E-01  2.8193E-01  2.8689E-01  1.8924E-01  2.7336E-01  2.9080E-01  6.7765E-01  7.0388E-01  6.6266E-01  6.5151E-01  3.8976E-01  3.0301E-01  2.0109E-01  1.8924E-01  7.2158E-01  7.4679E-01  7.5971E-01  7.6000E-01
  He    2    0  1.6285E+00  1.7065E+00  1.9428E+00  1.5022E+00  1.6299E+00  1.6581E+00  1.5410E+00  1.4403E+00  1.3924E+00  1.5023E+00  1.3381E+00  1.3408E+00  3.4403E-01  3.5455E-01  4.0838E-01  2.1651E-01  2.6371E-01  2.8542E-01  1.4774E-01  2.0104E-01  2.0436E-01  1.3781E-01  1.7540E-01  1.8874E-01  1.6285E+00  1.5022E+00  1.5410E+00  1.5022E+00  3.4403E-01  2.1651E-01  1.4774E-01  1.3781E-01  2.6503E-01  2.5003E-01  2.4003E-01  2.4003E-01
  Li    3    0  1.3372E-02  2.5874E-03  1.8745E-03  1.6772E-02  1.4666E-01  1.2480E-01  2.0680E-02  1.1913E-01  5.3470E-02  9.8310E-03  2.9498E-02  3.6440E-02  9.6592E-11  1.8381E-11  1.3472E-11  1.9816E-11  1.9452E-10  1.7611E-10  1.6930E-11  1.4200E-10  6.7017E-11  7.7012E-12  3.3018E-11  4.3802E-11  1.3372E-02  1.6779E-02  2.0687E-02  9.8325E-03  9.6588E-11  1.9825E-11  1.6937E-11  7.7025E-12  9.0621E-09  2.0497E-09  2.0497E-09  2.0497E-09
  Be    4    0  2.1573E-02  3.7232E-03  2.8770E-03  2.1442E-02  2.0256E-03  1.0166E-03  2.1789E-02  2.7727E-04  1.5199E-04  9.7839E-03  1.4898E-04  7.7521E-05  2.7322E-12  4.6374E-13  3.6256E-13  1.9839E-13  2.1039E-14  1.1233E-14  1.3969E-14  2.5880E-16  1.4918E-16  6.0018E-16  1.3059E-17  7.2972E-18  2.1572E-02  2.1440E-02  2.1788E-02  9.7832E-03  2.7321E-12  1.9838E-13  1.3969E-14  6.0015E-16  1.5889E-10  1.6051E-11  1.6051E-12  1.6051E-13
  B     5    0  1.7564E-01  5.4378E-02  2.6977E-02  1.8543E-01  3.7350E-02  1.1012E-02  1.1756E-01  1.1268E-02  8.8344E-04  6.8360E-02  5.6206E-03  2.6310E-04  5.5779E-10  1.6983E-10  8.5245E-11  4.3019E-11  9.7273E-12  3.0511E-12  1.8898E-12  2.6371E-13  2.1742E-14  1.0515E-13  1.2354E-14  6.2099E-16  1.7564E-01  1.8542E-01  1.1755E-01  6.8355E-02  5.5777E-10  4.3017E-11  1.8897E-12  1.0514E-13  3.9841E-09  4.0247E-10  4.0247E-11  4.0247E-12
  C     6    0  6.3958E+00  1.5224E+01  1.5100E+01  3.4481E+01  6.3725E+01  5.8337E+01  4.8173E+02  4.9552E+02  4.1471E+02  4.9477E+03  4.4677E+03  5.3400E+03  1.2133E-02  2.8403E-02  2.8502E-02  8.8072E-03  1.8272E-02  1.7796E-02  8.5258E-03  1.2768E-02  1.1236E-02  8.3786E-03  1.0811E-02  1.3876E-02  6.3963E+00  3.4483E+01  4.8173E+02  4.9476E+03  1.2134E-02  8.8077E-03  8.5260E-03  8.3787E-03  2.3799E-03  4.4310E-04  4.4310E-05  4.4310E-06
  N     7    0  5.1595E+00  6.9066E+00  9.3057E+00  1.0411E+01  6.2667E+01  4.5609E+01  9.8203E+00  4.4509E+02  3.5220E+02  1.1053E+01  2.7162E+03  4.6893E+03  2.8661E-03  3.7732E-03  5.1436E-03  4.1819E-04  2.8257E-03  2.1880E-03  2.7332E-05  1.8036E-03  1.5007E-03  2.9435E-06  1.0336E-03  1.9163E-03  5.1596E+00  1.0414E+01  9.8540E+00  1.1259E+01  2.8661E-03  4.1832E-04  2.7427E-05  2.9984E-06  6.9691E-04  6.9682E-05  6.9682E-06  6.9682E-07
  O     8    0  5.9553E+00  1.2780E+01  1.3386E+01  2.5521E+01  5.1048E+01  4.9238E+01  3.1904E+02  5.2413E+02  5.8242E+02  3.7896E+03  5.8394E+03  5.7175E+03  2.7392E-02  5.7810E-02  6.1264E-02  3.0117E-02  6.7625E-02  6.9396E-02  2.6088E-02  6.2397E-02  7.2908E-02  2.9650E-02  6.5284E-02  6.8643E-02  5.9557E+00  2.5523E+01  3.1906E+02  3.7897E+03  2.7394E-02  3.0119E-02  2.6090E-02  2.9652E-02  5.7706E-03  2.0472E-03  2.0472E-04  2.0472E-05
  F     9    0  5.7913E-01  1.6082E+01  9.2792E+00  9.0652E-01  1.8858E+02  2.1453E+02  7.8469E-01  1.0254E+03  1.7475E+03  1.4739E+00  7.7273E+04  1.6119E+04  2.3443E-07  6.4024E-06  3.7375E-06  2.6534E-08  6.1963E-06  7.4998E-06  1.5915E-09  3.0277E-06  5.4260E-06  2.8604E-10  2.1428E-05  4.8000E-06  5.7994E-01  9.1773E-01  8.6404E-01  7.3470E+00  2.3476E-07  2.6862E-08  1.7525E-09  1.4258E-09  5.0785E-07  5.0778E-08  5.0778E-09  5.0778E-10
  Ne   10    0  8.9515E+00  4.6470E+00  6.3046E+00  9.1865E+01  7.2513E+01  8.0431E+01  1.4493E+03  5.5084E+02  9.7602E+02  1.4580E+04  6.5990E+03  8.2342E+03  9.0038E-03  4.5968E-03  6.3098E-03  6.6812E-03  5.9202E-03  6.9864E-03  7.3038E-03  4.0415E-03  7.5300E-03  7.0303E-03  4.5468E-03  6.0927E-03  8.9513E+00  9.1863E+01  1.4492E+03  1.4579E+04  9.0036E-03  6.6812E-03  7.3036E-03  7.0302E-03  1.2619E-03  1.2617E-04  1.2617E-05  1.2617E-06
