  ele   Z    A    013a000     015a000     020a000     025a000     030a000     040a000     060a000     080a000     120a000
  H     1    0  7.4389E-01  7.1584E-01  6.4682E-01  6.0957E-01  5.9490E-01  5.4327E-01  5.0364E-01  4.6582E-01  4.4463E-01
  He    2    0  1.5262E+00  1.4521E+00  1.4758E+00  1.3661E+00  1.4055E+00  1.3643E+00  1.5087E+00  1.5673E+00  1.7465E+00
  Li    3    0  8.7396E-03  9.3489E-03  1.1542E-02  1.1648E-02  1.2081E-02  1.2301E-02  1.1842E-02  1.1396E-02  1.1415E-02
  Be    4    0  1.2571E-02  1.2281E-02  2.1354E-02  2.0964E-02  2.1244E-02  2.0096E-02  1.9115E-02  1.5988E-02  1.5985E-02
  B     5    0  1.8142E-01  1.7456E-01  1.5964E-01  1.5334E-01  1.5224E-01  1.4457E-01  1.3990E-01  1.2982E-01  1.2323E-01
  C     6    0  4.2012E+00  6.9906E+00  9.4045E+00  1.1319E+01  1.2577E+01  1.3076E+01  2.2608E+01  2.3963E+01  2.1934E+01
  N     7    0  4.1394E+00  3.9444E+00  3.4237E+00  3.6988E+00  3.7727E+00  4.1394E+00  5.2911E+00  5.4619E+00  6.2362E+00
  O     8    0  3.7313E+00  7.6157E+00  1.1873E+01  1.8624E+01  2.0716E+01  2.6898E+01  2.4161E+01  2.6121E+01  2.2435E+01
  F     9    0  6.3077E-01  6.0077E-01  5.8618E-01  5.3266E-01  8.4479E-01  3.2120E+00  4.9859E-01  4.1025E-01  4.4077E-01
  Ne   10    0  3.1545E+00  8.4049E+00  1.8144E+01  3.0586E+01  1.7437E+01  2.7121E+01  1.6117E+01  1.2721E+01  8.5413E+00
  Na   11    0  3.0721E+00  6.2299E+00  1.2217E+01  3.1944E+01  1.7462E+01  2.7734E+01  1.7129E+01  1.1255E+01  6.4215E+00
  Mg   12    0  2.6698E+00  4.9671E+00  9.9841E+00  9.7417E+00  7.0664E+00  9.7620E+00  6.9919E+00  7.1364E+00  7.8866E+00
  Al   13    0  3.1522E+00  5.9285E+00  1.1705E+01  1.3686E+01  9.7691E+00  1.4367E+01  9.4512E+00  7.5091E+00  4.5264E+00
  Si   14    0  9.0571E+00  1.2526E+01  1.2198E+01  8.6806E+00  1.3620E+01  1.0668E+01  1.0256E+01  1.1894E+01  1.1072E+01
  P    15    0  6.7152E+00  1.0850E+01  1.1771E+01  1.1408E+01  1.7207E+01  1.5799E+01  1.4413E+01  1.5791E+01  1.3476E+01
  S    16    0  8.1008E+00  1.0565E+01  8.3379E+00  7.1861E+00  1.0961E+01  8.6313E+00  9.0018E+00  1.0875E+01  9.0349E+00
  Cl   17    0  1.9330E+00  2.7759E+00  2.5481E+00  3.9913E+00  5.2782E+00  5.0803E+00  4.9547E+00  5.2525E+00  3.7625E+00
  Ar   18    0  7.2054E+00  8.8915E+00  6.8731E+00  5.9683E+00  8.3228E+00  6.9219E+00  7.3882E+00  8.9121E+00  7.4432E+00
  K    19    0  2.0956E+00  2.8471E+00  2.5472E+00  3.2768E+00  4.2686E+00  4.1513E+00  4.3299E+00  4.7126E+00  3.8902E+00
  Ca   20    0  6.0769E+00  6.8365E+00  5.4905E+00  3.8512E+00  4.2158E+00  4.0174E+00  4.0654E+00  5.1045E+00  4.9843E+00
  Sc   21    0  1.9925E+00  2.6615E+00  5.2894E+00  1.0588E+01  1.4415E+01  1.9548E+01  1.9380E+01  2.1675E+01  1.5949E+01
  Ti   22    0  3.6064E+00  3.2770E+00  2.9611E+00  3.1191E+00  2.7453E+00  3.1963E+00  2.9822E+00  3.2258E+00  2.9623E+00
  V    23    0  3.7025E+00  4.2318E+00  3.6389E+00  2.4690E+00  2.6118E+00  2.3973E+00  2.4738E+00  2.8031E+00  2.8641E+00
  Cr   24    0  4.8949E+00  5.1090E+00  4.2190E+00  2.8264E+00  2.3150E+00  1.7985E+00  1.6727E+00  1.6662E+00  1.5327E+00
  Mn   25    0  4.0239E+00  4.6749E+00  3.9131E+00  2.2450E+00  1.8757E+00  1.3745E+00  1.3111E+00  1.4097E+00  1.3895E+00
  Fe   26    0  6.0507E+00  5.4235E+00  4.2248E+00  3.4271E+00  3.0196E+00  2.3932E+00  1.8843E+00  1.6380E+00  1.4260E+00
  Co   27    0  5.2778E+00  5.6013E+00  7.1027E+00  1.0071E+01  8.0367E+00  9.3498E+00  8.2205E+00  6.3412E+00  4.7740E+00
  Ni   28    0  9.5161E+00  8.4800E+00  6.6865E+00  5.8381E+00  5.4453E+00  4.8209E+00  3.9508E+00  3.7066E+00  2.9487E+00
  Cu   29    0  3.1588E+00  4.7561E+00  1.0851E+01  2.6618E+01  3.1727E+01  4.8793E+01  4.5811E+01  5.2136E+01  4.2019E+01
  Zn   30    0  2.4748E+00  2.8677E+00  4.6450E+00  9.8156E+00  1.5336E+01  2.5623E+01  2.4633E+01  3.1888E+01  2.8268E+01
  Ga   31    0  2.5839E+00  3.9841E+00  1.0689E+01  3.0235E+01  5.2003E+01  9.5104E+01  9.4150E+01  1.3104E+02  1.1808E+02
  Ge   32    0  1.7999E+00  2.4546E+00  5.7380E+00  1.7534E+01  3.2394E+01  5.9483E+01  6.1514E+01  8.4932E+01  7.1714E+01
  As   33    0  2.1899E+00  3.4522E+00  8.5318E+00  2.4955E+01  6.8590E+01  9.9577E+01  1.1335E+02  1.6312E+02  1.3710E+02
  Se   34    0  1.4164E+00  1.6966E+00  3.6230E+00  1.1508E+01  2.4408E+01  4.3061E+01  4.7501E+01  6.7759E+01  5.7245E+01
  Br   35    0  1.2993E+00  1.4977E+00  3.4656E+00  1.1605E+01  1.9782E+01  4.2407E+01  4.0902E+01  4.9945E+01  4.1404E+01
  Kr   36    0  1.1487E+00  1.2808E+00  2.2843E+00  5.5922E+00  8.4496E+00  1.9243E+01  2.1920E+01  4.0518E+01  4.5990E+01
  Rb   37    0  1.2785E+00  1.5698E+00  2.9858E+00  6.5282E+00  1.3376E+01  2.9018E+01  3.5276E+01  6.5053E+01  7.0005E+01
  Sr   38    0  1.2465E+00  1.5214E+00  2.4409E+00  3.9609E+00  5.8976E+00  1.5482E+01  2.0929E+01  4.6676E+01  5.4264E+01
  Y    39    0  1.1358E+00  1.2791E+00  1.7982E+00  3.0482E+00  4.3825E+00  9.8909E+00  1.2396E+01  2.3996E+01  2.5524E+01
  Zr   40    0  1.0332E+00  1.0917E+00  1.3461E+00  2.0252E+00  2.7352E+00  4.9038E+00  5.7279E+00  9.7647E+00  1.1922E+01
  Nb   41    0  9.8848E-01  1.0128E+00  1.2054E+00  1.8921E+00  1.8071E+00  3.5662E+00  3.4479E+00  4.9172E+00  4.9517E+00
  Mo   42    0  1.1824E+00  1.2017E+00  1.2849E+00  1.5327E+00  1.5816E+00  2.1423E+00  2.1849E+00  2.9553E+00  3.2399E+00
  Xe   54    0  9.7522E-01  9.6965E-01  9.8723E-01  1.0531E+00  1.0845E+00  1.3114E+00  1.3965E+00  1.8509E+00  1.9013E+00
  Cs   55    0  9.4529E-01  9.3799E-01  9.1836E-01  1.0015E+00  1.0224E+00  1.2420E+00  1.3217E+00  1.6217E+00  1.5362E+00
  Ba   56    0  1.0169E+00  1.0544E+00  1.1798E+00  1.3762E+00  1.3652E+00  1.8719E+00  1.8314E+00  2.1968E+00  2.2168E+00
