 ele  Z   A   PFAv000     PFAv150     PFAv300     PFBv000     PFBv150     PFBv300     PFCv000     PFCv150     PFCv300     PFDv000     PFDv150     PFDv300      YAv000      YAv150      YAv300      YBv000      YBv150      YBv300      YCv000      YCv150      YCv300      YDv000      YDv150      YDv300     PFAvavg     PFBvavg     PFCvavg     PFDvavg      YAvavg      YBvavg      YCvavg      YDvavg       iniA        iniB        iniC        iniD 
  H     1    0  5.7620E-01  4.5943E-01  3.9457E-01  5.4856E-01  4.4039E-01  4.1981E-01  5.4355E-01  4.8163E-01  4.2972E-01  5.5122E-01  4.4700E-01  4.2654E-01  3.8976E-01  3.0315E-01  2.6151E-01  3.7830E-01  2.9457E-01  2.8021E-01  3.8425E-01  3.0862E-01  2.8689E-01  3.8833E-01  3.0163E-01  2.9084E-01  5.7619E-01  5.4855E-01  5.4355E-01  5.5122E-01  3.8976E-01  3.7830E-01  3.8425E-01  3.8832E-01  7.2158E-01  7.4679E-01  7.5971E-01  7.6000E-01
  He    2    0  1.4775E+00  1.4894E+00  1.7058E+00  1.4853E+00  1.3442E+00  1.3183E+00  1.5501E+00  1.1247E+00  1.0143E+00  1.4562E+00  1.0316E+00  9.8475E-01  3.6708E-01  3.6096E-01  4.1523E-01  3.4294E-01  3.0101E-01  2.9461E-01  3.4621E-01  2.2770E-01  2.1394E-01  3.2400E-01  2.1985E-01  2.1207E-01  1.4775E+00  1.4853E+00  1.5501E+00  1.4562E+00  3.6708E-01  3.4294E-01  3.4621E-01  3.2400E-01  2.6503E-01  2.5003E-01  2.4003E-01  2.4003E-01
  Li    3    0  1.1370E-02  2.2180E-03  1.6186E-03  1.0756E-02  1.1023E-01  9.6130E-02  1.8607E-02  8.2229E-02  3.7206E-02  5.9740E-03  1.8156E-02  2.3820E-02  9.6592E-11  1.8381E-11  1.3472E-11  2.0359E-11  2.0236E-10  1.7611E-10  3.5488E-11  1.4216E-10  6.7017E-11  1.1350E-11  3.3042E-11  4.3804E-11  1.1370E-02  1.0761E-02  1.8610E-02  5.9746E-03  9.6588E-11  2.0369E-11  3.5494E-11  1.1352E-11  9.0621E-09  2.0497E-09  2.0497E-09  2.0497E-09
  Be    4    0  1.8343E-02  3.1916E-03  2.4843E-03  1.3384E-02  1.4634E-03  7.8303E-04  9.3530E-03  1.9116E-04  1.0576E-04  4.0339E-03  9.1634E-05  5.0672E-05  2.7322E-12  4.6374E-13  3.6256E-13  1.9839E-13  2.1039E-14  1.1233E-14  1.3969E-14  2.5880E-16  1.4918E-16  6.0018E-16  1.3059E-17  7.2972E-18  1.8343E-02  1.3383E-02  9.3525E-03  4.0337E-03  2.7321E-12  1.9838E-13  1.3969E-14  6.0015E-16  1.5889E-10  1.6051E-11  1.6051E-12  1.6051E-13
  B     5    0  1.4935E-01  4.6615E-02  2.3295E-02  1.2322E-01  2.7448E-02  8.4819E-03  8.4273E-02  7.8709E-03  6.1495E-04  5.5970E-02  3.4949E-03  1.8197E-04  5.5779E-10  1.6983E-10  8.5245E-11  4.5795E-11  9.8945E-12  3.0511E-12  3.1561E-12  2.6719E-13  2.1750E-14  2.0881E-13  1.2489E-14  6.5707E-16  1.4934E-01  1.2321E-01  8.4270E-02  5.5968E-02  5.5777E-10  4.5793E-11  3.1559E-12  2.0880E-13  3.9841E-09  4.0247E-10  4.0247E-11  4.0247E-12
  C     6    0  1.4607E+01  2.3696E+01  2.2818E+01  6.9483E+01  1.1161E+02  1.1544E+02  6.6778E+02  1.0400E+03  1.1233E+03  6.8707E+03  9.1953E+03  1.3246E+04  3.2588E-02  5.1571E-02  4.9877E-02  2.8432E-02  4.4294E-02  4.5718E-02  2.7533E-02  3.8870E-02  4.3740E-02  2.8220E-02  3.6177E-02  5.2660E-02  1.4608E+01  6.9485E+01  6.6780E+02  6.8708E+03  3.2589E-02  2.8432E-02  2.7534E-02  2.8221E-02  2.3799E-03  4.4310E-04  4.4310E-05  4.4310E-06
  N     7    0  4.4177E+00  5.9240E+00  8.0383E+00  1.0701E+01  4.8278E+01  3.7003E+01  1.2102E+01  3.1867E+02  2.5764E+02  1.2603E+01  2.0819E+03  3.8445E+03  2.8861E-03  3.7753E-03  5.1453E-03  6.8859E-04  3.0131E-03  2.3046E-03  7.8469E-05  1.8729E-03  1.5776E-03  8.1407E-06  1.2881E-03  2.4035E-03  4.4178E+00  1.0703E+01  1.2117E+01  1.2709E+01  2.8862E-03  6.8871E-04  7.8564E-05  8.2087E-06  6.9691E-04  6.9682E-05  6.9682E-06  6.9682E-07
  O     8    0  1.9144E+01  2.8370E+01  2.6413E+01  7.2130E+01  1.1184E+02  1.1508E+02  7.2327E+02  1.2517E+03  1.4784E+03  8.0341E+03  1.4951E+04  1.5581E+04  1.0356E-01  1.4971E-01  1.4000E-01  1.3636E-01  2.0507E-01  2.1058E-01  1.3778E-01  2.1613E-01  2.6598E-01  1.5246E-01  2.7175E-01  2.8618E-01  1.9144E+01  7.2132E+01  7.2330E+02  8.0344E+03  1.0356E-01  1.3637E-01  1.3778E-01  1.5247E-01  5.7706E-03  2.0472E-03  2.0472E-04  2.0472E-05
  F     9    0  9.4229E-01  1.3866E+01  8.0721E+00  6.5264E+00  1.6004E+02  3.8930E+02  7.4379E+00  1.3472E+03  1.8321E+03  1.0792E+01  6.5760E+04  4.0609E+04  4.4860E-07  6.4394E-06  3.7653E-06  3.0603E-07  7.2784E-06  1.7668E-05  3.5144E-08  5.7701E-06  8.1754E-06  5.0796E-09  2.9648E-05  1.8500E-05  9.4296E-01  6.5343E+00  7.5025E+00  1.4142E+01  4.4892E-07  3.0640E-07  3.5449E-08  6.6564E-09  5.0785E-07  5.0778E-08  5.0778E-09  5.0778E-10
  Ne   10    0  1.7265E+01  1.5985E+01  1.6351E+01  1.4926E+02  1.8037E+02  2.0803E+02  1.5295E+03  1.9771E+03  2.4610E+03  1.4943E+04  2.3547E+04  2.1498E+04  2.0424E-02  1.8446E-02  1.8951E-02  1.7390E-02  2.0383E-02  2.3459E-02  1.7956E-02  2.1040E-02  2.7287E-02  1.7476E-02  2.6379E-02  2.4336E-02  1.7265E+01  1.4926E+02  1.5295E+03  1.4943E+04  2.0424E-02  1.7390E-02  1.7956E-02  1.7477E-02  1.2619E-03  1.2617E-04  1.2617E-05  1.2617E-06
  Na   11    0  1.6178E+01  1.3441E+01  1.5167E+01  5.8014E+01  4.7995E+01  6.9561E+01  3.2030E+02  2.4346E+02  4.6894E+02  2.5507E+03  1.9881E+03  4.5154E+03  4.4623E-04  3.6165E-04  4.0990E-04  1.5761E-04  1.2647E-04  1.8291E-04  8.7686E-05  6.0415E-05  1.2124E-04  6.9560E-05  5.1932E-05  1.1919E-04  1.6178E+01  5.8014E+01  3.2030E+02  2.5507E+03  4.4623E-04  1.5761E-04  8.7684E-05  6.9559E-05  2.9424E-05  2.9420E-06  2.9420E-07  2.9420E-08
