# From file: input/yields/snii/lc18/tab_R/tab_yieldstot_iso_exp_pd.dec
elemSymb,elemZ,elemA,mass_i_ini,13.,15.,20.,25.,30.,40.,60.,80.,120.,Z_ini,vel_ini
H,1,1,0.72155,6.1592,6.8845,8.5593,10.135,11.575999999999999,14.539000000000001,20.463,25.22,36.732,0.0181,0.0
H2,1,2,2.9439e-05,2.9523e-06,3.6682e-06,5.8878e-06,7.3598e-06,8.831799999999999e-06,1.1777000000000001e-05,1.767e-05,2.357e-05,3.5377e-05,0.0181,0.0
He3,2,3,3.1196e-05,0.00036548,0.00039439,0.00046986,0.00054836,0.00062781,0.00078911,0.0011167999999999998,0.0013395999999999998,0.0017584,0.0181,0.0
He4,2,4,0.265,4.6327,5.1226,7.1652,8.3288,7.3349,10.974,21.61,30.098000000000003,51.977,0.0181,0.0
Li6,3,6,5.9602e-10,5.977e-11,7.4266e-11,1.1972e-10,1.5018e-10,1.8090000000000002e-10,2.4319e-10,3.6983999999999993e-10,4.9849e-10,7.5772e-10,0.0181,0.0
Li7,3,7,8.466100000000002e-09,8.490000000000001e-10,1.0549000000000002e-09,1.7985000000000001e-09,2.2821e-09,2.7714e-09,3.8913e-09,5.672899999999999e-09,7.250300000000001e-09,1.1086e-08,0.0181,0.0
Be9,4,9,1.5889e-10,2.2918999999999998e-11,2.6008000000000005e-11,6.222399999999999e-11,7.6757e-11,9.103e-11,1.1843e-10,1.7102000000000002e-10,1.9061999999999998e-10,2.9079e-10,0.0181,0.0
B10,5,10,7.3404e-10,2.5435e-10,2.8154999999999997e-10,3.8508000000000003e-10,5.97e-10,6.9818e-10,8.922100000000001e-10,1.2645000000000001e-09,1.4327e-09,2.1285000000000002e-09,0.0181,0.0
B11,5,11,3.2500999999999998e-09,8.0392e-09,8.9875e-09,1.1279e-08,1.348e-08,1.5659e-08,2.047e-08,3.0119e-08,3.7374e-08,5.4080000000000005e-08,0.0181,0.0
C12,6,12,0.0023514,0.11404,0.22096,0.40941,0.61944,0.025054,0.031932999999999996,0.39826,1.1226,2.0178,0.0181,0.0
C13,6,13,2.8494000000000002e-05,0.0006918,0.00077869,0.0010410999999999999,0.0012839000000000001,0.0014423,0.0018031,0.0017254000000000002,0.0017021,0.0023899,0.0181,0.0
N14,7,14,0.0006952,0.033095,0.036631,0.043744,0.059383000000000005,0.06779199999999999,0.10455,0.20755,0.28556,0.49749,0.0181,0.0
N15,7,15,1.7096000000000001e-06,6.7973e-06,7.5037e-06,1.3542999999999999e-05,1.2828e-05,1.2692e-05,1.633e-05,2.5291999999999998e-05,3.1784e-05,4.719e-05,0.0181,0.0
O16,8,16,0.0057553000000000005,0.24336999999999998,0.58234,1.2501,2.4724,0.073782,0.087253,0.1491,0.24191999999999997,0.36819,0.0181,0.0
O17,8,17,2.3231e-06,5.5633999999999996e-05,5.5608e-05,4.6201e-05,4.7633e-05,4.0706999999999995e-05,4.1705e-05,5.3011000000000005e-05,6.131600000000001e-05,7.9192e-05,0.0181,0.0
O18,8,18,1.298e-05,0.0036455,0.0033347999999999997,0.0063062,0.0040082,0.00014544,0.00018099,0.00023255,0.00026242,0.00032941,0.0181,0.0
F19,9,19,5.078499999999999e-07,3.6757e-06,4.0664e-06,5.459199999999999e-06,6.2331e-06,6.221e-06,7.3308e-06,1.3569000000000002e-05,1.53e-05,2.5448e-05,0.0181,0.0
Ne20,10,20,0.0011647,0.038117000000000005,0.1293,0.38949,0.86041,0.022088,0.029642,0.04881,0.064587,0.10312,0.0181,0.0
Ne21,10,21,2.9317000000000002e-06,7.4539e-05,0.00015323,0.00031544,0.00091246,0.0001075,0.00011949,0.0001411,0.00015185,0.00018422,0.0181,0.0
Ne22,10,22,9.4207e-05,0.0074828,0.0119,0.030063999999999997,0.028013,0.0011819,0.0014119999999999998,0.016701,0.049788,0.10455999999999999,0.0181,0.0
Na23,11,23,2.9424e-05,0.0010372,0.0024432,0.006592300000000001,0.021658,0.0014343,0.0023296,0.0051006,0.007527,0.013637,0.0181,0.0
Mg24,12,24,0.0005556,0.018317,0.038831,0.10845999999999999,0.11542999999999999,0.010651,0.014369999999999999,0.023921,0.03185,0.051235,0.0181,0.0
