  ele   Z    A    013a000     015a000     020a000     025a000     030a000     040a000     060a000     080a000     120a000
H       1    1  7.4392E-01  7.1587E-01  6.4685E-01  6.0959E-01  8.3698E-01  7.7923E-01  6.5887E-01  6.1017E-01  5.5259E-01
H2      1    2  8.7397E-03  9.3488E-03  1.0906E-02  1.0850E-02  1.5651E-02  1.5471E-02  1.3945E-02  1.3977E-02  1.3044E-02
He3     2    3  1.0210E+00  9.4855E-01  8.2131E-01  7.6285E-01  1.0499E+00  9.7821E-01  8.3171E-01  7.4962E-01  6.1185E-01
He4     2    4  1.5236E+00  1.4504E+00  1.4744E+00  1.3640E+00  1.4440E+00  1.6014E+00  1.8946E+00  1.9828E+00  2.1291E+00
Li6     3    6  8.7396E-03  9.3489E-03  1.0953E-02  1.0935E-02  1.5834E-02  1.5779E-02  1.4417E-02  1.4601E-02  1.3800E-02
Li7     3    7  8.7396E-03  9.3489E-03  1.1584E-02  1.1699E-02  1.7078E-02  1.7774E-02  1.5568E-02  1.4950E-02  1.4213E-02
Be9     4    9  1.2571E-02  1.2281E-02  2.1354E-02  2.0964E-02  2.9887E-02  2.8823E-02  2.5005E-02  2.0942E-02  1.9865E-02
B10     5   10  3.0198E-02  2.8779E-02  2.8606E-02  3.5297E-02  4.9620E-02  4.7004E-02  4.0022E-02  3.4072E-02  3.1475E-02
B11     5   11  2.1557E-01  2.0748E-01  1.8923E-01  1.8000E-01  2.5136E-01  2.4357E-01  2.1530E-01  2.0075E-01  1.8062E-01
C12     6   12  4.2265E+00  7.0504E+00  9.4943E+00  1.1433E+01  5.5584E-01  5.2517E-01  3.9349E+00  8.3346E+00  9.3148E+00
C13     6   13  2.1159E+00  2.0504E+00  1.9924E+00  1.9554E+00  2.6407E+00  2.4471E+00  1.4068E+00  1.0428E+00  9.1043E-01
N14     7   14  4.1487E+00  3.9533E+00  3.4311E+00  3.7071E+00  5.0872E+00  5.8159E+00  6.9361E+00  7.1706E+00  7.7677E+00
N15     7   15  3.4650E-01  3.2931E-01  4.3194E-01  3.2563E-01  3.8730E-01  3.6937E-01  3.4370E-01  3.2454E-01  2.9962E-01
O16     8   16  3.6852E+00  7.5917E+00  1.1844E+01  1.8643E+01  6.6880E-01  5.8628E-01  6.0187E-01  7.3380E-01  6.9443E-01
O17     8   17  2.0871E+00  1.7960E+00  1.0845E+00  8.8985E-01  9.1412E-01  6.9425E-01  5.3015E-01  4.6076E-01  3.7003E-01
O18     8   18  2.4476E+01  1.9276E+01  2.6492E+01  1.3401E+01  5.8452E-01  5.3922E-01  4.1623E-01  3.5292E-01  2.7547E-01
F19     9   19  6.3077E-01  6.0077E-01  5.8618E-01  5.3266E-01  6.3905E-01  5.5822E-01  6.2074E-01  5.2593E-01  5.4392E-01
Ne20   10   20  2.8521E+00  8.3294E+00  1.8235E+01  3.2059E+01  9.8933E-01  9.8418E-01  9.7362E-01  9.6803E-01  9.6099E-01
Ne21   10   21  2.2158E+00  3.9215E+00  5.8672E+00  1.3508E+01  1.9130E+00  1.5762E+00  1.1182E+00  9.0420E-01  6.8211E-01
Ne22   10   22  6.9223E+00  9.4776E+00  1.7402E+01  1.2905E+01  6.5449E-01  5.7960E-01  4.1187E+00  9.2261E+00  1.2048E+01
Na23   11   23  3.0721E+00  6.2299E+00  1.2217E+01  3.1944E+01  2.5429E+00  3.0617E+00  4.0273E+00  4.4657E+00  5.0309E+00
Mg24   12   24  2.8731E+00  5.2437E+00  1.0644E+01  9.0162E+00  1.0001E+00  1.0002E+00  1.0003E+00  1.0007E+00  1.0010E+00
