 ele  Z   A   PFAv000     PFAv150     PFAv300     PFBv000     PFBv150     PFBv300     PFCv000     PFCv150     PFCv300     PFDv000     PFDv150     PFDv300      YAv000      YAv150      YAv300      YBv000      YBv150      YBv300      YCv000      YCv150      YCv300      YDv000      YDv150      YDv300     PFAvavg     PFBvavg     PFCvavg     PFDvavg      YAvavg      YBvavg      YCvavg      YDvavg       iniA        iniB        iniC        iniD 
  H     1    0  6.7860E-01  5.4794E-01  4.5971E-01  7.0778E-01  5.6688E-01  5.4948E-01  6.6575E-01  6.4433E-01  6.2437E-01  6.5617E-01  6.6590E-01  6.5755E-01  3.8976E-01  3.0315E-01  2.6151E-01  3.0301E-01  2.7106E-01  2.8021E-01  2.0108E-01  2.8193E-01  2.8689E-01  1.8924E-01  2.7336E-01  2.9080E-01  6.7859E-01  7.0777E-01  6.6575E-01  6.5617E-01  3.8976E-01  3.0301E-01  2.0109E-01  1.8924E-01  7.2158E-01  7.4679E-01  7.5971E-01  7.6000E-01
  He    2    0  1.6312E+00  1.7448E+00  1.9552E+00  1.5112E+00  1.6486E+00  1.6729E+00  1.5490E+00  1.4557E+00  1.4089E+00  1.5143E+00  1.3542E+00  1.3522E+00  3.4412E-01  3.5456E-01  4.0852E-01  2.1660E-01  2.6393E-01  2.8562E-01  1.4782E-01  2.0124E-01  2.0453E-01  1.3793E-01  1.7557E-01  1.8886E-01  1.6312E+00  1.5112E+00  1.5490E+00  1.5143E+00  3.4412E-01  2.1660E-01  1.4783E-01  1.3793E-01  2.6503E-01  2.5003E-01  2.4003E-01  2.4003E-01
  Li    3    0  1.3391E-02  2.6454E-03  1.8858E-03  1.6864E-02  1.4822E-01  1.2582E-01  2.0776E-02  1.2029E-01  5.4059E-02  9.9014E-03  2.9823E-02  3.6725E-02  9.6592E-11  1.8381E-11  1.3472E-11  1.9816E-11  1.9452E-10  1.7611E-10  1.6930E-11  1.4200E-10  6.7017E-11  7.7012E-12  3.3018E-11  4.3802E-11  1.3390E-02  1.6872E-02  2.0784E-02  9.9029E-03  9.6588E-11  1.9825E-11  1.6937E-11  7.7025E-12  9.0621E-09  2.0497E-09  2.0497E-09  2.0497E-09
  Be    4    0  2.1603E-02  3.8065E-03  2.8945E-03  2.1560E-02  2.0471E-03  1.0249E-03  2.1891E-02  2.7995E-04  1.5367E-04  9.8540E-03  1.5063E-04  7.8128E-05  2.7322E-12  4.6374E-13  3.6256E-13  1.9839E-13  2.1039E-14  1.1233E-14  1.3969E-14  2.5880E-16  1.4918E-16  6.0018E-16  1.3059E-17  7.2972E-18  2.1603E-02  2.1559E-02  2.1889E-02  9.8533E-03  2.7321E-12  1.9838E-13  1.3969E-14  6.0015E-16  1.5889E-10  1.6051E-11  1.6051E-12  1.6051E-13
  B     5    0  1.7589E-01  5.5596E-02  2.7141E-02  1.8645E-01  3.7746E-02  1.1102E-02  1.1811E-01  1.1376E-02  8.9317E-04  6.8850E-02  5.6826E-03  2.6516E-04  5.5779E-10  1.6983E-10  8.5245E-11  4.3019E-11  9.7273E-12  3.0511E-12  1.8898E-12  2.6371E-13  2.1742E-14  1.0515E-13  1.2354E-14  6.2099E-16  1.7588E-01  1.8645E-01  1.1810E-01  6.8845E-02  5.5777E-10  4.3017E-11  1.8897E-12  1.0514E-13  3.9841E-09  4.0247E-10  4.0247E-11  4.0247E-12
  C     6    0  6.4047E+00  1.5565E+01  1.5192E+01  3.4672E+01  6.4401E+01  5.8816E+01  4.8397E+02  5.0031E+02  4.1928E+02  4.9832E+03  4.5169E+03  5.3818E+03  1.2133E-02  2.8403E-02  2.8502E-02  8.8072E-03  1.8272E-02  1.7796E-02  8.5258E-03  1.2768E-02  1.1236E-02  8.3787E-03  1.0811E-02  1.3876E-02  6.4052E+00  3.4674E+01  4.8397E+02  4.9831E+03  1.2134E-02  8.8077E-03  8.5260E-03  8.3788E-03  2.3799E-03  4.4310E-04  4.4310E-05  4.4310E-06
  N     7    0  5.1666E+00  7.0613E+00  9.3620E+00  1.0469E+01  6.3332E+01  4.5984E+01  9.8660E+00  4.4940E+02  3.5608E+02  1.1132E+01  2.7461E+03  4.7260E+03  2.8661E-03  3.7732E-03  5.1436E-03  4.1819E-04  2.8257E-03  2.1880E-03  2.7332E-05  1.8036E-03  1.5007E-03  2.9435E-06  1.0336E-03  1.9163E-03  5.1667E+00  1.0472E+01  9.8999E+00  1.1339E+01  2.8661E-03  4.1832E-04  2.7427E-05  2.9984E-06  6.9691E-04  6.9682E-05  6.9682E-06  6.9682E-07
  O     8    0  5.9622E+00  1.3053E+01  1.3457E+01  2.5635E+01  5.1510E+01  4.9590E+01  3.2050E+02  5.2896E+02  5.8852E+02  3.8155E+03  5.8989E+03  5.7612E+03  2.7386E-02  5.7754E-02  6.1217E-02  3.0086E-02  6.7521E-02  6.9324E-02  2.6085E-02  6.2369E-02  7.2869E-02  2.9640E-02  6.5230E-02  6.8631E-02  5.9625E+00  2.5637E+01  3.2051E+02  3.8156E+03  2.7388E-02  3.0088E-02  2.6087E-02  2.9642E-02  5.7706E-03  2.0472E-03  2.0472E-04  2.0472E-05
  F     9    0  5.7993E-01  1.6442E+01  9.3354E+00  9.1153E-01  1.9058E+02  2.1630E+02  7.8835E-01  1.0353E+03  1.7668E+03  1.4845E+00  7.8124E+04  1.6245E+04  2.3443E-07  6.4024E-06  3.7375E-06  2.6534E-08  6.1963E-06  7.4998E-06  1.5915E-09  3.0277E-06  5.4260E-06  2.8604E-10  2.1428E-05  4.8000E-06  5.8074E-01  9.2280E-01  8.6806E-01  7.3996E+00  2.3476E-07  2.6862E-08  1.7525E-09  1.4258E-09  5.0785E-07  5.0778E-08  5.0778E-09  5.0778E-10
  Ne   10    0  8.9640E+00  4.7510E+00  6.3428E+00  9.2373E+01  7.3282E+01  8.1091E+01  1.4561E+03  5.5617E+02  9.8678E+02  1.4684E+04  6.6717E+03  8.2987E+03  9.0038E-03  4.5968E-03  6.3098E-03  6.6812E-03  5.9202E-03  6.9864E-03  7.3038E-03  4.0415E-03  7.5300E-03  7.0303E-03  4.5468E-03  6.0927E-03  8.9637E+00  9.2371E+01  1.4560E+03  1.4684E+04  9.0036E-03  6.6812E-03  7.3036E-03  7.0302E-03  1.2619E-03  1.2617E-04  1.2617E-05  1.2617E-06
  Na   11    0  9.1052E+00  5.8745E+00  7.9090E+00  3.8723E+01  2.6185E+01  4.4559E+01  3.4614E+02  9.9628E+01  3.0131E+02  3.1153E+03  9.2760E+02  2.7201E+03  2.1325E-04  1.3253E-04  1.8346E-04  6.5309E-05  4.9326E-05  8.9516E-05  4.0486E-05  1.6881E-05  5.3615E-05  3.4778E-05  1.4741E-05  4.6566E-05  9.1051E+00  3.8722E+01  3.4612E+02  3.1151E+03  2.1325E-04  6.5308E-05  4.0485E-05  3.4777E-05  2.9424E-05  2.9420E-06  2.9420E-07  2.9420E-08
  Mg   12    0  4.2793E+00  3.1743E+00  3.5299E+00  2.2991E+01  1.9247E+01  2.2109E+01  3.1711E+02  1.6559E+02  2.9750E+02  3.0244E+03  1.6902E+03  1.8474E+03  2.4278E-03  1.7348E-03  1.9835E-03  1.6703E-03  1.5618E-03  1.9133E-03  1.5977E-03  1.2087E-03  2.2803E-03  1.4544E-03  1.1570E-03  1.3623E-03  4.2792E+00  2.2991E+01  3.1709E+02  3.0243E+03  2.4278E-03  1.6703E-03  1.5977E-03  1.4544E-03  7.1276E-04  1.2673E-04  1.2673E-05  1.2673E-06
  Al   13    0  5.3668E+00  3.3690E+00  4.1148E+00  3.3708E+01  3.3089E+01  3.0611E+01  2.6231E+02  1.8806E+02  2.6060E+02  1.9155E+03  1.2754E+03  2.5891E+03  2.3931E-04  1.4471E-04  1.8172E-04  1.0824E-04  1.1867E-04  1.1708E-04  5.8415E-05  6.0670E-05  8.8286E-05  4.0714E-05  3.8588E-05  8.4387E-05  5.3667E+00  3.3708E+01  2.6231E+02  1.9155E+03  2.3930E-04  1.0824E-04  5.8415E-05  4.0714E-05  5.6020E-05  5.6013E-06  5.6013E-07  5.6013E-08
  Si   14    0  5.8668E+00  9.0858E+00  1.1559E+01  2.7775E+01  3.7180E+01  6.5550E+01  3.2724E+02  4.4678E+02  7.1291E+02  3.5914E+03  4.1633E+03  4.8121E+03  3.1269E-03  4.6647E-03  6.1017E-03  2.7401E-03  4.0969E-03  7.7029E-03  2.2389E-03  4.4283E-03  7.4201E-03  2.3452E-03  3.8700E-03  4.8188E-03  5.8670E+00  2.7776E+01  3.2725E+02  3.5914E+03  3.1270E-03  2.7402E-03  2.2390E-03  2.3453E-03  6.6960E-04  1.7209E-04  1.7209E-05  1.7209E-06
  P    15    0  5.8003E+00  9.6667E+00  1.2664E+01  4.0493E+01  5.9919E+01  1.1968E+02  2.7066E+02  3.9007E+02  9.8457E+02  1.9545E+03  2.3829E+03  8.4782E+03  2.7083E-05  4.3478E-05  5.8563E-05  1.3615E-05  2.2503E-05  4.7932E-05  6.3112E-06  1.3177E-05  3.4926E-05  4.3499E-06  7.5493E-06  2.8935E-05  5.8005E+00  4.0494E+01  2.7067E+02  1.9545E+03  2.7084E-05  1.3615E-05  6.3116E-06  4.3501E-06  5.8660E-06  5.8652E-07  5.8652E-08  5.8652E-09
