 ele  Z   A   PFAv000     PFAv150     PFAv300     PFBv000     PFBv150     PFBv300     PFCv000     PFCv150     PFCv300     PFDv000     PFDv150     PFDv300      YAv000      YAv150      YAv300      YBv000      YBv150      YBv300      YCv000      YCv150      YCv300      YDv000      YDv150      YDv300     PFAvavg     PFBvavg     PFCvavg     PFDvavg      YAvavg      YBvavg      YCvavg      YDvavg       iniA        iniB        iniC        iniD 
H       1    1  6.7879E-01  5.4805E-01  4.5981E-01  7.0799E-01  5.6709E-01  5.4969E-01  6.6600E-01  6.4459E-01  6.2459E-01  6.5646E-01  6.6614E-01  6.5773E-01  3.8976E-01  3.0315E-01  2.6151E-01  3.0301E-01  2.7106E-01  2.8021E-01  2.0108E-01  2.8193E-01  2.8689E-01  1.8924E-01  2.7336E-01  2.9080E-01  6.7878E-01  7.0798E-01  6.6600E-01  6.5646E-01  3.8976E-01  3.0301E-01  2.0109E-01  1.8924E-01  7.2155E-01  7.4676E-01  7.5968E-01  7.5997E-01
H2      1    2  1.2419E-02  1.3213E-04  5.5903E-05  1.6012E-02  2.3796E-05  2.2387E-05  2.0636E-02  3.9093E-06  3.7256E-06  9.8516E-03  8.3361E-07  7.7363E-07  2.9095E-07  2.9820E-09  1.2972E-09  2.7295E-07  4.5304E-10  4.5454E-10  2.4394E-07  6.6943E-11  6.6998E-11  1.1115E-07  1.3388E-11  1.3386E-11  1.2419E-02  1.6011E-02  2.0635E-02  9.8509E-03  2.9093E-07  2.7294E-07  2.4393E-07  1.1114E-07  2.9439E-05  2.9743E-05  2.9743E-05  2.9743E-05
He3     2    3  8.5684E-01  4.9716E-01  3.0272E-01  9.1185E-01  4.5486E-01  2.4619E-01  6.4122E-01  3.1150E-01  1.4905E-01  4.5867E-01  2.3364E-01  6.5967E-02  2.1271E-05  1.1890E-05  7.4435E-06  1.6471E-05  9.1765E-06  5.2968E-06  8.0321E-06  5.6525E-06  2.8403E-06  5.4836E-06  3.9764E-06  1.2096E-06  8.5682E-01  9.1182E-01  6.4120E-01  4.5866E-01  2.1271E-05  1.6471E-05  8.0320E-06  5.4835E-06  3.1196E-05  3.1518E-05  3.1518E-05  3.1518E-05
He4     2    4  1.6308E+00  1.7446E+00  1.9551E+00  1.5106E+00  1.6479E+00  1.6723E+00  1.5483E+00  1.4549E+00  1.4082E+00  1.5134E+00  1.3534E+00  1.3517E+00  3.4390E-01  3.5443E-01  4.0837E-01  2.1644E-01  2.6370E-01  2.8538E-01  1.4768E-01  2.0103E-01  2.0434E-01  1.3777E-01  1.7540E-01  1.8872E-01  1.6308E+00  1.5106E+00  1.5483E+00  1.5134E+00  3.4390E-01  2.1644E-01  1.4768E-01  1.3778E-01  2.6500E-01  2.5000E-01  2.4000E-01  2.4000E-01
Li6     3    6  1.2675E-02  1.7537E-03  1.2525E-03  1.6101E-02  8.7828E-04  5.2531E-04  2.0646E-02  1.4633E-04  8.3313E-05  9.8528E-03  1.1149E-04  5.9021E-05  6.0120E-12  8.0129E-13  5.8842E-13  1.2440E-12  7.5787E-14  4.8341E-14  1.1062E-12  1.1358E-14  6.7907E-15  5.0383E-13  8.1158E-15  4.6288E-15  1.2675E-02  1.6100E-02  2.0645E-02  9.8521E-03  6.0117E-12  1.2440E-12  1.1061E-12  5.0380E-13  5.9602E-10  1.3481E-10  1.3481E-10  1.3481E-10
Li7     3    7  1.3445E-02  2.7086E-03  1.9308E-03  1.6923E-02  1.5864E-01  1.3469E-01  2.0793E-02  1.2879E-01  5.7876E-02  9.9090E-03  3.1924E-02  3.9315E-02  9.0581E-11  1.7579E-11  1.2884E-11  1.8572E-11  1.9445E-10  1.7606E-10  1.5824E-11  1.4199E-10  6.7008E-11  7.1974E-12  3.3010E-11  4.3798E-11  1.3444E-02  1.6931E-02  2.0801E-02  9.9106E-03  9.0577E-11  1.8581E-11  1.5831E-11  7.1987E-12  8.4661E-09  1.9149E-09  1.9149E-09  1.9149E-09
Be9     4    9  2.1609E-02  3.8072E-03  2.8950E-03  2.1566E-02  2.0478E-03  1.0252E-03  2.1898E-02  2.8005E-04  1.5372E-04  9.8578E-03  1.5067E-04  7.8147E-05  2.7322E-12  4.6374E-13  3.6256E-13  1.9839E-13  2.1039E-14  1.1233E-14  1.3969E-14  2.5880E-16  1.4918E-16  6.0018E-16  1.3059E-17  7.2972E-18  2.1608E-02  2.1564E-02  2.1897E-02  9.8571E-03  2.7321E-12  1.9838E-13  1.3969E-14  6.0015E-16  1.5889E-10  1.6051E-11  1.6051E-12  1.6051E-13
B10     5   10  3.5833E-02  5.4986E-03  4.1486E-03  3.6997E-02  2.9688E-03  1.4186E-03  2.5431E-02  3.8921E-04  1.9868E-04  1.1287E-02  1.7770E-04  9.0210E-05  2.0932E-11  3.0942E-12  2.4003E-12  1.5723E-12  1.4091E-13  7.1804E-14  7.4946E-14  1.6616E-15  8.9074E-16  3.1747E-15  7.1149E-17  3.8915E-17  3.5832E-02  3.6994E-02  2.5429E-02  1.1286E-02  2.0931E-11  1.5722E-12  7.4942E-14  3.1745E-15  7.3404E-10  7.4151E-11  7.4151E-12  7.4151E-13
B11     5   11  2.0757E-01  6.6920E-02  3.2339E-02  2.2027E-01  4.5617E-02  1.3294E-02  1.3909E-01  1.3863E-02  1.0504E-03  8.1883E-02  6.9280E-03  3.0475E-04  5.3685E-10  1.6674E-10  8.2844E-11  4.1447E-11  9.5865E-12  2.9794E-12  1.8149E-12  2.6204E-13  2.0851E-14  1.0197E-13  1.2282E-14  5.8208E-16  2.0756E-01  2.2026E-01  1.3908E-01  8.1877E-02  5.3683E-10  4.1445E-11  1.8148E-12  1.0197E-13  3.2501E-09  3.2832E-10  3.2832E-11  3.2832E-12
C12     6   12  6.4615E+00  1.5718E+01  1.5326E+01  3.5078E+01  6.5127E+01  5.9441E+01  4.8998E+02  5.0512E+02  4.2272E+02  5.0454E+03  4.5708E+03  5.4459E+03  1.2091E-02  2.8334E-02  2.8405E-02  8.8015E-03  1.8250E-02  1.7764E-02  8.5255E-03  1.2732E-02  1.1189E-02  8.3786E-03  1.0805E-02  1.3870E-02  6.4620E+00  3.5080E+01  4.8998E+02  5.0454E+03  1.2092E-02  8.8020E-03  8.5257E-03  8.3787E-03  2.3514E-03  4.3780E-04  4.3780E-05  4.3780E-06
C13     6   13  1.8526E+00  3.1557E+00  4.3476E+00  1.9005E+00  6.2505E+00  8.7900E+00  1.6913E+00  1.1851E+02  1.4614E+02  1.4104E+00  1.8645E+02  1.8828E+02  4.2007E-05  6.8933E-05  9.7644E-05  5.7785E-06  2.1225E-05  3.1833E-05  3.5661E-07  3.6198E-05  4.6878E-05  2.8381E-08  5.3414E-06  5.8108E-06  1.8526E+00  1.9007E+00  1.7003E+00  1.4244E+00  4.2008E-05  5.7793E-06  3.5851E-07  2.8664E-08  2.8494E-05  5.3052E-06  5.3052E-07  5.3052E-08
N14     7   14  5.1797E+00  7.0790E+00  9.3854E+00  1.0496E+01  6.1992E+01  4.5176E+01  9.8922E+00  4.4515E+02  3.5428E+02  1.1152E+01  2.7145E+03  4.7072E+03  2.8656E-03  3.7727E-03  5.1428E-03  4.1814E-04  2.7582E-03  2.1436E-03  2.7328E-05  1.7815E-03  1.4890E-03  2.9404E-06  1.0189E-03  1.9035E-03  5.1798E+00  1.0499E+01  9.9258E+00  1.1357E+01  2.8656E-03  4.1826E-04  2.7422E-05  2.9945E-06  6.9520E-04  6.9511E-05  6.9511E-06  6.9511E-07
N15     7   15  3.5650E-01  3.6111E-01  5.7273E-01  5.7472E-01  6.1672E+02  3.8067E+02  6.2674E-01  2.2434E+03  1.1322E+03  4.8617E+00  1.5966E+04  1.2842E+04  4.8501E-07  4.7327E-07  7.7176E-07  5.6305E-08  6.7479E-05  4.4420E-05  4.2579E-09  2.2078E-05  1.1702E-05  3.1523E-09  1.4737E-05  1.2771E-05  3.5650E-01  6.1132E-01  7.9956E-01  6.0703E+00  4.8501E-07  5.9891E-08  5.4321E-09  3.9361E-09  1.7096E-06  1.7094E-07  1.7094E-08  1.7094E-09
O16     8   16  5.9560E+00  1.3088E+01  1.3491E+01  2.5689E+01  5.0829E+01  4.8554E+01  3.2142E+02  5.2539E+02  5.8022E+02  3.8270E+03  5.8655E+03  5.6994E+03  2.7278E-02  5.7747E-02  6.1200E-02  3.0061E-02  6.6429E-02  6.7674E-02  2.6082E-02  6.1761E-02  7.1630E-02  2.9640E-02  6.4669E-02  6.7699E-02  5.9564E+00  2.5691E+01  3.2143E+02  3.8272E+03  2.7280E-02  3.0063E-02  2.6084E-02  2.9641E-02  5.7553E-03  2.0418E-03  2.0418E-04  2.0418E-05
O17     8   17  9.5045E-01  1.0613E+00  1.4867E+00  1.3284E+00  2.2474E+01  2.1658E+01  5.5790E+00  2.3134E+02  9.4018E+01  9.5216E+00  1.3968E+03  1.3580E+03  1.7571E-06  1.8900E-06  2.7223E-06  6.2747E-07  1.1856E-05  1.2185E-05  1.8274E-07  1.0977E-05  4.6849E-06  2.9766E-08  6.2163E-06  6.5110E-06  9.5046E-01  1.3297E+00  5.5964E+00  9.6266E+00  1.7571E-06  6.2807E-07  1.8331E-07  3.0095E-08  2.3231E-06  8.2416E-07  8.2416E-08  8.2416E-09
O18     8   18  1.0308E+01  6.3943E-01  1.4226E+00  8.8151E+00  3.6640E+02  5.2129E+02  1.1852E+01  2.2458E+03  4.4358E+03  8.5862E+00  2.2295E+04  3.4525E+04  1.0647E-04  6.3627E-06  1.4554E-05  2.3265E-05  1.0800E-03  1.6387E-03  2.1691E-06  5.9542E-04  1.2351E-03  1.4998E-07  5.5438E-04  9.2493E-04  1.0307E+01  8.8364E+00  1.2024E+01  1.0274E+01  1.0646E-04  2.3321E-05  2.2007E-06  1.7946E-07  1.2980E-05  4.6050E-06  4.6050E-07  4.6050E-08
F19     9   19  5.8007E-01  1.6445E+01  9.3370E+00  9.1176E-01  1.9064E+02  2.1637E+02  7.8862E-01  1.0357E+03  1.7673E+03  1.4851E+00  7.8149E+04  1.6249E+04  2.3443E-07  6.4024E-06  3.7375E-06  2.6534E-08  6.1963E-06  7.4998E-06  1.5915E-09  3.0277E-06  5.4260E-06  2.8604E-10  2.1428E-05  4.8000E-06  5.8088E-01  9.2304E-01  8.6836E-01  7.4025E+00  2.3476E-07  2.6862E-08  1.7525E-09  1.4258E-09  5.0785E-07  5.0778E-08  5.0778E-09  5.0778E-10
Ne20   10   20  8.9904E+00  3.8805E+00  4.7269E+00  9.7460E+01  6.3980E+01  5.4144E+01  1.5737E+03  5.1904E+02  6.9397E+02  1.5907E+04  5.3622E+03  6.6889E+03  8.3327E-03  3.4648E-03  4.3394E-03  6.5050E-03  4.7693E-03  4.3043E-03  7.2841E-03  3.4802E-03  4.8865E-03  7.0271E-03  3.3721E-03  4.5319E-03  8.9901E+00  9.7458E+01  1.5737E+03  1.5907E+04  8.3325E-03  6.5049E-03  7.2839E-03  7.0269E-03  1.1647E-03  1.1646E-04  1.1646E-05  1.1646E-06
Ne21   10   21  4.0067E+00  6.4115E+00  7.0807E+00  2.7501E+01  6.6529E+01  1.1694E+02  1.6239E+02  6.6431E+02  1.7492E+03  1.1996E+03  9.5039E+03  1.3517E+04  9.3477E-06  1.4410E-05  1.6362E-05  4.6201E-06  1.2483E-05  2.3399E-05  1.8919E-06  1.1211E-05  3.1001E-05  1.3338E-06  1.5043E-05  2.3051E-05  4.0068E+00  2.7503E+01  1.6243E+02  1.2002E+03  9.3479E-06  4.6205E-06  1.8924E-06  1.3345E-06  2.9317E-06  2.9313E-07  2.9313E-08  2.9313E-09
Ne22   10   22  8.8260E+00  1.5477E+01  2.6317E+01  3.1783E+01  1.8881E+02  4.1349E+02  4.7601E+01  1.0145E+03  4.5871E+03  5.4695E+01  2.2800E+04  2.8064E+04  6.6167E-04  1.1177E-03  1.9541E-03  1.7158E-04  1.1384E-03  2.6587E-03  1.7820E-05  5.5015E-04  2.6124E-03  1.9542E-06  1.1597E-03  1.5379E-03  8.8263E+00  3.1792E+01  4.7675E+01  5.6418E+01  6.6170E-04  1.7163E-04  1.7848E-05  2.0158E-06  9.4207E-05  9.4194E-06  9.4194E-07  9.4194E-08
Na23   11   23  9.1074E+00  5.8754E+00  7.9104E+00  3.8733E+01  2.6194E+01  4.4574E+01  3.4626E+02  9.9664E+01  3.0141E+02  3.1165E+03  9.2789E+02  2.7207E+03  2.1325E-04  1.3253E-04  1.8346E-04  6.5309E-05  4.9326E-05  8.9516E-05  4.0486E-05  1.6881E-05  5.3615E-05  3.4778E-05  1.4741E-05  4.6566E-05  9.1073E+00  3.8732E+01  3.4624E+02  3.1163E+03  2.1325E-04  6.5308E-05  4.0485E-05  3.4777E-05  2.9424E-05  2.9420E-06  2.9420E-07  2.9420E-08
Mg24   12   24  4.3586E+00  2.6117E+00  2.7926E+00  2.7010E+01  2.0943E+01  1.2917E+01  3.9581E+02  1.9451E+02  1.5550E+02  3.8079E+03  1.9587E+03  1.7801E+03  1.9271E-03  1.1124E-03  1.2230E-03  1.5293E-03  1.3243E-03  8.7108E-04  1.5540E-03  1.1063E-03  9.2877E-04  1.4269E-03  1.0448E-03  1.0230E-03  4.3585E+00  2.7010E+01  3.9579E+02  3.8078E+03  1.9271E-03  1.5292E-03  1.5540E-03  1.4269E-03  5.5560E-04  9.8788E-05  9.8788E-06  9.8788E-07
Mg25   12   25  4.0899E+00  5.5767E+00  6.0820E+00  8.7027E+00  1.3453E+01  4.0705E+01  3.2200E+01  6.9393E+01  6.3647E+02  2.0294E+02  8.9988E+02  1.7702E+03  2.3846E-04  3.1324E-04  3.5124E-04  6.4980E-05  1.1219E-04  3.6200E-04  1.6672E-05  5.2050E-05  5.0135E-04  1.0029E-05  6.3305E-05  1.3416E-04  4.0899E+00  8.7030E+00  3.2202E+01  2.0300E+02  2.3847E-04  6.4982E-05  1.6674E-05  1.0032E-05  7.3269E-05  1.3028E-05  1.3028E-06  1.3028E-07
