#  (0) time_chosen [Gyr]    (1) Mtot [Msun]    (2) Mgas_v [Msun]    (3) Mstar_v [Msun]    (4) SFR_v [Msun/yr]    (5)Infall_v [Msun/yr]    (6) Z_v    (7) G_v    (8) S_v     (9) Rate_SNII     (10) Rate_SNIa     (11) Rate_LIMs
3.1100e-03   1.0000e-32   1.0000e-32   1.0000e-32   1.0000e-41   8.2991e+00   1.7900e+02   1.0000e-32   1.0000e-32   1.0000e-32   1.0000e-32   1.0000e-32  
1.3110e-02   8.2932e+07   8.2991e+07   1.0100e-32   8.2991e-02   8.2872e+00   2.1569e-38   1.0000e-32   1.0000e-32   5.5518e+06   1.0000e-32   1.0000e-32  
2.3110e-02   1.6574e+08   1.6503e+08   8.2991e+05   1.6503e-01   8.2754e+00   5.0216e-01   1.0000e-32   1.0000e-32   2.1421e+07   -6.4920e+01  1.0000e-32  
3.3110e-02   2.4844e+08   2.4614e+08   2.4802e+06   2.4614e-01   8.2636e+00   6.6954e-01   1.0000e-32   1.0000e-32   4.1174e+07   8.1495e+02   1.0000e-32  
4.3110e-02   3.3102e+08   3.2631e+08   4.9416e+06   3.2631e-01   8.2518e+00   7.5322e-01   1.0000e-32   1.0000e-32   6.2055e+07   4.6821e+03   2.6771e+05  
5.3110e-02   4.1348e+08   4.0557e+08   8.2047e+06   4.0557e-01   8.2400e+00   8.0343e-01   1.0000e-32   1.0000e-32   8.2698e+07   1.2802e+04   2.1132e+06  
6.3110e-02   4.9582e+08   4.8391e+08   1.2260e+07   4.8391e-01   8.2283e+00   8.3691e-01   1.0000e-32   1.0000e-32   1.0310e+08   2.5339e+04   5.7455e+06  
7.3110e-02   5.7804e+08   5.6135e+08   1.7099e+07   5.6135e-01   8.2165e+00   8.6081e-01   1.0000e-32   1.0000e-32   1.2327e+08   4.3576e+04   1.0617e+07  
8.3110e-02   6.6015e+08   6.3791e+08   2.2713e+07   6.3791e-01   8.2048e+00   8.7874e-01   1.0000e-32   1.0000e-32   1.4321e+08   6.6647e+04   1.6618e+07  
9.3110e-02   7.4214e+08   7.1357e+08   2.9092e+07   7.1357e-01   8.1931e+00   8.9269e-01   1.0000e-32   1.0000e-32   1.6292e+08   9.6928e+04   2.3481e+07  
1.0311e-01   8.2401e+08   7.8837e+08   3.6228e+07   7.8837e-01   8.1814e+00   9.0385e-01   1.0000e-32   1.0000e-32   1.8240e+08   1.3511e+05   3.1283e+07  
1.1311e-01   9.0576e+08   8.6230e+08   4.4112e+07   8.6230e-01   8.1697e+00   9.1297e-01   1.0000e-32   1.0000e-32   2.0166e+08   1.7661e+05   3.9855e+07  
1.2311e-01   9.8740e+08   9.3537e+08   5.2735e+07   9.3537e-01   8.1580e+00   9.2058e-01   1.0000e-32   1.0000e-32   2.2070e+08   2.2721e+05   4.8898e+07  
1.3311e-01   1.0689e+09   1.0076e+09   6.2088e+07   1.0076e+00   8.1464e+00   9.2702e-01   1.0000e-32   1.0000e-32   2.3951e+08   2.8371e+05   5.8443e+07  
1.4311e-01   1.1503e+09   1.0790e+09   7.2164e+07   1.0790e+00   8.1347e+00   9.3254e-01   1.0000e-32   1.0000e-32   2.5811e+08   3.5175e+05   6.8496e+07  
1.5311e-01   1.2316e+09   1.1495e+09   8.2954e+07   1.1495e+00   8.1231e+00   9.3732e-01   1.0000e-32   1.0000e-32   2.7649e+08   4.3004e+05   7.9096e+07  
1.6311e-01   1.3128e+09   1.2193e+09   9.4450e+07   1.2193e+00   8.1115e+00   9.4151e-01   1.0000e-32   1.0000e-32   2.9465e+08   5.1425e+05   9.0263e+07  
1.7311e-01   1.3939e+09   1.2882e+09   1.0664e+08   1.2882e+00   8.1000e+00   9.4520e-01   1.0000e-32   1.0000e-32   3.1261e+08   6.0165e+05   1.0188e+08  
1.8311e-01   1.4748e+09   1.3563e+09   1.1952e+08   1.3563e+00   8.0884e+00   9.4849e-01   1.0000e-32   1.0000e-32   3.3035e+08   6.9014e+05   1.1365e+08  
1.9311e-01   1.5556e+09   1.4236e+09   1.3309e+08   1.4236e+00   8.0769e+00   9.5143e-01   1.0000e-32   1.0000e-32   3.4789e+08   7.9410e+05   1.2562e+08  
2.0311e-01   1.6363e+09   1.4902e+09   1.4732e+08   1.4902e+00   8.0653e+00   9.5408e-01   1.0000e-32   1.0000e-32   3.6522e+08   9.0720e+05   1.3782e+08  
2.1311e-01   1.7169e+09   1.5559e+09   1.6223e+08   1.5559e+00   8.0538e+00   9.5648e-01   1.0000e-32   1.0000e-32   3.8235e+08   1.0299e+06   1.5019e+08  
2.2311e-01   1.7974e+09   1.6209e+09   1.7779e+08   1.6209e+00   8.0423e+00   9.5866e-01   1.0000e-32   1.0000e-32   3.9928e+08   1.1626e+06   1.6279e+08  
2.3311e-01   1.8778e+09   1.6851e+09   1.9399e+08   1.6851e+00   8.0308e+00   9.6066e-01   1.0000e-32   1.0000e-32   4.1601e+08   1.3059e+06   1.7559e+08  
2.4311e-01   1.9580e+09   1.7486e+09   2.1085e+08   1.7486e+00   8.0194e+00   9.6249e-01   1.0000e-32   1.0000e-32   4.3255e+08   1.4602e+06   1.8863e+08  
2.5311e-01   2.0382e+09   1.8113e+09   2.2833e+08   1.8113e+00   8.0079e+00   9.6417e-01   1.0000e-32   1.0000e-32   4.4889e+08   1.6260e+06   2.0187e+08  
2.6311e-01   2.1182e+09   1.8732e+09   2.4644e+08   1.8732e+00   7.9965e+00   9.6573e-01   1.0000e-32   1.0000e-32   4.6503e+08   1.8037e+06   2.1538e+08  
2.7311e-01   2.1981e+09   1.9345e+09   2.6518e+08   1.9345e+00   7.9851e+00   9.6718e-01   1.0000e-32   1.0000e-32   4.8099e+08   1.9940e+06   2.2911e+08  
2.8311e-01   2.2779e+09   1.9950e+09   2.8452e+08   1.9950e+00   7.9737e+00   9.6853e-01   1.0000e-32   1.0000e-32   4.9675e+08   2.1973e+06   2.4312e+08  
2.9311e-01   2.3576e+09   2.0548e+09   3.0447e+08   2.0548e+00   7.9623e+00   9.6978e-01   1.0000e-32   1.0000e-32   5.1233e+08   2.4142e+06   2.5740e+08  
3.0311e-01   2.4371e+09   2.1138e+09   3.2502e+08   2.1138e+00   7.9509e+00   9.7096e-01   1.0000e-32   1.0000e-32   5.2772e+08   2.6451e+06   2.7192e+08  
3.1311e-01   2.5166e+09   2.1722e+09   3.4616e+08   2.1722e+00   7.9396e+00   9.7206e-01   1.0000e-32   1.0000e-32   5.4293e+08   2.8586e+06   2.8666e+08  
3.2311e-01   2.5959e+09   2.2299e+09   3.6788e+08   2.2299e+00   7.9282e+00   9.7309e-01   1.0000e-32   1.0000e-32   5.5796e+08   3.0826e+06   3.0150e+08  
3.3311e-01   2.6751e+09   2.2869e+09   3.9018e+08   2.2869e+00   7.9169e+00   9.7407e-01   1.0000e-32   1.0000e-32   5.7281e+08   3.3166e+06   3.1636e+08  
3.4311e-01   2.7543e+09   2.3432e+09   4.1305e+08   2.3432e+00   7.9056e+00   9.7499e-01   1.0000e-32   1.0000e-32   5.8748e+08   3.5610e+06   3.3116e+08  
3.5311e-01   2.8333e+09   2.3988e+09   4.3648e+08   2.3988e+00   7.8943e+00   9.7586e-01   1.0000e-32   1.0000e-32   6.0198e+08   3.8158e+06   3.4612e+08  
3.6311e-01   2.9121e+09   2.4538e+09   4.6047e+08   2.4538e+00   7.8831e+00   9.7669e-01   1.0000e-32   1.0000e-32   6.1630e+08   4.0813e+06   3.6109e+08  
3.7311e-01   2.9909e+09   2.5081e+09   4.8500e+08   2.5081e+00   7.8718e+00   9.7748e-01   1.0000e-32   1.0000e-32   6.3045e+08   4.3577e+06   3.7611e+08  
