#  (0) time_chosen [Gyr]    (1) Mtot [Msun]    (2) Mgas_v [Msun]    (3) Mstar_v [Msun]    (4) SFR_v [Msun/yr]    (5)Infall_v [Msun/yr]    (6) Z_v    (7) G_v    (8) S_v     (9) Rate_SNII     (10) Rate_SNIa
3.1100e-03   1.0000e-32   1.0000e-32   1.0000e-32   1.0000e-41   8.2991e+00   1.7900e+02   1.0000e+00   0.0000e+00   1.0000e-32   1.0000e-32  
4.1100e-03   8.2985e+06   8.2991e+06   1.0010e-32   8.2991e-03   8.2979e+00   2.1569e-37   1.0001e+00   -7.1429e-05  0.0000e+00   1.0000e-32  
5.1100e-03   1.6596e+07   1.6589e+07   8.2991e+03   1.6589e-02   8.2967e+00   5.0021e-01   9.9957e-01   4.2864e-04   0.0000e+00   1.0000e-32  
6.1100e-03   2.4892e+07   2.4869e+07   2.4888e+04   2.4869e-02   8.2955e+00   6.6695e-01   9.9907e-01   9.2840e-04   0.0000e+00   1.0000e-32  
7.1100e-03   3.3187e+07   3.3139e+07   4.9757e+04   3.3139e-02   8.2943e+00   7.5032e-01   9.9857e-01   1.4279e-03   1.4996e+05   1.0000e-32  
8.1100e-03   4.1481e+07   4.1401e+07   8.2896e+04   4.1401e-02   8.2932e+00   8.0034e-01   9.9807e-01   1.9270e-03   6.2800e+05   1.0000e-32  
9.1100e-03   4.9773e+07   4.9652e+07   1.2430e+05   4.9652e-02   8.2920e+00   8.3369e-01   9.9757e-01   2.4258e-03   1.3414e+06   1.0000e-32  
1.0110e-02   5.8065e+07   5.7895e+07   1.7395e+05   5.7895e-02   8.2908e+00   8.5751e-01   9.9708e-01   2.9244e-03   2.2277e+06   1.0000e-32  
1.1110e-02   6.6355e+07   6.6128e+07   2.3184e+05   6.6128e-02   8.2896e+00   8.7537e-01   9.9658e-01   3.4226e-03   3.2366e+06   1.0000e-32  
1.2110e-02   7.4644e+07   7.4351e+07   2.9797e+05   7.4351e-02   8.2884e+00   8.8927e-01   9.9608e-01   3.9205e-03   4.3355e+06   1.0000e-32  
1.3110e-02   8.2932e+07   8.2565e+07   3.7232e+05   8.2565e-02   8.2872e+00   9.0039e-01   9.9558e-01   4.4181e-03   5.5382e+06   1.0000e-32  
1.4110e-02   9.1218e+07   9.0770e+07   4.5489e+05   9.0770e-02   8.2861e+00   9.0948e-01   9.9508e-01   4.9154e-03   6.8557e+06   1.0000e-32  
1.5110e-02   9.9504e+07   9.8965e+07   5.4566e+05   9.8965e-02   8.2849e+00   9.1706e-01   9.9459e-01   5.4124e-03   8.2406e+06   1.0000e-32  
1.6110e-02   1.0779e+08   1.0715e+08   6.4462e+05   1.0715e-01   8.2837e+00   9.2347e-01   9.9409e-01   5.9090e-03   9.6819e+06   1.0000e-32  
1.7110e-02   1.1607e+08   1.1533e+08   7.5177e+05   1.1533e-01   8.2825e+00   9.2897e-01   9.9359e-01   6.4054e-03   1.1184e+07   1.0000e-32  
1.8110e-02   1.2435e+08   1.2349e+08   8.6710e+05   1.2349e-01   8.2813e+00   9.3373e-01   9.9310e-01   6.9015e-03   1.2754e+07   1.0000e-32  
