  ele   Z    A    013a000     015a000     020a000     025a000     030a000     040a000     060a000     080a000     120a000
  H     1    0  7.4327E-01  7.1343E-01  6.4520E-01  6.0738E-01  5.8671E-01  5.3956E-01  4.9949E-01  4.6141E-01  4.4161E-01
  He    2    0  1.5249E+00  1.4464E+00  1.4715E+00  1.3595E+00  1.3853E+00  1.3541E+00  1.4957E+00  1.5520E+00  1.7344E+00
  Li    3    0  8.7323E-03  9.3174E-03  1.1513E-02  1.1607E-02  1.1914E-02  1.2217E-02  1.1745E-02  1.1288E-02  1.1338E-02
  Be    4    0  1.2560E-02  1.2239E-02  2.1300E-02  2.0889E-02  2.0951E-02  1.9959E-02  1.8957E-02  1.5837E-02  1.5876E-02
  B     5    0  1.8126E-01  1.7397E-01  1.5924E-01  1.5279E-01  1.5015E-01  1.4358E-01  1.3875E-01  1.2859E-01  1.2239E-01
  C     6    0  4.1977E+00  6.9670E+00  9.3808E+00  1.1278E+01  1.2404E+01  1.2987E+01  2.2422E+01  2.3737E+01  2.1785E+01
  N     7    0  4.1359E+00  3.9311E+00  3.4151E+00  3.6855E+00  3.7208E+00  4.1111E+00  5.2475E+00  5.4103E+00  6.1939E+00
  O     8    0  3.7290E+00  7.5934E+00  1.1844E+01  1.8563E+01  2.0453E+01  2.6729E+01  2.3967E+01  2.5884E+01  2.2285E+01
  F     9    0  6.3024E-01  5.9875E-01  5.8471E-01  5.3074E-01  8.3316E-01  3.1900E+00  4.9448E-01  4.0637E-01  4.3777E-01
  Ne   10    0  3.1518E+00  8.3766E+00  1.8098E+01  3.0476E+01  1.7197E+01  2.6936E+01  1.5984E+01  1.2601E+01  8.4833E+00
  Na   11    0  3.0695E+00  6.2089E+00  1.2186E+01  3.1829E+01  1.7222E+01  2.7545E+01  1.6988E+01  1.1148E+01  6.3778E+00
  Mg   12    0  2.6676E+00  4.9505E+00  9.9591E+00  9.7068E+00  6.9695E+00  9.6954E+00  6.9345E+00  7.0691E+00  7.8331E+00
  Al   13    0  3.1496E+00  5.9086E+00  1.1675E+01  1.3636E+01  9.6347E+00  1.4269E+01  9.3733E+00  7.4382E+00  4.4956E+00
  Si   14    0  9.6725E+00  1.5060E+01  1.4120E+01  1.1475E+01  2.3419E+01  1.5394E+01  1.6144E+01  1.8544E+01  1.5949E+01
  P    15    0  6.7100E+00  1.0818E+01  1.1742E+01  1.1369E+01  1.6998E+01  1.5694E+01  1.4297E+01  1.5644E+01  1.3386E+01
  S    16    0  9.0018E+00  1.4186E+01  1.0956E+01  1.1344E+01  2.5537E+01  1.6197E+01  1.7923E+01  2.0975E+01  1.6211E+01
