  ele   Z    A    013a000     015a000     020a000     025a000     030a000     040a000     060a000     080a000     120a000
H       1    1  7.4330E-01  7.1346E-01  6.4522E-01  6.0740E-01  8.3698E-01  7.7923E-01  6.5887E-01  6.1017E-01  5.5259E-01
H2      1    2  8.7324E-03  9.3173E-03  1.0878E-02  1.0811E-02  1.5651E-02  1.5471E-02  1.3945E-02  1.3977E-02  1.3044E-02
He3     2    3  1.0202E+00  9.4536E-01  8.1924E-01  7.6011E-01  1.0499E+00  9.7821E-01  8.3171E-01  7.4962E-01  6.1185E-01
He4     2    4  1.5223E+00  1.4455E+00  1.4707E+00  1.3591E+00  1.4440E+00  1.6014E+00  1.8946E+00  1.9828E+00  2.1291E+00
Li6     3    6  8.7323E-03  9.3174E-03  1.0925E-02  1.0896E-02  1.5834E-02  1.5779E-02  1.4417E-02  1.4601E-02  1.3800E-02
Li7     3    7  8.7323E-03  9.3174E-03  1.1555E-02  1.1657E-02  1.7078E-02  1.7774E-02  1.5568E-02  1.4950E-02  1.4213E-02
Be9     4    9  1.2560E-02  1.2239E-02  2.1300E-02  2.0889E-02  2.9887E-02  2.8823E-02  2.5005E-02  2.0942E-02  1.9865E-02
B10     5   10  3.0173E-02  2.8682E-02  2.8534E-02  3.5170E-02  4.9620E-02  4.7004E-02  4.0022E-02  3.4072E-02  3.1475E-02
B11     5   11  2.1539E-01  2.0678E-01  1.8876E-01  1.7936E-01  2.5136E-01  2.4357E-01  2.1530E-01  2.0075E-01  1.8062E-01
C12     6   12  4.2229E+00  7.0266E+00  9.4704E+00  1.1391E+01  5.5584E-01  5.2517E-01  3.9349E+00  8.3346E+00  9.3148E+00
C13     6   13  2.1141E+00  2.0435E+00  1.9874E+00  1.9484E+00  2.6407E+00  2.4471E+00  1.4068E+00  1.0428E+00  9.1043E-01
N14     7   14  4.1452E+00  3.9400E+00  3.4225E+00  3.6937E+00  5.0872E+00  5.8159E+00  6.9361E+00  7.1706E+00  7.7677E+00
N15     7   15  3.4621E-01  3.2820E-01  4.3086E-01  3.2446E-01  3.8730E-01  3.6937E-01  3.4370E-01  3.2454E-01  2.9962E-01
O16     8   16  3.6829E+00  7.5696E+00  1.1815E+01  1.8582E+01  6.6880E-01  5.8628E-01  6.0187E-01  7.3380E-01  6.9443E-01
O17     8   17  2.0853E+00  1.7899E+00  1.0817E+00  8.8666E-01  9.1412E-01  6.9425E-01  5.3015E-01  4.6076E-01  3.7003E-01
O18     8   18  2.4455E+01  1.9211E+01  2.6425E+01  1.3353E+01  5.8452E-01  5.3922E-01  4.1623E-01  3.5292E-01  2.7547E-01
F19     9   19  6.3024E-01  5.9875E-01  5.8471E-01  5.3074E-01  6.3905E-01  5.5822E-01  6.2074E-01  5.2593E-01  5.4392E-01
Ne20   10   20  2.8497E+00  8.3013E+00  1.8189E+01  3.1944E+01  9.8933E-01  9.8418E-01  9.7362E-01  9.6803E-01  9.6099E-01
Ne21   10   21  2.2140E+00  3.9083E+00  5.8524E+00  1.3459E+01  1.9130E+00  1.5762E+00  1.1182E+00  9.0420E-01  6.8211E-01
Ne22   10   22  6.9165E+00  9.4457E+00  1.7358E+01  1.2858E+01  6.5449E-01  5.7960E-01  4.1187E+00  9.2261E+00  1.2048E+01
Na23   11   23  3.0695E+00  6.2089E+00  1.2186E+01  3.1829E+01  2.5429E+00  3.0617E+00  4.0273E+00  4.4657E+00  5.0309E+00
Mg24   12   24  2.8707E+00  5.2262E+00  1.0618E+01  8.9839E+00  1.0001E+00  1.0002E+00  1.0003E+00  1.0007E+00  1.0010E+00
Mg25   12   25  1.8858E+00  4.2255E+00  8.4712E+00  1.3224E+01  6.9915E-01  6.1719E-01  4.8426E-01  4.3863E-01  3.7448E-01
Mg26   12   26  2.0048E+00  3.7578E+00  6.8967E+00  1.1423E+01  1.2224E+00  1.2608E+00  1.3253E+00  1.3376E+00  1.3533E+00
Al27   13   27  3.1496E+00  5.9086E+00  1.1675E+01  1.3636E+01  1.0815E+00  1.1423E+00  1.2606E+00  1.3492E+00  1.4701E+00
Si28   14   28  1.0019E+01  1.5619E+01  1.4274E+01  1.1778E+01  1.0000E+00  1.0001E+00  1.0002E+00  1.0003E+00  1.0005E+00
Si29   14   29  3.5977E+00  5.7495E+00  9.1680E+00  6.8692E+00  9.9996E-01  9.9993E-01  1.0004E+00  1.0014E+00  1.0020E+00
Si30   14   30  8.9207E+00  1.3133E+01  1.7098E+01  9.8052E+00  1.0000E+00  1.0001E+00  1.0010E+00  1.0037E+00  1.0052E+00
P31    15   31  6.7100E+00  1.0818E+01  1.1742E+01  1.1369E+01  1.0000E+00  1.0000E+00  1.0026E+00  1.0110E+00  1.0146E+00
S32    16   32  8.9604E+00  1.4132E+01  1.0905E+01  1.1159E+01  9.9999E-01  9.9999E-01  9.9972E-01  9.9873E-01  9.9822E-01
S33    16   33  7.3659E+00  1.2063E+01  1.0541E+01  1.2688E+01  9.9999E-01  9.9999E-01  1.0384E+00  1.1539E+00  1.2133E+00
S34    16   34  1.0182E+01  1.5725E+01  1.2115E+01  1.4981E+01  9.9999E-01  9.9999E-01  1.0003E+00  1.0015E+00  1.0022E+00
S36    16   36  1.3910E+00  1.9771E+00  3.4443E+00  6.4949E+00  9.9998E-01  1.0000E+00  1.0000E+00  9.9991E-01  9.9987E-01
Cl35   17   35  2.0425E+00  2.9770E+00  2.5322E+00  4.0319E+00  9.9999E-01  1.0000E+00  9.9853E-01  9.9377E-01  9.9151E-01
Cl37   17   37  1.6047E+00  2.1752E+00  2.5625E+00  3.8044E+00  1.0000E+00  1.0000E+00  1.0353E+00  1.1447E+00  1.1963E+00
Ar36   18   36  8.6619E+00  1.3303E+01  1.0066E+01  1.0523E+01  9.9998E-01  1.0000E+00  9.9893E-01  9.9539E-01  9.9370E-01
Ar38   18   38  5.3149E+00  8.1987E+00  6.1920E+00  8.9364E+00  1.0000E+00  1.0000E+00  9.9973E-01  9.9881E-01  9.9844E-01
Ar40   18   40  1.6699E+00  2.0638E+00  3.4118E+00  7.1014E+00  1.0000E+00  1.0000E+00  1.0002E+00  1.0075E+00  1.0209E+00
K39    19   39  2.0628E+00  2.7905E+00  2.3654E+00  3.0854E+00  9.9999E-01  9.9999E-01  1.0002E+00  1.0008E+00  1.0011E+00
K40    19   40  4.7836E+00  9.7878E+00  1.6359E+01  2.2385E+01  9.9701E-01  9.9837E-01  1.9235E+00  4.5204E+00  5.7534E+00
K41    19   41  2.4601E+00  3.6202E+00  4.0934E+00  4.5829E+00  1.0000E+00  1.0002E+00  1.2287E+00  1.8751E+00  2.1896E+00
Ca40   20   40  7.1355E+00  1.0601E+01  8.2568E+00  8.4954E+00  9.9998E-01  1.0000E+00  9.9920E-01  9.9643E-01  9.9513E-01
Ca42   20   42  4.1752E+00  6.5671E+00  6.3384E+00  9.7636E+00  9.9999E-01  9.9999E-01  1.0098E+00  1.0846E+00  1.1163E+00
Ca43   20   43  1.6208E+00  2.2696E+00  4.2761E+00  7.0670E+00  9.9999E-01  1.0000E+00  1.0019E+00  1.0246E+00  1.0346E+00
Ca44   20   44  2.5863E+00  1.7622E+00  1.9889E+00  2.4251E+00  9.9997E-01  9.9997E-01  9.9956E-01  9.9821E-01  9.9746E-01
Ca46   20   46  3.3533E+00  2.6780E+00  5.8235E+00  2.4963E+01  9.9999E-01  9.9999E-01  9.9938E-01  9.9729E-01  9.9641E-01
Ca48   20   48  9.6982E-01  9.5317E-01  9.4744E-01  9.3634E-01  9.9997E-01  9.9997E-01  9.9990E-01  9.9948E-01  9.9935E-01
Sc45   21   45  1.9954E+00  2.6699E+00  5.2777E+00  1.0565E+01  1.0000E+00  1.0000E+00  1.0212E+00  1.0732E+00  1.1003E+00
Ti46   22   46  3.9274E+00  5.4431E+00  5.1994E+00  6.6131E+00  9.9998E-01  9.9998E-01  1.0000E+00  1.0026E+00  1.0036E+00
Ti47   22   47  1.2967E+00  1.3072E+00  1.5906E+00  2.1109E+00  1.0000E+00  1.0000E+00  9.9381E-01  9.7890E-01  9.7158E-01
Ti48   22   48  4.2704E+00  3.9250E+00  3.1645E+00  3.4168E+00  1.0000E+00  1.0000E+00  9.9643E-01  9.8549E-01  9.8014E-01
Ti49   22   49  3.3818E+00  4.8871E+00  4.4567E+00  5.5325E+00  1.0000E+00  1.0000E+00  1.0561E+00  1.2060E+00  1.2807E+00
Ti50   22   50  1.2174E+00  1.4944E+00  2.3248E+00  3.9617E+00  9.9998E-01  9.9998E-01  1.0064E+00  1.0407E+00  1.0562E+00
V50    23   50  4.6982E+00  9.7122E+00  1.5119E+01  2.0259E+01  9.9999E-01  9.9999E-01  9.9298E-01  9.7477E-01  9.6601E-01
V51    23   51  4.2311E+00  6.5933E+00  5.4739E+00  5.3403E+00  9.9997E-01  1.0000E+00  1.0077E+00  1.0175E+00  1.0227E+00
Cr50   24   50  6.4762E+00  1.1382E+01  1.0473E+01  8.0398E+00  9.9998E-01  1.0000E+00  9.9255E-01  9.7338E-01  9.6416E-01
Cr52   24   52  5.7045E+00  8.0494E+00  6.4194E+00  7.5791E+00  9.9998E-01  9.9998E-01  9.9941E-01  9.9762E-01  9.9676E-01
Cr53   24   53  5.7710E+00  9.2170E+00  7.3413E+00  7.8977E+00  9.9996E-01  1.0000E+00  9.9606E-01  9.8667E-01  9.8253E-01
Cr54   24   54  1.3067E+00  1.6860E+00  2.4062E+00  3.3293E+00  9.9999E-01  1.0001E+00  1.0434E+00  1.1612E+00  1.2180E+00
Mn55   25   55  4.6522E+00  7.5983E+00  6.2434E+00  6.0851E+00  1.0000E+00  1.0000E+00  1.0232E+00  1.0670E+00  1.0880E+00
Fe54   26   54  5.1910E+00  9.2466E+00  8.1329E+00  6.6739E+00  9.9999E-01  9.9999E-01  9.9503E-01  9.8095E-01  9.7428E-01
Fe56   26   56  6.0643E+00  5.3199E+00  4.0941E+00  3.3816E+00  1.0000E+00  1.0000E+00  9.9919E-01  9.9668E-01  9.9543E-01
Fe57   26   57  9.5080E+00  7.1713E+00  5.5760E+00  4.0483E+00  1.0000E+00  1.0000E+00  1.0316E+00  1.1122E+00  1.1540E+00
Fe58   26   58  2.7979E+00  5.4610E+00  9.5085E+00  1.3363E+01  9.9999E-01  1.0000E+00  1.0727E+00  1.3890E+00  1.5385E+00
