 ele  Z   A   PFAv000     PFAv150     PFAv300     PFBv000     PFBv150     PFBv300     PFCv000     PFCv150     PFCv300     PFDv000     PFDv150     PFDv300      YAv000      YAv150      YAv300      YBv000      YBv150      YBv300      YCv000      YCv150      YCv300      YDv000      YDv150      YDv300     PFAvavg     PFBvavg     PFCvavg     PFDvavg      YAvavg      YBvavg      YCvavg      YDvavg       iniA        iniB        iniC        iniD 
H       1    1  6.7777E-01  5.3604E-01  4.5696E-01  7.0398E-01  5.6095E-01  5.4506E-01  6.6277E-01  6.3819E-01  6.1761E-01  6.5158E-01  6.5867E-01  6.5248E-01  3.8976E-01  3.0315E-01  2.6151E-01  3.0301E-01  2.7106E-01  2.8021E-01  2.0108E-01  2.8193E-01  2.8689E-01  1.8924E-01  2.7336E-01  2.9080E-01  6.7776E-01  7.0397E-01  6.6277E-01  6.5158E-01  3.8976E-01  3.0301E-01  2.0109E-01  1.8924E-01  7.2155E-01  7.4676E-01  7.5968E-01  7.5997E-01
H2      1    2  1.2401E-02  1.2924E-04  5.5557E-05  1.5922E-02  2.3539E-05  2.2199E-05  2.0536E-02  3.8705E-06  3.6840E-06  9.7785E-03  8.2427E-07  7.6745E-07  2.9095E-07  2.9820E-09  1.2972E-09  2.7295E-07  4.5304E-10  4.5454E-10  2.4394E-07  6.6943E-11  6.6998E-11  1.1115E-07  1.3388E-11  1.3386E-11  1.2400E-02  1.5921E-02  2.0535E-02  9.7777E-03  2.9093E-07  2.7294E-07  2.4393E-07  1.1114E-07  2.9439E-05  2.9743E-05  2.9743E-05  2.9743E-05
He3     2    3  8.5555E-01  4.8626E-01  3.0084E-01  9.0669E-01  4.4993E-01  2.4412E-01  6.3811E-01  3.0841E-01  1.4738E-01  4.5527E-01  2.3102E-01  6.5440E-02  2.1271E-05  1.1890E-05  7.4435E-06  1.6471E-05  9.1765E-06  5.2968E-06  8.0321E-06  5.6525E-06  2.8403E-06  5.4836E-06  3.9764E-06  1.2096E-06  8.5553E-01  9.0666E-01  6.3809E-01  4.5525E-01  2.1271E-05  1.6471E-05  8.0320E-06  5.4835E-06  3.1196E-05  3.1518E-05  3.1518E-05  3.1518E-05
He4     2    4  1.6283E+00  1.7064E+00  1.9430E+00  1.5021E+00  1.6301E+00  1.6582E+00  1.5408E+00  1.4404E+00  1.3924E+00  1.5022E+00  1.3383E+00  1.3409E+00  3.4390E-01  3.5443E-01  4.0837E-01  2.1644E-01  2.6370E-01  2.8538E-01  1.4768E-01  2.0103E-01  2.0434E-01  1.3777E-01  1.7540E-01  1.8872E-01  1.6283E+00  1.5021E+00  1.5408E+00  1.5022E+00  3.4390E-01  2.1644E-01  1.4768E-01  1.3778E-01  2.6500E-01  2.5000E-01  2.4000E-01  2.4000E-01
Li6     3    6  1.2656E-02  1.7152E-03  1.2448E-03  1.6010E-02  8.6877E-04  5.2088E-04  2.0546E-02  1.4488E-04  8.2382E-05  9.7796E-03  1.1024E-04  5.8550E-05  6.0120E-12  8.0129E-13  5.8842E-13  1.2440E-12  7.5787E-14  4.8341E-14  1.1062E-12  1.1358E-14  6.7907E-15  5.0383E-13  8.1158E-15  4.6288E-15  1.2656E-02  1.6009E-02  2.0545E-02  9.7789E-03  6.0117E-12  1.2440E-12  1.1061E-12  5.0380E-13  5.9602E-10  1.3481E-10  1.3481E-10  1.3481E-10
Li7     3    7  1.3425E-02  2.6492E-03  1.9188E-03  1.6827E-02  1.5692E-01  1.3356E-01  2.0692E-02  1.2751E-01  5.7229E-02  9.8354E-03  3.1566E-02  3.9001E-02  9.0581E-11  1.7579E-11  1.2884E-11  1.8572E-11  1.9445E-10  1.7606E-10  1.5824E-11  1.4199E-10  6.7008E-11  7.1974E-12  3.3010E-11  4.3798E-11  1.3424E-02  1.6835E-02  2.0700E-02  9.8370E-03  9.0577E-11  1.8581E-11  1.5831E-11  7.1987E-12  8.4661E-09  1.9149E-09  1.9149E-09  1.9149E-09
Be9     4    9  2.1576E-02  3.7237E-03  2.8771E-03  2.1443E-02  2.0256E-03  1.0166E-03  2.1792E-02  2.7727E-04  1.5200E-04  9.7846E-03  1.4899E-04  7.7523E-05  2.7322E-12  4.6374E-13  3.6256E-13  1.9839E-13  2.1039E-14  1.1233E-14  1.3969E-14  2.5880E-16  1.4918E-16  6.0018E-16  1.3059E-17  7.2972E-18  2.1575E-02  2.1442E-02  2.1790E-02  9.7839E-03  2.7321E-12  1.9838E-13  1.3969E-14  6.0015E-16  1.5889E-10  1.6051E-11  1.6051E-12  1.6051E-13
B10     5   10  3.5779E-02  5.3780E-03  4.1229E-03  3.6787E-02  2.9366E-03  1.4066E-03  2.5308E-02  3.8534E-04  1.9646E-04  1.1203E-02  1.7570E-04  8.9490E-05  2.0932E-11  3.0942E-12  2.4003E-12  1.5723E-12  1.4091E-13  7.1804E-14  7.4946E-14  1.6616E-15  8.9074E-16  3.1747E-15  7.1149E-17  3.8915E-17  3.5778E-02  3.6785E-02  2.5306E-02  1.1203E-02  2.0931E-11  1.5722E-12  7.4942E-14  3.1745E-15  7.3404E-10  7.4151E-11  7.4151E-12  7.4151E-13
B11     5   11  2.0726E-01  6.5453E-02  3.2139E-02  2.1902E-01  4.5123E-02  1.3182E-02  1.3841E-01  1.3725E-02  1.0386E-03  8.1275E-02  6.8504E-03  3.0231E-04  5.3685E-10  1.6674E-10  8.2844E-11  4.1447E-11  9.5865E-12  2.9794E-12  1.8149E-12  2.6204E-13  2.0851E-14  1.0197E-13  1.2282E-14  5.8208E-16  2.0725E-01  2.1901E-01  1.3840E-01  8.1270E-02  5.3683E-10  4.1445E-11  1.8148E-12  1.0197E-13  3.2501E-09  3.2832E-10  3.2832E-11  3.2832E-12
C12     6   12  6.4518E+00  1.5374E+01  1.5231E+01  3.4879E+01  6.4421E+01  5.8940E+01  4.8760E+02  5.0010E+02  4.1799E+02  5.0079E+03  4.5196E+03  5.4024E+03  1.2091E-02  2.8334E-02  2.8405E-02  8.8014E-03  1.8250E-02  1.7764E-02  8.5254E-03  1.2732E-02  1.1189E-02  8.3786E-03  1.0805E-02  1.3870E-02  6.4522E+00  3.4881E+01  4.8760E+02  5.0079E+03  1.2092E-02  8.8019E-03  8.5257E-03  8.3787E-03  2.3514E-03  4.3780E-04  4.3780E-05  4.3780E-06
C13     6   13  1.8498E+00  3.0865E+00  4.3207E+00  1.8897E+00  6.1828E+00  8.7159E+00  1.6831E+00  1.1733E+02  1.4451E+02  1.3997E+00  1.8436E+02  1.8677E+02  4.2007E-05  6.8933E-05  9.7644E-05  5.7785E-06  2.1225E-05  3.1833E-05  3.5661E-07  3.6198E-05  4.6878E-05  2.8378E-08  5.3414E-06  5.8108E-06  1.8498E+00  1.8900E+00  1.6921E+00  1.4136E+00  4.2008E-05  5.7793E-06  3.5851E-07  2.8661E-08  2.8494E-05  5.3052E-06  5.3052E-07  5.3052E-08
N14     7   14  5.1719E+00  6.9238E+00  9.3272E+00  1.0436E+01  6.1321E+01  4.4795E+01  9.8442E+00  4.4073E+02  3.5033E+02  1.1069E+01  2.6840E+03  4.6696E+03  2.8656E-03  3.7727E-03  5.1428E-03  4.1814E-04  2.7582E-03  2.1436E-03  2.7328E-05  1.7815E-03  1.4890E-03  2.9404E-06  1.0189E-03  1.9035E-03  5.1720E+00  1.0439E+01  9.8776E+00  1.1272E+01  2.8656E-03  4.1826E-04  2.7422E-05  2.9945E-06  6.9520E-04  6.9511E-05  6.9511E-06  6.9511E-07
N15     7   15  3.5597E-01  3.5319E-01  5.6918E-01  5.7148E-01  6.1004E+02  3.7747E+02  6.2381E-01  2.2211E+03  1.1196E+03  4.8311E+00  1.5787E+04  1.2739E+04  4.8501E-07  4.7327E-07  7.7176E-07  5.6306E-08  6.7479E-05  4.4420E-05  4.2587E-09  2.2078E-05  1.1702E-05  3.1559E-09  1.4737E-05  1.2771E-05  3.5597E-01  6.0788E-01  7.9579E-01  6.0307E+00  4.8501E-07  5.9893E-08  5.4329E-09  3.9396E-09  1.7096E-06  1.7094E-07  1.7094E-08  1.7094E-09
O16     8   16  5.9485E+00  1.2814E+01  1.3418E+01  2.5571E+01  5.0356E+01  4.8195E+01  3.1988E+02  5.2041E+02  5.7405E+02  3.7999E+03  5.8047E+03  5.6549E+03  2.7285E-02  5.7802E-02  6.1248E-02  3.0093E-02  6.6533E-02  6.7745E-02  2.6084E-02  6.1790E-02  7.1668E-02  2.9650E-02  6.4724E-02  6.7711E-02  5.9488E+00  2.5572E+01  3.1990E+02  3.8000E+03  2.7286E-02  3.0095E-02  2.6086E-02  2.9652E-02  5.7553E-03  2.0418E-03  2.0418E-04  2.0418E-05
O17     8   17  9.4903E-01  1.0380E+00  1.4775E+00  1.3209E+00  2.2231E+01  2.1475E+01  5.5520E+00  2.2904E+02  9.2967E+01  9.4509E+00  1.3812E+03  1.3471E+03  1.7571E-06  1.8900E-06  2.7223E-06  6.2747E-07  1.1856E-05  1.2185E-05  1.8274E-07  1.0977E-05  4.6849E-06  2.9766E-08  6.2163E-06  6.5110E-06  9.4903E-01  1.3222E+00  5.5693E+00  9.5551E+00  1.7571E-06  6.2807E-07  1.8331E-07  3.0095E-08  2.3231E-06  8.2416E-07  8.2416E-08  8.2416E-09
O18     8   18  1.0292E+01  6.2541E-01  1.4137E+00  8.7652E+00  3.6243E+02  5.1690E+02  1.1794E+01  2.2235E+03  4.3862E+03  8.5224E+00  2.2045E+04  3.4250E+04  1.0647E-04  6.3627E-06  1.4554E-05  2.3265E-05  1.0800E-03  1.6387E-03  2.1691E-06  5.9542E-04  1.2351E-03  1.4998E-07  5.5438E-04  9.2493E-04  1.0292E+01  8.7864E+00  1.1966E+01  1.0197E+01  1.0646E-04  2.3321E-05  2.2007E-06  1.7946E-07  1.2980E-05  4.6050E-06  4.6050E-07  4.6050E-08
