  ele   Z    A    013a000     015a000     020a000     025a000     030a000     040a000     060a000     080a000     120a000
H       1    1  7.4392E-01  7.1587E-01  6.4685E-01  6.0959E-01  5.9492E-01  5.4329E-01  5.0366E-01  4.6584E-01  4.4465E-01
H2      1    2  8.7397E-03  9.3488E-03  1.0906E-02  1.0850E-02  1.1124E-02  1.0786E-02  1.0660E-02  1.0671E-02  1.0496E-02
He3     2    3  1.0210E+00  9.4855E-01  8.2131E-01  7.6285E-01  7.4626E-01  6.8203E-01  6.3579E-01  5.7230E-01  4.9233E-01
He4     2    4  1.5236E+00  1.4504E+00  1.4744E+00  1.3640E+00  1.4047E+00  1.3635E+00  1.5082E+00  1.5669E+00  1.7464E+00
Li6     3    6  8.7396E-03  9.3489E-03  1.0953E-02  1.0935E-02  1.1254E-02  1.1002E-02  1.1020E-02  1.1147E-02  1.1104E-02
Li7     3    7  8.7396E-03  9.3489E-03  1.1584E-02  1.1699E-02  1.2139E-02  1.2393E-02  1.1900E-02  1.1414E-02  1.1437E-02
Be9     4    9  1.2571E-02  1.2281E-02  2.1354E-02  2.0964E-02  2.1244E-02  2.0096E-02  1.9115E-02  1.5988E-02  1.5985E-02
B10     5   10  3.0198E-02  2.8779E-02  2.8606E-02  3.5297E-02  3.5270E-02  3.2772E-02  3.0594E-02  2.6012E-02  2.5327E-02
B11     5   11  2.1557E-01  2.0748E-01  1.8923E-01  1.8000E-01  1.7866E-01  1.6982E-01  1.6458E-01  1.5326E-01  1.4534E-01
C12     6   12  4.2265E+00  7.0504E+00  9.4943E+00  1.1433E+01  1.2706E+01  1.3214E+01  2.2869E+01  2.4244E+01  2.2191E+01
C13     6   13  2.1159E+00  2.0504E+00  1.9924E+00  1.9554E+00  1.8927E+00  1.7158E+00  1.0755E+00  7.9629E-01  7.3288E-01
N14     7   14  4.1487E+00  3.9533E+00  3.4311E+00  3.7071E+00  3.7811E+00  4.1487E+00  5.3035E+00  5.4747E+00  6.2509E+00
N15     7   15  3.4650E-01  3.2931E-01  4.3194E-01  3.2563E-01  3.8191E-01  3.5772E-01  2.6454E-01  2.4844E-01  2.4166E-01
O16     8   16  3.6852E+00  7.5917E+00  1.1844E+01  1.8643E+01  2.0767E+01  2.6968E+01  2.4224E+01  2.6190E+01  2.2494E+01
O17     8   17  2.0871E+00  1.7960E+00  1.0845E+00  8.8985E-01  9.2252E-01  7.1894E-01  6.5965E-01  4.7029E-01  4.4270E-01
O18     8   18  2.4476E+01  1.9276E+01  2.6492E+01  1.3401E+01  1.5271E+00  4.5665E-01  3.1977E-01  2.6987E-01  2.2192E-01
F19     9   19  6.3077E-01  6.0077E-01  5.8618E-01  5.3266E-01  8.4479E-01  3.2120E+00  4.9859E-01  4.1025E-01  4.4077E-01
Ne20   10   20  2.8521E+00  8.3294E+00  1.8235E+01  3.2059E+01  1.7464E+01  2.8314E+01  1.6531E+01  1.2831E+01  8.2610E+00
Ne21   10   21  2.2158E+00  3.9215E+00  5.8672E+00  1.3508E+01  1.0703E+01  1.5294E+01  1.2393E+01  1.2469E+01  7.4048E+00
Ne22   10   22  6.9223E+00  9.4776E+00  1.7402E+01  1.2905E+01  1.7317E+01  1.2744E+01  1.1116E+01  1.1366E+01  1.2042E+01
Na23   11   23  3.0721E+00  6.2299E+00  1.2217E+01  3.1944E+01  1.7462E+01  2.7734E+01  1.7129E+01  1.1255E+01  6.4215E+00
Mg24   12   24  2.8731E+00  5.2437E+00  1.0644E+01  9.0162E+00  6.3809E+00  8.3288E+00  5.4350E+00  5.0037E+00  6.3110E+00
Mg25   12   25  1.8874E+00  4.2398E+00  8.4926E+00  1.3271E+01  1.0172E+01  1.6300E+01  1.3720E+01  1.5769E+01  1.5246E+01
Mg26   12   26  2.0065E+00  3.7705E+00  6.9141E+00  1.1464E+01  8.8943E+00  1.3544E+01  1.1427E+01  1.3721E+01  1.1894E+01
Al27   13   27  3.1522E+00  5.9285E+00  1.1705E+01  1.3686E+01  9.7691E+00  1.4367E+01  9.4512E+00  7.5091E+00  4.5264E+00
Si28   14   28  9.3487E+00  1.2858E+01  1.2179E+01  8.7330E+00  1.3783E+01  1.0593E+01  1.0266E+01  1.1974E+01  1.0984E+01
Si29   14   29  3.6006E+00  5.7675E+00  9.1906E+00  6.8930E+00  9.4756E+00  9.5285E+00  8.2624E+00  8.7909E+00  8.3843E+00
Si30   14   30  8.9281E+00  1.3177E+01  1.7141E+01  9.8406E+00  1.5144E+01  1.4423E+01  1.2885E+01  1.4215E+01  1.7458E+01
P31    15   31  6.7152E+00  1.0850E+01  1.1771E+01  1.1408E+01  1.7207E+01  1.5799E+01  1.4413E+01  1.5791E+01  1.3476E+01
S32    16   32  8.0081E+00  1.0304E+01  8.1379E+00  6.7638E+00  1.0170E+01  7.9143E+00  8.2842E+00  1.0004E+01  8.5065E+00
S33    16   33  7.3643E+00  1.2052E+01  1.0549E+01  1.2692E+01  2.1352E+01  1.8273E+01  1.8863E+01  2.0978E+01  1.5576E+01
S34    16   34  1.0191E+01  1.5774E+01  1.2147E+01  1.5037E+01  2.5675E+01  2.1912E+01  2.2270E+01  2.7320E+01  1.8940E+01
