 ele  Z   A   PFAv000     PFAv150     PFAv300     PFBv000     PFBv150     PFBv300     PFCv000     PFCv150     PFCv300     PFDv000     PFDv150     PFDv300      YAv000      YAv150      YAv300      YBv000      YBv150      YBv300      YCv000      YCv150      YCv300      YDv000      YDv150      YDv300     PFAvavg     PFBvavg     PFCvavg     PFDvavg      YAvavg      YBvavg      YCvavg      YDvavg       iniA        iniB        iniC        iniD 
H       1    1  5.7640E-01  4.5958E-01  3.9472E-01  5.4872E-01  4.4056E-01  4.1997E-01  5.4371E-01  4.8181E-01  4.2988E-01  5.5139E-01  4.4715E-01  4.2666E-01  3.8976E-01  3.0315E-01  2.6151E-01  3.7830E-01  2.9457E-01  2.8021E-01  3.8425E-01  3.0862E-01  2.8689E-01  3.8833E-01  3.0163E-01  2.9084E-01  5.7639E-01  5.4872E-01  5.4370E-01  5.5139E-01  3.8976E-01  3.7830E-01  3.8425E-01  3.8832E-01  7.2155E-01  7.4676E-01  7.5968E-01  7.5997E-01
H2      1    2  1.0546E-02  1.1080E-04  4.7990E-05  9.9403E-03  1.7012E-05  1.7104E-05  8.8162E-03  2.6693E-06  2.5642E-06  4.0324E-03  5.0712E-07  5.0176E-07  2.9095E-07  2.9820E-09  1.2972E-09  2.7295E-07  4.5304E-10  4.5454E-10  2.4394E-07  6.6943E-11  6.6998E-11  1.1115E-07  1.3388E-11  1.3386E-11  1.0545E-02  9.9397E-03  8.8158E-03  4.0322E-03  2.9093E-07  2.7294E-07  2.4393E-07  1.1114E-07  2.9439E-05  2.9743E-05  2.9743E-05  2.9743E-05
He3     2    3  7.2759E-01  4.1690E-01  2.5987E-01  6.1679E-01  3.3314E-01  1.8809E-01  4.6004E-01  2.1808E-01  1.0258E-01  3.4998E-01  1.4745E-01  4.2785E-02  2.1271E-05  1.1890E-05  7.4435E-06  1.7947E-05  9.4012E-06  5.2968E-06  1.3489E-05  5.7954E-06  2.8403E-06  1.0222E-05  4.1252E-06  1.2096E-06  7.2757E-01  6.1677E-01  4.6003E-01  3.4997E-01  2.1271E-05  1.7947E-05  1.3488E-05  1.0222E-05  3.1196E-05  3.1518E-05  3.1518E-05  3.1518E-05
He4     2    4  1.4769E+00  1.4888E+00  1.7052E+00  1.4847E+00  1.3434E+00  1.3175E+00  1.5496E+00  1.1237E+00  1.0133E+00  1.4556E+00  1.0308E+00  9.8404E-01  3.6677E-01  3.6067E-01  4.1491E-01  3.4268E-01  3.0070E-01  2.9429E-01  3.4597E-01  2.2740E-01  2.1364E-01  3.2374E-01  2.1959E-01  2.1184E-01  1.4769E+00  1.4847E+00  1.5495E+00  1.4556E+00  3.6677E-01  3.4268E-01  3.4596E-01  3.2374E-01  2.6500E-01  2.5000E-01  2.4000E-01  2.4000E-01
Li6     3    6  1.0763E-02  1.4706E-03  1.0752E-03  9.9954E-03  6.2788E-04  4.0135E-04  8.8205E-03  9.9920E-05  5.7341E-05  4.0329E-03  6.7824E-05  3.8282E-05  6.0120E-12  8.0129E-13  5.8842E-13  1.2440E-12  7.5787E-14  4.8341E-14  1.1062E-12  1.1358E-14  6.7908E-15  5.0383E-13  8.1158E-15  4.6290E-15  1.0763E-02  9.9950E-03  8.8200E-03  4.0327E-03  6.0117E-12  1.2440E-12  1.1061E-12  5.0380E-13  5.9602E-10  1.3481E-10  1.3481E-10  1.3481E-10
Li7     3    7  1.1417E-02  2.2714E-03  1.6575E-03  1.0813E-02  1.1799E-01  1.0291E-01  1.9300E-02  8.8042E-02  3.9834E-02  6.1124E-03  1.9435E-02  2.5500E-02  9.0581E-11  1.7579E-11  1.2884E-11  1.9115E-11  2.0229E-10  1.7606E-10  3.4382E-11  1.4215E-10  6.7008E-11  1.0847E-11  3.3034E-11  4.3799E-11  1.1416E-02  1.0818E-02  1.9304E-02  6.1130E-03  9.0577E-11  1.9125E-11  3.4388E-11  1.0848E-11  8.4661E-09  1.9149E-09  1.9149E-09  1.9149E-09
Be9     4    9  1.8349E-02  3.1926E-03  2.4852E-03  1.3388E-02  1.4639E-03  7.8331E-04  9.3553E-03  1.9122E-04  1.0580E-04  4.0350E-03  9.1661E-05  5.0685E-05  2.7322E-12  4.6374E-13  3.6256E-13  1.9839E-13  2.1039E-14  1.1233E-14  1.3969E-14  2.5880E-16  1.4918E-16  6.0018E-16  1.3059E-17  7.2972E-18  1.8348E-02  1.3387E-02  9.3548E-03  4.0348E-03  2.7321E-12  1.9838E-13  1.3969E-14  6.0015E-16  1.5889E-10  1.6051E-11  1.6051E-12  1.6051E-13
B10     5   10  3.0428E-02  4.6110E-03  3.5614E-03  2.2967E-02  2.1224E-03  1.0838E-03  1.2042E-02  2.6577E-04  1.3734E-04  5.4109E-03  1.0876E-04  6.4307E-05  2.0932E-11  3.0942E-12  2.4003E-12  1.5723E-12  1.4091E-13  7.1804E-14  8.3070E-14  1.6616E-15  8.9465E-16  3.7181E-15  7.1587E-17  4.2771E-17  3.0427E-02  2.2966E-02  1.2042E-02  5.4106E-03  2.0931E-11  1.5722E-12  8.3066E-14  3.7179E-15  7.3404E-10  7.4151E-11  7.4151E-12  7.4151E-13
B11     5   11  1.7626E-01  5.6118E-02  2.7761E-02  1.4590E-01  3.3180E-02  1.0157E-02  1.0061E-01  9.5917E-03  7.2306E-04  6.7407E-02  4.2609E-03  2.0859E-04  5.3685E-10  1.6674E-10  8.2844E-11  4.4223E-11  9.7536E-12  2.9794E-12  3.0730E-12  2.6553E-13  2.0855E-14  2.0509E-13  1.2417E-14  6.1429E-16  1.7625E-01  1.4589E-01  1.0061E-01  6.7404E-02  5.3683E-10  4.4222E-11  3.0728E-12  2.0508E-13  3.2501E-09  3.2832E-10  3.2832E-11  3.2832E-12
C12     6   12  1.4770E+01  2.3959E+01  2.3057E+01  7.0325E+01  1.1293E+02  1.1679E+02  6.7602E+02  1.0519E+03  1.1359E+03  6.9557E+03  9.3059E+03  1.3403E+04  3.2546E-02  5.1502E-02  4.9779E-02  2.8424E-02  4.4268E-02  4.5684E-02  2.7533E-02  3.8830E-02  4.3687E-02  2.8220E-02  3.6163E-02  5.2633E-02  1.4770E+01  7.0327E+01  6.7604E+02  6.9559E+03  3.2547E-02  2.8425E-02  2.7533E-02  2.8221E-02  2.3514E-03  4.3780E-04  4.3780E-05  4.3780E-06
