  ele   Z    A    013a000     015a000     020a000     025a000     030a000     040a000     060a000     080a000     120a000
  H     1    0  7.4389E-01  7.1584E-01  6.4682E-01  6.0957E-01  8.3694E-01  7.7919E-01  6.5885E-01  6.1015E-01  5.5257E-01
  He    2    0  1.5262E+00  1.4521E+00  1.4758E+00  1.3661E+00  1.4439E+00  1.6014E+00  1.8945E+00  1.9826E+00  2.1289E+00
  Li    3    0  8.7396E-03  9.3489E-03  1.1542E-02  1.1648E-02  1.6996E-02  1.7643E-02  1.5492E-02  1.4927E-02  1.4186E-02
  Be    4    0  1.2571E-02  1.2281E-02  2.1354E-02  2.0964E-02  2.9887E-02  2.8823E-02  2.5005E-02  2.0942E-02  1.9865E-02
  B     5    0  1.8142E-01  1.7456E-01  1.5964E-01  1.5334E-01  2.1419E-01  2.0735E-01  1.8301E-01  1.7004E-01  1.5314E-01
  C     6    0  4.2012E+00  6.9906E+00  9.4045E+00  1.1319E+01  5.8080E-01  5.4819E-01  3.9046E+00  8.2473E+00  9.2142E+00
  N     7    0  4.1394E+00  3.9444E+00  3.4237E+00  3.6988E+00  5.0756E+00  5.8025E+00  6.9199E+00  7.1538E+00  7.7493E+00
  O     8    0  3.7313E+00  7.6157E+00  1.1873E+01  1.8624E+01  6.6871E-01  5.8622E-01  6.0142E-01  7.3283E-01  6.9335E-01
  F     9    0  6.3077E-01  6.0077E-01  5.8618E-01  5.3266E-01  6.3905E-01  5.5822E-01  6.2074E-01  5.2593E-01  5.4392E-01
  Ne   10    0  3.1545E+00  8.4049E+00  1.8144E+01  3.0586E+01  9.6647E-01  9.5535E-01  1.2088E+00  1.5844E+00  1.7881E+00
  Na   11    0  3.0721E+00  6.2299E+00  1.2217E+01  3.1944E+01  2.5429E+00  3.0617E+00  4.0273E+00  4.4657E+00  5.0309E+00
  Mg   12    0  2.6698E+00  4.9671E+00  9.9841E+00  9.7417E+00  9.9533E-01  9.9152E-01  9.8547E-01  9.8260E-01  9.7804E-01
  Al   13    0  3.1522E+00  5.9285E+00  1.1705E+01  1.3686E+01  1.0815E+00  1.1423E+00  1.2606E+00  1.3492E+00  1.4701E+00
  Si   14    0  9.0571E+00  1.2526E+01  1.2198E+01  8.6806E+00  1.0000E+00  1.0001E+00  1.0002E+00  1.0005E+00  1.0007E+00
