elemZ,[Fe/H]sun by mass (Asplund09),[X/Fe]sun by mass(Neutral),[X/Fe]sun by mass(Ionized),paperName
11,-0.843,-0.481,-30.0,Adibekyan-12-LTE
11,-1.393,-0.051,-30.0,Adibekyan-12-LTE
11,-0.853,-0.353,-30.0,Adibekyan-12-LTE
11,-0.813,-0.082,-30.0,Adibekyan-12-LTE
11,-0.613,0.098,-30.0,Adibekyan-12-LTE
11,-0.713,0.108,-30.0,Adibekyan-12-LTE
11,-1.323,-0.503,-30.0,Adibekyan-12-LTE
11,-1.073,-0.033,-30.0,Adibekyan-12-LTE
11,-1.133,-0.189,-30.0,Adibekyan-12-LTE
11,-1.033,0.043,-30.0,Adibekyan-12-LTE
11,-0.363,-0.221,-30.0,Adibekyan-12-LTE
11,-0.773,0.091,-30.0,Adibekyan-12-LTE
11,-0.783,0.016,-30.0,Adibekyan-12-LTE
11,-0.833,0.24,-30.0,Adibekyan-12-LTE
11,-0.513,0.768,-30.0,Adibekyan-12-LTE
11,-0.843,0.245,-30.0,Adibekyan-12-LTE
11,-1.103,-0.121,-30.0,Adibekyan-12-LTE
11,-0.793,0.104,-30.0,Adibekyan-12-LTE
11,-0.973,0.014,-30.0,Adibekyan-12-LTE
11,-0.683,0.107,-30.0,Adibekyan-12-LTE
11,-0.543,0.098,-30.0,Adibekyan-12-LTE
11,-0.623,-0.011,-30.0,Adibekyan-12-LTE
11,-0.243,0.124,-30.0,Adibekyan-12-LTE
11,-1.153,-0.141,-30.0,Adibekyan-12-LTE
11,-0.613,0.084,-30.0,Adibekyan-12-LTE
11,-0.663,0.111,-30.0,Adibekyan-12-LTE
11,-0.753,0.102,-30.0,Adibekyan-12-LTE
11,-0.743,0.134,-30.0,Adibekyan-12-LTE
11,-0.783,0.113,-30.0,Adibekyan-12-LTE
11,-0.653,0.227,-30.0,Adibekyan-12-LTE
11,-0.663,0.168,-30.0,Adibekyan-12-LTE
11,-0.533,0.125,-30.0,Adibekyan-12-LTE
11,-0.893,0.039,-30.0,Adibekyan-12-LTE
11,-0.633,0.097,-30.0,Adibekyan-12-LTE
11,-0.693,0.131,-30.0,Adibekyan-12-LTE
11,0.037,0.027,-30.0,Adibekyan-12-LTE
11,-0.453,-0.016,-30.0,Adibekyan-12-LTE
11,-0.463,0.125,-30.0,Adibekyan-12-LTE
11,-0.343,0.016,-30.0,Adibekyan-12-LTE
11,-0.473,0.139,-30.0,Adibekyan-12-LTE
