elemZ,[Fe/H]sun by mass (Asplund09),[X/Fe]sun by mass(Neutral),[X/Fe]sun by mass(Ionized),paperName
44,-0.06,0.68,-30,Allen-07
44,-0.55,1.07,-30,Allen-07
44,-0.42,0.98,-30,Allen-07
44,-0.34,0.16,-30,Allen-07
44,-0.12,1.41,-30,Allen-07
44,-0.44,1.18,-30,Allen-07
44,-0.14,0.43,-30,Allen-07
44,-0.11,0.26,-30,Allen-07
44,-0.27,0.63,-30,Allen-07
44,0,0,-30,Allen-07
44,-0.09,0.38,-30,Allen-07
44,-0.09,1.06,-30,Allen-07
44,-0.62,1.58,-30,Allen-07
44,-0.31,1.54,-30,Allen-07
44,-0.44,1.51,-30,Allen-07
44,-0.3,1.14,-30,Allen-07
44,-0.12,1.3,-30,Allen-07
44,-0.35,0.66,-30,Allen-07
44,-0.55,2,-30,Allen-07
44,0.12,-0.05,-30,Allen-07
44,-0.12,0.81,-30,Allen-07
44,-0.32,0.61,-30,Allen-07
44,-1.19,0.91,-30,Allen-07
44,-0.02,0.25,-30,Allen-07
44,-0.1,1.25,-30,Allen-07
44,-0.19,0.2,-30,Allen-07
44,-0.3,1.55,-30,Allen-07
44,-0.04,0.18,-30,Allen-07
44,-0.09,1.75,-30,Allen-07
44,-0.14,0.4,-30,Allen-07
44,-0.04,0.38,-30,Allen-07
44,-0.67,0.08,-30,Allen-07
44,-0.63,1.68,-30,Allen-07
44,-0.53,1.5,-30,Allen-07
44,-0.35,0.64,-30,Allen-07
72,-0.06,    1.45 ,-30,Allen-07
72,-0.55,    1.75 ,-30,Allen-07
72,-0.42,    0.81 ,-30,Allen-07
72,-0.34,    0.08 ,-30,Allen-07
72,-0.12,    1.66 ,-30,Allen-07
72,-0.44,    1.03 ,-30,Allen-07
72,-0.14,    0.23 ,-30,Allen-07
72,-0.11,    0.37 ,-30,Allen-07
72,-0.27,    0.59 ,-30,Allen-07
72,0,   -0.10 ,-30,Allen-07
72,-0.09,    0.70 ,-30,Allen-07
72,-0.09,    1.15 ,-30,Allen-07
72,-0.62,    1.40 ,-30,Allen-07
72,-0.31,    1.01 ,-30,Allen-07
72,-0.44,    1.71 ,-30,Allen-07
72,-0.3,    0.85 ,-30,Allen-07
72,-0.12,    0.50 ,-30,Allen-07
72,-0.35,    0.60 ,-30,Allen-07
72,-0.55,    1.00 ,-30,Allen-07
