elemZ,[Fe/H]sun by mass (Asplund09),[X/Fe]sun by mass(Neutral),[X/Fe]sun by mass(Ionized),paperName
13,-2.47,0.081,-30.0,Andrievsky-08-NLTE
13,-2.82,-0.099,-30.0,Andrievsky-08-NLTE
13,-2.59,0.071,-30.0,Andrievsky-08-NLTE
13,-2.07,0.101,-30.0,Andrievsky-08-NLTE
13,-3.06,-0.059,-30.0,Andrievsky-08-NLTE
13,-4.19,0.071,-30.0,Andrievsky-08-NLTE
13,-3.77,-0.099,-30.0,Andrievsky-08-NLTE
13,-3.36,-0.109,-30.0,Andrievsky-08-NLTE
13,-2.88,-0.089,-30.0,Andrievsky-08-NLTE
13,-3.04,-0.329,-30.0,Andrievsky-08-NLTE
13,-3.86,0.041,-30.0,Andrievsky-08-NLTE
13,-3.0,-0.169,-30.0,Andrievsky-08-NLTE
13,-3.49,-0.239,-30.0,Andrievsky-08-NLTE
13,-2.99,-0.029,-30.0,Andrievsky-08-NLTE
13,-2.97,-0.049,-30.0,Andrievsky-08-NLTE
13,-3.25,-0.119,-30.0,Andrievsky-08-NLTE
13,-3.78,0.111,-30.0,Andrievsky-08-NLTE
13,-3.29,-0.029,-30.0,Andrievsky-08-NLTE
13,-2.69,0.061,-30.0,Andrievsky-08-NLTE
13,-3.41,-0.109,-30.0,Andrievsky-08-NLTE
13,-3.14,-0.129,-30.0,Andrievsky-08-NLTE
13,-3.43,0.011,-30.0,Andrievsky-08-NLTE
13,-2.84,-0.179,-30.0,Andrievsky-08-NLTE
13,-3.33,0.011,-30.0,Andrievsky-08-NLTE
13,-2.62,0.151,-30.0,Andrievsky-08-NLTE
13,-3.56,-0.159,-30.0,Andrievsky-08-NLTE
13,-3.04,-0.069,-30.0,Andrievsky-08-NLTE
13,-2.82,-0.049,-30.0,Andrievsky-08-NLTE
13,-3.19,-0.029,-30.0,Andrievsky-08-NLTE
13,-3.06,-0.259,-30.0,Andrievsky-08-NLTE
13,-2.69,0.071,-30.0,Andrievsky-08-NLTE
13,-3.3,0.081,-30.0,Andrievsky-08-NLTE
13,-2.91,-0.009,-30.0,Andrievsky-08-NLTE
13,-2.97,-0.299,-30.0,Andrievsky-08-NLTE
13,-3.05,-0.119,-30.0,Andrievsky-08-NLTE
13,-2.92,-0.299,-30.0,Andrievsky-08-NLTE
13,-3.1,-0.089,-30.0,Andrievsky-08-NLTE
13,-3.28,-0.089,-30.0,Andrievsky-08-NLTE
13,-3.43,-0.039,-30.0,Andrievsky-08-NLTE
13,-2.89,-0.079,-30.0,Andrievsky-08-NLTE
13,-3.04,-0.029,-30.0,Andrievsky-08-NLTE
13,-3.07,-0.149,-30.0,Andrievsky-08-NLTE
13,-2.7,-0.269,-30.0,Andrievsky-08-NLTE
13,-2.91,-0.079,-30.0,Andrievsky-08-NLTE
13,-2.83,-0.089,-30.0,Andrievsky-08-NLTE
13,-3.24,-0.179,-30.0,Andrievsky-08-NLTE
13,-3.55,0.051,-30.0,Andrievsky-08-NLTE
13,-2.75,-0.119,-30.0,Andrievsky-08-NLTE
13,-3.08,-0.219,-30.0,Andrievsky-08-NLTE
13,-2.58,-0.189,-30.0,Andrievsky-08-NLTE
