elemZ,[Fe/H]sun by mass (Asplund09),[X/Fe]sun by mass(Neutral),[X/Fe]sun by mass(Ionized),paperName
38,-0.59,-0.11,-30.0,Battistini&Bensby-16-LTE
38,0.18,-30.18,-30.0,Battistini&Bensby-16-LTE
38,0.12,-30.12,-30.0,Battistini&Bensby-16-LTE
38,0.03,-30.03,-30.0,Battistini&Bensby-16-LTE
38,-0.64,-0.05,-30.0,Battistini&Bensby-16-LTE
38,-0.54,-0.02,-30.0,Battistini&Bensby-16-LTE
38,-0.47,-29.53,-30.0,Battistini&Bensby-16-LTE
38,-0.3,-29.7,-30.0,Battistini&Bensby-16-LTE
38,0.34,-0.3,-30.0,Battistini&Bensby-16-LTE
38,-0.01,-29.99,-30.0,Battistini&Bensby-16-LTE
38,0.19,-30.19,-30.0,Battistini&Bensby-16-LTE
38,-0.18,-29.82,-30.0,Battistini&Bensby-16-LTE
38,-0.6,0.46,-30.0,Battistini&Bensby-16-LTE
38,-0.55,-29.45,-30.0,Battistini&Bensby-16-LTE
38,-0.41,-29.59,-30.0,Battistini&Bensby-16-LTE
38,-0.15,-29.85,-30.0,Battistini&Bensby-16-LTE
38,-0.1,-29.9,-30.0,Battistini&Bensby-16-LTE
38,-0.38,-29.62,-30.0,Battistini&Bensby-16-LTE
38,-0.24,-29.76,-30.0,Battistini&Bensby-16-LTE
38,-0.29,-29.71,-30.0,Battistini&Bensby-16-LTE
38,-0.59,-29.41,-30.0,Battistini&Bensby-16-LTE
38,0.16,-30.16,-30.0,Battistini&Bensby-16-LTE
38,-0.26,-29.74,-30.0,Battistini&Bensby-16-LTE
38,-0.32,-0.16,-30.0,Battistini&Bensby-16-LTE
38,-0.35,-29.65,-30.0,Battistini&Bensby-16-LTE
38,-0.06,-29.94,-30.0,Battistini&Bensby-16-LTE
38,0.12,-30.12,-30.0,Battistini&Bensby-16-LTE
38,-0.29,-29.71,-30.0,Battistini&Bensby-16-LTE
38,-0.62,-29.38,-30.0,Battistini&Bensby-16-LTE
38,0.0,-30.0,-30.0,Battistini&Bensby-16-LTE
38,-0.11,-29.89,-30.0,Battistini&Bensby-16-LTE
38,-0.46,-29.54,-30.0,Battistini&Bensby-16-LTE
38,0.04,-30.04,-30.0,Battistini&Bensby-16-LTE
38,-0.08,-29.92,-30.0,Battistini&Bensby-16-LTE
38,-0.11,-29.89,-30.0,Battistini&Bensby-16-LTE
38,-0.44,-0.11,-30.0,Battistini&Bensby-16-LTE
38,0.22,-30.22,-30.0,Battistini&Bensby-16-LTE
38,-0.1,-29.9,-30.0,Battistini&Bensby-16-LTE
38,-0.5,-29.5,-30.0,Battistini&Bensby-16-LTE
38,0.35,-30.35,-30.0,Battistini&Bensby-16-LTE
38,0.02,-30.02,-30.0,Battistini&Bensby-16-LTE
38,-2.05,-27.95,-30.0,Battistini&Bensby-16-LTE
38,0.28,-30.28,-30.0,Battistini&Bensby-16-LTE
38,-0.62,-0.01,-30.0,Battistini&Bensby-16-LTE
38,0.2,-30.2,-30.0,Battistini&Bensby-16-LTE
38,0.04,0.27,-30.0,Battistini&Bensby-16-LTE
