elemZ,[Fe/H]sun by mass (Asplund09),[X/Fe]sun by mass(Neutral),[X/Fe]sun by mass(Ionized),paperName
11,-0.2,0.076,-30.0,Bensby-05
11,-0.36,0.116,-30.0,Bensby-05
11,-0.28,0.156,-30.0,Bensby-05
11,-0.11,0.036,-30.0,Bensby-05
11,-0.34,0.006,-30.0,Bensby-05
11,0.17,0.066,-30.0,Bensby-05
11,-0.17,0.086,-30.0,Bensby-05
11,-0.53,0.066,-30.0,Bensby-05
11,-0.52,0.146,-30.0,Bensby-05
11,-0.41,0.096,-30.0,Bensby-05
11,-0.32,0.046,-30.0,Bensby-05
11,-0.71,0.106,-30.0,Bensby-05
11,-0.52,0.136,-30.0,Bensby-05
11,-0.26,0.016,-30.0,Bensby-05
11,-0.61,0.056,-30.0,Bensby-05
11,-0.37,0.216,-30.0,Bensby-05
11,-0.07,-0.054,-30.0,Bensby-05
11,-0.67,0.046,-30.0,Bensby-05
11,-0.63,0.136,-30.0,Bensby-05
11,-0.91,0.086,-30.0,Bensby-05
11,-0.28,0.086,-30.0,Bensby-05
11,-0.45,0.096,-30.0,Bensby-05
11,-0.05,-0.054,-30.0,Bensby-05
11,-0.06,0.036,-30.0,Bensby-05
11,-0.28,-0.034,-30.0,Bensby-05
11,0.37,0.146,-30.0,Bensby-05
11,-0.02,-0.024,-30.0,Bensby-05
11,-0.32,0.046,-30.0,Bensby-05
11,-0.53,0.146,-30.0,Bensby-05
11,-0.42,0.056,-30.0,Bensby-05
11,-0.11,0.006,-30.0,Bensby-05
11,-0.45,0.056,-30.0,Bensby-05
11,0.05,0.056,-30.0,Bensby-05
11,-0.07,-0.054,-30.0,Bensby-05
12,-0.2,0.069,-30.0,Bensby-05
12,-0.36,0.079,-30.0,Bensby-05
12,-0.28,0.099,-30.0,Bensby-05
12,-0.11,0.029,-30.0,Bensby-05
12,-0.34,0.199,-30.0,Bensby-05
12,0.17,0.059,-30.0,Bensby-05
12,-0.17,0.089,-30.0,Bensby-05
12,-0.53,0.299,-30.0,Bensby-05
12,-0.52,0.179,-30.0,Bensby-05
12,-0.41,0.359,-30.0,Bensby-05
12,-0.32,0.139,-30.0,Bensby-05
