elemZ,[Fe/H]sun by mass (Asplund09),[X/Fe]sun by mass(Neutral),[X/Fe]sun by mass(Ionized),paperName
6,-0.36,0.031,-30.0,Bensby&Feltzing-06-LTE
6,-0.28,0.171,-30.0,Bensby&Feltzing-06-LTE
6,-0.11,0.061,-30.0,Bensby&Feltzing-06-LTE
6,-0.45,0.081,-30.0,Bensby&Feltzing-06-LTE
6,-0.06,0.041,-30.0,Bensby&Feltzing-06-LTE
6,0.17,0.041,-30.0,Bensby&Feltzing-06-LTE
6,0.2,-0.009,-30.0,Bensby&Feltzing-06-LTE
6,-0.31,0.111,-30.0,Bensby&Feltzing-06-LTE
6,-0.17,0.141,-30.0,Bensby&Feltzing-06-LTE
6,0.26,-0.079,-30.0,Bensby&Feltzing-06-LTE
6,0.14,0.011,-30.0,Bensby&Feltzing-06-LTE
6,0.19,0.021,-30.0,Bensby&Feltzing-06-LTE
6,-0.52,0.131,-30.0,Bensby&Feltzing-06-LTE
6,0.24,-0.139,-30.0,Bensby&Feltzing-06-LTE
6,-0.3,0.101,-30.0,Bensby&Feltzing-06-LTE
6,0.06,0.031,-30.0,Bensby&Feltzing-06-LTE
6,0.1,-0.019,-30.0,Bensby&Feltzing-06-LTE
6,0.33,-0.119,-30.0,Bensby&Feltzing-06-LTE
6,0.03,-0.119,-30.0,Bensby&Feltzing-06-LTE
6,-0.06,-0.069,-30.0,Bensby&Feltzing-06-LTE
6,0.12,-0.049,-30.0,Bensby&Feltzing-06-LTE
6,0.23,-0.019,-30.0,Bensby&Feltzing-06-LTE
6,0.32,-0.069,-30.0,Bensby&Feltzing-06-LTE
6,-0.4,0.071,-30.0,Bensby&Feltzing-06-LTE
6,0.12,0.061,-30.0,Bensby&Feltzing-06-LTE
6,-0.24,-0.059,-30.0,Bensby&Feltzing-06-LTE
6,0.37,-0.119,-30.0,Bensby&Feltzing-06-LTE
6,0.27,-0.019,-30.0,Bensby&Feltzing-06-LTE
6,-0.73,0.131,-30.0,Bensby&Feltzing-06-LTE
6,0.22,-0.119,-30.0,Bensby&Feltzing-06-LTE
6,-0.17,0.031,-30.0,Bensby&Feltzing-06-LTE
6,0.22,0.001,-30.0,Bensby&Feltzing-06-LTE
6,0.2,-0.069,-30.0,Bensby&Feltzing-06-LTE
6,0.35,-0.079,-30.0,Bensby&Feltzing-06-LTE
6,0.12,0.071,-30.0,Bensby&Feltzing-06-LTE
6,-0.11,0.151,-30.0,Bensby&Feltzing-06-LTE
6,-0.33,0.081,-30.0,Bensby&Feltzing-06-LTE
6,-0.42,0.001,-30.0,Bensby&Feltzing-06-LTE
6,-0.59,0.061,-30.0,Bensby&Feltzing-06-LTE
6,-0.41,0.031,-30.0,Bensby&Feltzing-06-LTE
6,-0.84,0.081,-30.0,Bensby&Feltzing-06-LTE
6,-0.71,-0.009,-30.0,Bensby&Feltzing-06-LTE
6,-0.34,0.141,-30.0,Bensby&Feltzing-06-LTE
6,0.3,-0.179,-30.0,Bensby&Feltzing-06-LTE
6,-0.02,-0.089,-30.0,Bensby&Feltzing-06-LTE
6,-0.46,0.021,-30.0,Bensby&Feltzing-06-LTE
6,-0.2,0.131,-30.0,Bensby&Feltzing-06-LTE
6,-0.65,0.091,-30.0,Bensby&Feltzing-06-LTE
6,-0.38,0.081,-30.0,Bensby&Feltzing-06-LTE
6,-0.08,0.001,-30.0,Bensby&Feltzing-06-LTE
6,-0.01,0.081,-30.0,Bensby&Feltzing-06-LTE
8,-0.36,-29.639,-30.0,Bensby&Feltzing-06-LTE
8,-0.28,-29.719,-30.0,Bensby&Feltzing-06-LTE
8,-0.11,-29.889,-30.0,Bensby&Feltzing-06-LTE
8,-0.45,0.201,-30.0,Bensby&Feltzing-06-LTE
8,-0.06,-0.049,-30.0,Bensby&Feltzing-06-LTE
8,0.17,-0.109,-30.0,Bensby&Feltzing-06-LTE
8,0.2,-0.059,-30.0,Bensby&Feltzing-06-LTE
8,-0.31,0.191,-30.0,Bensby&Feltzing-06-LTE
8,-0.17,-29.829,-30.0,Bensby&Feltzing-06-LTE
8,0.26,-0.119,-30.0,Bensby&Feltzing-06-LTE
8,0.14,-0.099,-30.0,Bensby&Feltzing-06-LTE
8,0.19,-0.079,-30.0,Bensby&Feltzing-06-LTE
8,-0.52,0.261,-30.0,Bensby&Feltzing-06-LTE
8,0.24,-0.109,-30.0,Bensby&Feltzing-06-LTE
8,-0.3,0.071,-30.0,Bensby&Feltzing-06-LTE
