elemZ,[Fe/H]sun by mass (Asplund09),[X/Fe]sun by mass(Neutral),[X/Fe]sun by mass(Ionized),paperName
11,-0.63,-0.134,-30.0,Carretta-00-NLTE
11,0.04,0.006,-30.0,Carretta-00-NLTE
11,-0.77,-0.034,-30.0,Carretta-00-NLTE
11,-0.92,0.016,-30.0,Carretta-00-NLTE
11,-0.22,-0.044,-30.0,Carretta-00-NLTE
11,-0.07,-0.214,-30.0,Carretta-00-NLTE
11,-0.97,-0.354,-30.0,Carretta-00-NLTE
11,0.13,-0.144,-30.0,Carretta-00-NLTE
11,-0.33,-0.134,-30.0,Carretta-00-NLTE
11,-2.6,-0.054,-30.0,Carretta-00-NLTE
11,-1.75,-0.174,-30.0,Carretta-00-NLTE
11,-1.53,-0.474,-30.0,Carretta-00-NLTE
11,-0.67,-0.074,-30.0,Carretta-00-NLTE
11,-1.72,-0.294,-30.0,Carretta-00-NLTE
11,-0.2,-0.034,-30.0,Carretta-00-NLTE
11,-2.37,-0.034,-30.0,Carretta-00-NLTE
11,-2.09,-0.244,-30.0,Carretta-00-NLTE
11,-2.55,0.106,-30.0,Carretta-00-NLTE
11,-1.83,0.286,-30.0,Carretta-00-NLTE
11,-0.63,-0.064,-30.0,Carretta-00-LTE
11,0.04,0.056,-30.0,Carretta-00-LTE
11,-0.77,0.046,-30.0,Carretta-00-LTE
11,-0.92,0.076,-30.0,Carretta-00-LTE
11,-0.22,0.096,-30.0,Carretta-00-LTE
11,-0.07,-0.144,-30.0,Carretta-00-LTE
11,-0.97,-0.304,-30.0,Carretta-00-LTE
11,0.13,-0.104,-30.0,Carretta-00-LTE
11,-0.33,-0.064,-30.0,Carretta-00-LTE
11,-2.6,-0.154,-30.0,Carretta-00-LTE
11,-1.75,-0.214,-30.0,Carretta-00-LTE
11,-1.53,-0.464,-30.0,Carretta-00-LTE
11,-0.67,-0.004,-30.0,Carretta-00-LTE
11,-1.72,-0.374,-30.0,Carretta-00-LTE
11,-0.2,0.026,-30.0,Carretta-00-LTE
11,-2.37,-0.044,-30.0,Carretta-00-LTE
11,-2.09,-0.284,-30.0,Carretta-00-LTE
11,-2.55,-0.054,-30.0,Carretta-00-LTE
11,-1.83,0.116,-30.0,Carretta-00-LTE
12,-0.63,0.199,-30.0,Carretta-00-LTE
12,0.04,0.109,-30.0,Carretta-00-LTE
12,-0.77,0.429,-30.0,Carretta-00-LTE
12,-0.92,0.379,-30.0,Carretta-00-LTE
12,-0.22,0.029,-30.0,Carretta-00-LTE
12,-0.07,0.029,-30.0,Carretta-00-LTE
12,-0.97,0.269,-30.0,Carretta-00-LTE
12,0.13,0.029,-30.0,Carretta-00-LTE
12,-0.33,0.019,-30.0,Carretta-00-LTE
12,-2.6,0.629,-30.0,Carretta-00-LTE
12,-1.75,0.209,-30.0,Carretta-00-LTE
12,-1.53,0.259,-30.0,Carretta-00-LTE
12,-0.67,0.259,-30.0,Carretta-00-LTE
12,-1.72,0.399,-30.0,Carretta-00-LTE
12,-0.2,0.229,-30.0,Carretta-00-LTE
12,-2.37,0.239,-30.0,Carretta-00-LTE
12,-2.09,0.389,-30.0,Carretta-00-LTE
12,-2.55,0.509,-30.0,Carretta-00-LTE
12,-1.83,0.519,-30.0,Carretta-00-LTE
7,-0.63,0.502,-30.0,Carretta-00-LTE
7,0.04,-0.018,-30.0,Carretta-00-LTE
7,-0.77,-0.158,-30.0,Carretta-00-LTE
7,-0.92,-0.078,-30.0,Carretta-00-LTE
7,-0.22,0.102,-30.0,Carretta-00-LTE
7,-0.07,-0.288,-30.0,Carretta-00-LTE
7,-0.97,-0.148,-30.0,Carretta-00-LTE
7,0.13,0.142,-30.0,Carretta-00-LTE
7,-0.33,-0.088,-30.0,Carretta-00-LTE
7,-2.6,1.112,-30.0,Carretta-00-LTE
7,-1.75,0.892,-30.0,Carretta-00-LTE
7,-1.53,0.342,-30.0,Carretta-00-LTE
7,-0.67,-0.048,-30.0,Carretta-00-LTE
7,-1.72,0.812,-30.0,Carretta-00-LTE
7,-0.2,-0.088,-30.0,Carretta-00-LTE
7,-2.37,-29.998,-30.0,Carretta-00-LTE
7,-2.09,1.282,-30.0,Carretta-00-LTE
7,-2.55,0.952,-30.0,Carretta-00-LTE
7,-1.83,0.432,-30.0,Carretta-00-LTE
8,-0.63,0.292,-30.0,Carretta-00-LTE
8,0.04,-0.188,-30.0,Carretta-00-LTE
8,-0.77,0.502,-30.0,Carretta-00-LTE
8,-0.92,0.782,-30.0,Carretta-00-LTE
8,-0.22,-0.018,-30.0,Carretta-00-LTE
8,-0.07,0.012,-30.0,Carretta-00-LTE
8,-0.97,0.362,-30.0,Carretta-00-LTE
8,0.13,-0.568,-30.0,Carretta-00-LTE
8,-0.33,0.072,-30.0,Carretta-00-LTE
8,-2.6,0.392,-30.0,Carretta-00-LTE
8,-1.75,0.352,-30.0,Carretta-00-LTE
8,-1.53,0.522,-30.0,Carretta-00-LTE
8,-0.67,0.462,-30.0,Carretta-00-LTE
8,-1.72,0.552,-30.0,Carretta-00-LTE
8,-0.2,0.192,-30.0,Carretta-00-LTE
8,-2.37,0.682,-30.0,Carretta-00-LTE
8,-2.09,0.652,-30.0,Carretta-00-LTE
8,-2.55,0.552,-30.0,Carretta-00-LTE
8,-1.83,0.372,-30.0,Carretta-00-LTE
6,-0.63,-0.003,-30.0,Carretta-00
6,0.04,-0.153,-30.0,Carretta-00
6,-0.77,0.017,-30.0,Carretta-00
6,-0.92,0.377,-30.0,Carretta-00
6,-0.22,-0.073,-30.0,Carretta-00
6,-0.07,-0.003,-30.0,Carretta-00
6,-0.97,-0.193,-30.0,Carretta-00
6,0.13,-0.333,-30.0,Carretta-00
6,-0.33,-0.053,-30.0,Carretta-00
6,-2.6,-0.573,-30.0,Carretta-00
6,-1.75,-0.533,-30.0,Carretta-00
6,-1.53,-0.103,-30.0,Carretta-00
6,-0.67,-0.103,-30.0,Carretta-00
