elemZ,[Fe/H]sun by mass (Asplund09),[X/Fe]sun by mass(Neutral),[X/Fe]sun by mass(Ionized),paperName
6,-2.793,2.671,-30.0,Cohen-13-LTE
6,-3.293,0.171,-30.0,Cohen-13-LTE
6,-2.993,0.011,-30.0,Cohen-13-LTE
6,-2.523,1.601,-30.0,Cohen-13-LTE
6,-3.073,2.911,-30.0,Cohen-13-LTE
6,-2.803,-29.989,-30.0,Cohen-13-LTE
6,-2.723,-29.989,-30.0,Cohen-13-LTE
6,-3.153,0.131,-30.0,Cohen-13-LTE
6,-3.183,0.071,-30.0,Cohen-13-LTE
6,-2.663,0.381,-30.0,Cohen-13-LTE
6,-2.513,-29.989,-30.0,Cohen-13-LTE
6,-2.653,0.731,-30.0,Cohen-13-LTE
6,-2.763,1.941,-30.0,Cohen-13-LTE
6,-3.103,0.881,-30.0,Cohen-13-LTE
6,-3.153,0.531,-30.0,Cohen-13-LTE
6,-2.553,-29.989,-30.0,Cohen-13-LTE
6,-2.803,0.221,-30.0,Cohen-13-LTE
6,-3.343,0.411,-30.0,Cohen-13-LTE
6,-3.553,0.631,-30.0,Cohen-13-LTE
6,-2.743,1.801,-30.0,Cohen-13-LTE
6,-2.623,-29.989,-30.0,Cohen-13-LTE
6,-2.313,1.991,-30.0,Cohen-13-LTE
6,-2.273,1.751,-30.0,Cohen-13-LTE
6,-2.453,-29.989,-30.0,Cohen-13-LTE
6,-2.813,0.051,-30.0,Cohen-13-LTE
6,-3.153,2.331,-30.0,Cohen-13-LTE
6,-2.553,-0.169,-30.0,Cohen-13-LTE
6,-2.983,-29.989,-30.0,Cohen-13-LTE
6,-3.303,0.281,-30.0,Cohen-13-LTE
6,-3.113,0.271,-30.0,Cohen-13-LTE
6,-3.633,-29.989,-30.0,Cohen-13-LTE
6,-2.753,0.411,-30.0,Cohen-13-LTE
6,-2.903,-0.629,-30.0,Cohen-13-LTE
6,-2.683,2.261,-30.0,Cohen-13-LTE
6,-3.353,-0.079,-30.0,Cohen-13-LTE
6,-2.233,0.161,-30.0,Cohen-13-LTE
6,-3.053,0.791,-30.0,Cohen-13-LTE
6,-2.993,-29.989,-30.0,Cohen-13-LTE
6,-3.083,0.361,-30.0,Cohen-13-LTE
6,-2.843,-0.559,-30.0,Cohen-13-LTE
6,-2.563,0.181,-30.0,Cohen-13-LTE
6,-2.293,-29.989,-30.0,Cohen-13-LTE
6,-2.433,-29.989,-30.0,Cohen-13-LTE
