elemZ,[Fe/H]sun by mass (Asplund09),[X/Fe]sun by mass(Neutral),[X/Fe]sun by mass(Ionized),paperName
8,-0.898,-29.997,-30.0,Gratton-03
8,-1.218,0.463,-30.0,Gratton-03
8,-0.208,-29.997,-30.0,Gratton-03
8,-1.148,0.853,-30.0,Gratton-03
8,-0.868,-29.997,-30.0,Gratton-03
8,-0.368,-29.997,-30.0,Gratton-03
8,-1.248,0.443,-30.0,Gratton-03
8,-0.988,0.713,-30.0,Gratton-03
8,-1.018,0.733,-30.0,Gratton-03
8,-0.908,-29.997,-30.0,Gratton-03
8,-0.528,-29.997,-30.0,Gratton-03
8,-0.538,-29.997,-30.0,Gratton-03
8,-0.818,0.493,-30.0,Gratton-03
8,-0.718,0.523,-30.0,Gratton-03
8,-0.878,-29.997,-30.0,Gratton-03
8,-2.078,0.813,-30.0,Gratton-03
8,-0.398,-29.997,-30.0,Gratton-03
8,-0.788,0.493,-30.0,Gratton-03
8,-0.828,0.533,-30.0,Gratton-03
8,-1.068,0.923,-30.0,Gratton-03
8,-1.038,-29.997,-30.0,Gratton-03
8,-0.908,0.563,-30.0,Gratton-03
8,-1.798,-29.997,-30.0,Gratton-03
8,-0.528,-29.997,-30.0,Gratton-03
8,-1.598,-29.997,-30.0,Gratton-03
8,-1.518,0.713,-30.0,Gratton-03
8,-0.658,-29.997,-30.0,Gratton-03
8,-0.388,0.413,-30.0,Gratton-03
8,-1.538,0.713,-30.0,Gratton-03
8,-1.078,0.593,-30.0,Gratton-03
8,-1.688,0.693,-30.0,Gratton-03
8,-0.398,0.383,-30.0,Gratton-03
8,-1.168,0.593,-30.0,Gratton-03
8,-0.568,-29.997,-30.0,Gratton-03
8,-0.908,-29.997,-30.0,Gratton-03
8,-0.638,-29.997,-30.0,Gratton-03
8,-0.598,-29.997,-30.0,Gratton-03
8,-1.278,0.493,-30.0,Gratton-03
8,-0.598,-29.997,-30.0,Gratton-03
8,-0.288,-29.997,-30.0,Gratton-03
8,-0.838,0.173,-30.0,Gratton-03
