elemZ,[Fe/H]sun by mass (Asplund09),[X/Fe]sun by mass(Neutral),[X/Fe]sun by mass(Ionized),paperName
38,-1.99,0.11,-30,Hansen-12
38,-2.48,-0.1,-30,Hansen-12
38,-1.2,0,-30,Hansen-12
38,-2.67,0.28,-30,Hansen-12
38,-3.06,0.09,-30,Hansen-12
38,-2.62,-0.3,-30,Hansen-12
38,-2.81,0.66,-30,Hansen-12
38,-1.48,0.06,-30,Hansen-12
38,-1.25,0,-30,Hansen-12
38,-2.11,0,-30,Hansen-12
38,-2.4,0,-30,Hansen-12
38,-2.81,0.04,-30,Hansen-12
38,-1.45,0,-30,Hansen-12
38,-1.92,0,-30,Hansen-12
38,-3.16,0,-30,Hansen-12
38,-2.34,-0.3,-30,Hansen-12
38,-2.1,-0.1,-30,Hansen-12
38,-1.25,0.29,-30,Hansen-12
38,-1.38,0.01,-30,Hansen-12
38,-2.42,0.08,-30,Hansen-12
38,-1.84,0,-30,Hansen-12
38,-2.59,0.13,-30,Hansen-12
38,-2.32,-0.1,-30,Hansen-12
38,-3.21,0.01,-30,Hansen-12
38,-2.6,-30,-30,Hansen-12
38,-2.56,0.21,-30,Hansen-12
38,-1.92,0.15,-30,Hansen-12
38,-1.55,0.22,-30,Hansen-12
38,-0.99,-0.1,-30,Hansen-12
38,-1.01,0,-30,Hansen-12
38,-1.33,-0.1,-30,Hansen-12
38,-2.13,0.13,-30,Hansen-12
38,-0.95,0.33,-30,Hansen-12
38,-1.12,0.3,-30,Hansen-12
38,-1.05,0.36,-30,Hansen-12
38,-0.99,0.41,-30,Hansen-12
38,-0.85,0.04,-30,Hansen-12
38,-0.84,0.1,-30,Hansen-12
38,-1.48,0.56,-30,Hansen-12
38,-2.17,-30,-30,Hansen-12
38,-1.31,0.22,-30,Hansen-12
38,-0.73,0.4,-30,Hansen-12
38,-1.28,0.2,-30,Hansen-12
38,-1.52,0.34,-30,Hansen-12
38,-1.58,0,-30,Hansen-12
38,-1.18,-0.7,-30,Hansen-12
38,-1.19,0,-30,Hansen-12
38,-1.48,0,-30,Hansen-12
38,-2.27,0.16,-30,Hansen-12
38,-1.9,0.22,-30,Hansen-12
38,-3.1,0,-30,Hansen-12
38,-3.16,0,-30,Hansen-12
38,-2.53,-30,-30,Hansen-12
38,-0.89,0.04,-30,Hansen-12
38,-2.12,-30,-30,Hansen-12
39,-1.99,0.03,-30,Hansen-12
39,-2.48,-0.3,-30,Hansen-12
39,-1.2,-0.3,-30,Hansen-12
39,-2.67,0.09,-30,Hansen-12
39,-3.06,-0.3,-30,Hansen-12
39,-2.62,-0.7,-30,Hansen-12
39,-2.81,0.82,-30,Hansen-12
39,-1.48,0.38,-30,Hansen-12
39,-1.25,0.21,-30,Hansen-12
39,-2.11,-0.2,-30,Hansen-12
39,-2.4,0.15,-30,Hansen-12
39,-2.81,-0.1,-30,Hansen-12
39,-1.45,0,-30,Hansen-12
39,-1.92,-0.2,-30,Hansen-12
39,-3.16,-0.2,-30,Hansen-12
39,-2.34,-0.7,-30,Hansen-12
39,-2.1,0,-30,Hansen-12
39,-1.25,0.29,-30,Hansen-12
39,-1.38,0.12,-30,Hansen-12
39,-2.42,0.01,-30,Hansen-12
39,-1.84,-0.1,-30,Hansen-12
39,-2.59,0.08,-30,Hansen-12
39,-2.32,-0.2,-30,Hansen-12
39,-3.21,-0.1,-30,Hansen-12
39,-2.6,-0.2,-30,Hansen-12
39,-2.56,0,-30,Hansen-12
39,-1.92,0.1,-30,Hansen-12
39,-1.55,0.01,-30,Hansen-12
39,-0.99,0.03,-30,Hansen-12
39,-1.01,-0.2,-30,Hansen-12
39,-1.33,-0.1,-30,Hansen-12
39,-2.13,-0.1,-30,Hansen-12
39,-0.95,0,-30,Hansen-12
39,-1.12,0,-30,Hansen-12
39,-1.05,0.06,-30,Hansen-12
39,-0.99,0.09,-30,Hansen-12
39,-0.85,-0.2,-30,Hansen-12
39,-0.84,-0.1,-30,Hansen-12
39,-1.48,0.54,-30,Hansen-12
39,-2.17,0,-30,Hansen-12
39,-1.31,0.25,-30,Hansen-12
39,-0.73,0.16,-30,Hansen-12
39,-1.28,0.34,-30,Hansen-12
39,-1.52,0.17,-30,Hansen-12
39,-1.58,-0.1,-30,Hansen-12
39,-1.18,0.15,-30,Hansen-12
39,-1.19,0.05,-30,Hansen-12
39,-1.48,0,-30,Hansen-12
39,-2.27,0,-30,Hansen-12
39,-1.9,0.17,-30,Hansen-12
39,-3.1,0.02,-30,Hansen-12
39,-3.16,0.03,-30,Hansen-12
39,-2.53,-0.1,-30,Hansen-12
39,-0.89,-0.2,-30,Hansen-12
39,-2.12,-0.2,-30,Hansen-12
40,-1.99,0.26,-30,Hansen-12
40,-2.48,0.12,-30,Hansen-12
40,-1.2,0.28,-30,Hansen-12
40,-2.67,0,-30,Hansen-12
40,-3.06,0.43,-30,Hansen-12
40,-2.62,-0.1,-30,Hansen-12
40,-2.81,0.77,-30,Hansen-12
40,-1.48,0.54,-30,Hansen-12
40,-1.25,0.27,-30,Hansen-12
40,-2.11,0.07,-30,Hansen-12
40,-2.4,0.47,-30,Hansen-12
40,-2.81,0.07,-30,Hansen-12
40,-1.45,0,-30,Hansen-12
40,-1.92,0.06,-30,Hansen-12
40,-3.16,0.19,-30,Hansen-12
40,-2.34,-0.3,-30,Hansen-12
40,-2.1,0.09,-30,Hansen-12
40,-1.25,0.26,-30,Hansen-12
40,-1.38,0.29,-30,Hansen-12
40,-2.42,0.31,-30,Hansen-12
40,-1.84,0.07,-30,Hansen-12
40,-2.59,0.3,-30,Hansen-12
40,-2.32,0,-30,Hansen-12
40,-3.21,0.19,-30,Hansen-12
40,-2.6,0,-30,Hansen-12
40,-2.56,0.44,-30,Hansen-12
40,-1.92,0.47,-30,Hansen-12
40,-1.55,0.27,-30,Hansen-12
40,-0.99,0.14,-30,Hansen-12
40,-1.01,-30,-30,Hansen-12
40,-1.33,0.27,-30,Hansen-12
40,-2.13,0.29,-30,Hansen-12
40,-0.95,0.19,-30,Hansen-12
40,-1.12,0,-30,Hansen-12
40,-1.05,0.06,-30,Hansen-12
40,-0.99,0.2,-30,Hansen-12
40,-0.85,0.05,-30,Hansen-12
40,-0.84,0.02,-30,Hansen-12
40,-1.48,0.68,-30,Hansen-12
40,-2.17,0.33,-30,Hansen-12
40,-1.31,0.34,-30,Hansen-12
40,-0.73,0.51,-30,Hansen-12
40,-1.28,0.56,-30,Hansen-12
40,-1.52,0.46,-30,Hansen-12
40,-1.58,0.18,-30,Hansen-12
40,-1.18,0.44,-30,Hansen-12
40,-1.19,0.19,-30,Hansen-12
40,-1.48,0.23,-30,Hansen-12
40,-2.27,0.29,-30,Hansen-12
40,-1.9,0.56,-30,Hansen-12
40,-3.1,-30,-30,Hansen-12
40,-3.16,0.52,-30,Hansen-12
40,-2.53,0.25,-30,Hansen-12
40,-0.89,0.02,-30,Hansen-12
40,-2.12,0.18,-30,Hansen-12
46,-1.99,0.39,-30,Hansen-12
46,-2.48,-30,-30,Hansen-12
46,-1.2,0,-30,Hansen-12
46,-2.67,-30,-30,Hansen-12
46,-3.06,-30,-30,Hansen-12
46,-2.62,-30,-30,Hansen-12
46,-2.81,1.29,-30,Hansen-12
