elemZ,[Fe/H]sun by mass (Asplund09),[X/Fe]sun by mass(Neutral),[X/Fe]sun by mass(Ionized),paperName
3,0.178,-29.503,-30.0,Hinkel-14
3,-30.002,-29.503,-30.0,Hinkel-14
3,0.478,-29.503,-30.0,Hinkel-14
3,-0.122,-29.503,-30.0,Hinkel-14
3,-30.002,-29.503,-30.0,Hinkel-14
3,-0.452,-29.503,-30.0,Hinkel-14
3,-0.332,-29.503,-30.0,Hinkel-14
3,-30.002,-29.503,-30.0,Hinkel-14
3,-30.002,-29.503,-30.0,Hinkel-14
3,0.258,-29.503,-30.0,Hinkel-14
3,-30.002,-29.503,-30.0,Hinkel-14
3,-30.002,-29.503,-30.0,Hinkel-14
3,-30.002,-29.503,-30.0,Hinkel-14
3,-30.002,-29.503,-30.0,Hinkel-14
3,0.258,-29.503,-30.0,Hinkel-14
3,-0.242,-29.503,-30.0,Hinkel-14
3,-30.002,-29.503,-30.0,Hinkel-14
3,-30.002,-29.503,-30.0,Hinkel-14
3,-30.002,-29.503,-30.0,Hinkel-14
3,0.048,-29.503,-30.0,Hinkel-14
3,0.448,-29.503,-30.0,Hinkel-14
3,0.268,-29.503,-30.0,Hinkel-14
3,0.388,-29.503,-30.0,Hinkel-14
3,0.138,-29.503,-30.0,Hinkel-14
3,0.028,-29.503,-30.0,Hinkel-14
3,0.248,-29.503,-30.0,Hinkel-14
3,-30.002,-29.503,-30.0,Hinkel-14
3,-30.002,-29.503,-30.0,Hinkel-14
3,-0.082,-29.503,-30.0,Hinkel-14
3,-30.002,-29.503,-30.0,Hinkel-14
3,-30.002,-29.503,-30.0,Hinkel-14
3,0.108,-29.503,-30.0,Hinkel-14
3,-0.232,-29.503,-30.0,Hinkel-14
3,-30.002,-29.503,-30.0,Hinkel-14
3,0.128,-29.503,-30.0,Hinkel-14
3,-30.002,-29.503,-30.0,Hinkel-14
3,0.028,-29.503,-30.0,Hinkel-14
3,0.488,-29.503,-30.0,Hinkel-14
3,-0.062,-29.503,-30.0,Hinkel-14
3,0.008,-29.503,-30.0,Hinkel-14
3,-30.002,-29.503,-30.0,Hinkel-14
3,-30.002,-29.503,-30.0,Hinkel-14
3,0.428,-29.503,-30.0,Hinkel-14
3,-30.002,-29.503,-30.0,Hinkel-14
3,-30.002,2.957,-30.0,Hinkel-14
3,0.408,-29.503,-30.0,Hinkel-14
3,0.358,-29.503,-30.0,Hinkel-14
3,-30.002,2.827,-30.0,Hinkel-14
3,0.008,-29.503,-30.0,Hinkel-14
3,-30.002,-29.503,-30.0,Hinkel-14
3,-30.002,-29.503,-30.0,Hinkel-14
3,-30.002,-29.503,-30.0,Hinkel-14
3,-30.002,-29.503,-30.0,Hinkel-14
3,-0.172,-29.503,-30.0,Hinkel-14
3,-30.002,-1.023,-30.0,Hinkel-14
3,0.298,-29.503,-30.0,Hinkel-14
3,-0.532,-29.503,-30.0,Hinkel-14
3,0.328,-29.503,-30.0,Hinkel-14
3,-30.002,-29.503,-30.0,Hinkel-14
3,-0.382,-29.503,-30.0,Hinkel-14
3,0.038,-29.503,-30.0,Hinkel-14
3,-30.002,-29.503,-30.0,Hinkel-14
3,-30.002,-29.503,-30.0,Hinkel-14
3,-0.042,-29.503,-30.0,Hinkel-14
3,-0.042,-29.503,-30.0,Hinkel-14
3,-0.062,-29.503,-30.0,Hinkel-14
3,-0.182,-29.503,-30.0,Hinkel-14
3,-0.012,-29.503,-30.0,Hinkel-14
3,0.408,-29.503,-30.0,Hinkel-14
3,-30.002,-29.503,-30.0,Hinkel-14
3,-0.552,-29.503,-30.0,Hinkel-14
3,-0.312,-29.503,-30.0,Hinkel-14
3,-0.112,-29.503,-30.0,Hinkel-14
3,-0.622,-29.503,-30.0,Hinkel-14
3,0.608,-29.503,-30.0,Hinkel-14
3,0.258,-29.503,-30.0,Hinkel-14
3,0.118,-29.503,-30.0,Hinkel-14
3,-30.002,-29.503,-30.0,Hinkel-14
3,0.128,-29.503,-30.0,Hinkel-14
3,-0.332,-29.503,-30.0,Hinkel-14
3,-0.382,-29.503,-30.0,Hinkel-14
3,0.028,-29.503,-30.0,Hinkel-14
3,-30.002,-29.503,-30.0,Hinkel-14
3,-0.022,-29.503,-30.0,Hinkel-14
3,-0.072,-29.503,-30.0,Hinkel-14
3,0.118,-29.503,-30.0,Hinkel-14
3,-0.382,-29.503,-30.0,Hinkel-14
3,0.528,-29.503,-30.0,Hinkel-14
3,-0.022,-29.503,-30.0,Hinkel-14
3,0.098,-29.503,-30.0,Hinkel-14
3,-30.002,-2.083,-30.0,Hinkel-14
3,-30.002,-2.363,-30.0,Hinkel-14
3,-30.002,-29.503,-30.0,Hinkel-14
3,0.058,-29.503,-30.0,Hinkel-14
3,-30.002,-0.283,-30.0,Hinkel-14
3,-30.002,-29.503,-30.0,Hinkel-14
3,-0.252,1.747,-30.0,Hinkel-14
3,-30.002,-29.503,-30.0,Hinkel-14
3,-30.002,-29.503,-30.0,Hinkel-14
3,-30.002,-29.503,-30.0,Hinkel-14
3,0.108,-29.503,-30.0,Hinkel-14
3,-30.002,3.277,-30.0,Hinkel-14
3,-30.002,-1.503,-30.0,Hinkel-14
3,0.158,-29.503,-30.0,Hinkel-14
3,0.008,-29.503,-30.0,Hinkel-14
3,-30.002,-29.503,-30.0,Hinkel-14
3,-30.002,-29.503,-30.0,Hinkel-14
3,-30.002,-29.503,-30.0,Hinkel-14
3,0.328,-29.503,-30.0,Hinkel-14
3,-0.222,-29.503,-30.0,Hinkel-14
3,-30.002,-29.503,-30.0,Hinkel-14
3,-30.002,-29.503,-30.0,Hinkel-14
3,0.358,-29.503,-30.0,Hinkel-14
3,-30.002,-29.503,-30.0,Hinkel-14
3,0.258,-29.503,-30.0,Hinkel-14
3,-0.152,-29.503,-30.0,Hinkel-14
3,-30.002,-29.503,-30.0,Hinkel-14
3,-0.182,-29.503,-30.0,Hinkel-14
3,-0.232,-29.503,-30.0,Hinkel-14
3,0.528,-29.503,-30.0,Hinkel-14
3,0.018,-29.503,-30.0,Hinkel-14
3,-0.162,-29.503,-30.0,Hinkel-14
3,-0.352,-29.503,-30.0,Hinkel-14
3,-30.002,-1.553,-30.0,Hinkel-14
3,-30.002,-29.503,-30.0,Hinkel-14
3,-0.182,-29.503,-30.0,Hinkel-14
3,-0.042,-29.503,-30.0,Hinkel-14
3,-0.182,3.157,-30.0,Hinkel-14
3,0.328,-29.503,-30.0,Hinkel-14
3,-30.002,-29.503,-30.0,Hinkel-14
3,-0.052,-29.503,-30.0,Hinkel-14
3,-30.002,-29.503,-30.0,Hinkel-14
3,0.118,-29.503,-30.0,Hinkel-14
3,0.298,-29.503,-30.0,Hinkel-14
3,0.088,-29.503,-30.0,Hinkel-14
3,0.568,-29.503,-30.0,Hinkel-14
3,-30.002,-29.503,-30.0,Hinkel-14
3,-0.012,-29.503,-30.0,Hinkel-14
3,-30.002,-29.503,-30.0,Hinkel-14
3,-30.002,-29.503,-30.0,Hinkel-14
3,0.488,-29.503,-30.0,Hinkel-14
3,-0.412,-29.503,-30.0,Hinkel-14
3,-0.052,-29.503,-30.0,Hinkel-14
3,-30.002,-29.503,-30.0,Hinkel-14
3,-30.002,-29.503,-30.0,Hinkel-14
3,-30.002,-29.503,-30.0,Hinkel-14
3,0.098,-29.503,-30.0,Hinkel-14
3,-30.002,-29.503,-30.0,Hinkel-14
3,0.268,-29.503,-30.0,Hinkel-14
3,-30.002,-29.503,-30.0,Hinkel-14
3,0.378,-29.503,-30.0,Hinkel-14
3,-30.002,-29.503,-30.0,Hinkel-14
3,-0.022,-29.503,-30.0,Hinkel-14
3,0.088,-29.503,-30.0,Hinkel-14
3,-30.002,-29.503,-30.0,Hinkel-14
3,0.268,-29.503,-30.0,Hinkel-14
3,-0.382,-1.143,-30.0,Hinkel-14
3,-30.002,-29.503,-30.0,Hinkel-14
3,0.228,-29.503,-30.0,Hinkel-14
3,-0.122,-29.503,-30.0,Hinkel-14
3,-0.032,-29.503,-30.0,Hinkel-14
3,0.028,-29.503,-30.0,Hinkel-14
3,-30.002,-29.503,-30.0,Hinkel-14
3,0.578,-29.503,-30.0,Hinkel-14
3,0.468,-29.503,-30.0,Hinkel-14
3,-30.002,-29.503,-30.0,Hinkel-14
3,-30.002,-0.453,-30.0,Hinkel-14
3,-30.002,-29.503,-30.0,Hinkel-14
3,0.178,2.187,-30.0,Hinkel-14
3,-0.162,-29.503,-30.0,Hinkel-14
3,-30.002,-29.503,-30.0,Hinkel-14
3,0.118,-29.503,-30.0,Hinkel-14
3,0.248,-29.503,-30.0,Hinkel-14
3,-30.002,-29.503,-30.0,Hinkel-14
3,0.418,-29.503,-30.0,Hinkel-14
3,0.138,-29.503,-30.0,Hinkel-14
3,0.228,-29.503,-30.0,Hinkel-14
3,-30.002,-29.503,-30.0,Hinkel-14
3,0.548,-29.503,-30.0,Hinkel-14
3,-0.312,-29.503,-30.0,Hinkel-14
3,-30.002,-29.503,-30.0,Hinkel-14
3,0.448,-29.503,-30.0,Hinkel-14
3,-0.322,-29.503,-30.0,Hinkel-14
3,-30.002,-29.503,-30.0,Hinkel-14
3,-0.302,-29.503,-30.0,Hinkel-14
3,0.038,-29.503,-30.0,Hinkel-14
3,-0.282,-29.503,-30.0,Hinkel-14
3,-30.002,-29.503,-30.0,Hinkel-14
3,-30.002,-29.503,-30.0,Hinkel-14
3,-30.002,-29.503,-30.0,Hinkel-14
3,0.148,-29.503,-30.0,Hinkel-14
3,-30.002,-29.503,-30.0,Hinkel-14
3,-30.002,-29.503,-30.0,Hinkel-14
3,-0.262,-29.503,-30.0,Hinkel-14
3,-0.042,-29.503,-30.0,Hinkel-14
3,0.298,-29.503,-30.0,Hinkel-14
3,-30.002,2.567,-30.0,Hinkel-14
3,-30.002,-29.503,-30.0,Hinkel-14
3,-30.002,-29.503,-30.0,Hinkel-14
3,-30.002,-29.503,-30.0,Hinkel-14
3,0.018,-29.503,-30.0,Hinkel-14
3,0.428,-29.503,-30.0,Hinkel-14
3,-0.182,-29.503,-30.0,Hinkel-14
3,0.208,-29.503,-30.0,Hinkel-14
3,0.058,-29.503,-30.0,Hinkel-14
3,0.168,-29.503,-30.0,Hinkel-14
3,-30.002,-29.503,-30.0,Hinkel-14
3,0.058,-29.503,-30.0,Hinkel-14
3,0.148,-29.503,-30.0,Hinkel-14
3,-0.272,-29.503,-30.0,Hinkel-14
3,0.088,-29.503,-30.0,Hinkel-14
3,-30.002,-0.933,-30.0,Hinkel-14
3,0.368,-29.503,-30.0,Hinkel-14
3,0.308,-29.503,-30.0,Hinkel-14
3,-30.002,-29.503,-30.0,Hinkel-14
3,-30.002,-29.503,-30.0,Hinkel-14
3,-30.002,-29.503,-30.0,Hinkel-14
3,0.068,-29.503,-30.0,Hinkel-14
3,-30.002,-29.503,-30.0,Hinkel-14
3,-0.082,-29.503,-30.0,Hinkel-14
3,-30.002,-29.503,-30.0,Hinkel-14
3,-30.002,-29.503,-30.0,Hinkel-14
3,-30.002,-29.503,-30.0,Hinkel-14
3,-0.132,-29.503,-30.0,Hinkel-14
3,-30.002,-29.503,-30.0,Hinkel-14
3,-0.362,-29.503,-30.0,Hinkel-14
3,-0.052,-29.503,-30.0,Hinkel-14
3,-30.002,-29.503,-30.0,Hinkel-14
3,0.458,-29.503,-30.0,Hinkel-14
3,-0.352,3.837,-30.0,Hinkel-14
3,0.238,-29.503,-30.0,Hinkel-14
3,-0.222,2.727,-30.0,Hinkel-14
3,0.508,-29.503,-30.0,Hinkel-14
3,-30.002,-29.503,-30.0,Hinkel-14
3,0.428,-29.503,-30.0,Hinkel-14
3,-0.102,-29.503,-30.0,Hinkel-14
3,-0.322,-29.503,-30.0,Hinkel-14
3,0.118,-29.503,-30.0,Hinkel-14
3,-0.002,-29.503,-30.0,Hinkel-14
3,0.508,-29.503,-30.0,Hinkel-14
3,0.268,-29.503,-30.0,Hinkel-14
3,-30.002,-29.503,-30.0,Hinkel-14
3,-30.002,-29.503,-30.0,Hinkel-14
3,-30.002,-29.503,-30.0,Hinkel-14
3,0.268,-29.503,-30.0,Hinkel-14
3,-30.002,-29.503,-30.0,Hinkel-14
3,0.258,-29.503,-30.0,Hinkel-14
3,0.018,-29.503,-30.0,Hinkel-14
3,0.368,-29.503,-30.0,Hinkel-14
3,0.228,-29.503,-30.0,Hinkel-14
3,-0.002,-29.503,-30.0,Hinkel-14
3,0.058,-29.503,-30.0,Hinkel-14
3,-0.302,-29.503,-30.0,Hinkel-14
3,-30.002,-29.503,-30.0,Hinkel-14
3,0.308,-29.503,-30.0,Hinkel-14
3,0.208,-29.503,-30.0,Hinkel-14
3,0.308,-29.503,-30.0,Hinkel-14
3,-30.002,-29.503,-30.0,Hinkel-14
3,-30.002,-29.503,-30.0,Hinkel-14
3,-0.232,-29.503,-30.0,Hinkel-14
3,-30.002,-29.503,-30.0,Hinkel-14
3,0.478,-29.503,-30.0,Hinkel-14
3,0.398,-29.503,-30.0,Hinkel-14
3,-0.402,-1.123,-30.0,Hinkel-14
3,-30.002,-29.503,-30.0,Hinkel-14
3,0.148,-29.503,-30.0,Hinkel-14
3,-30.002,-29.503,-30.0,Hinkel-14
3,0.008,-29.503,-30.0,Hinkel-14
3,0.138,-29.503,-30.0,Hinkel-14
3,-30.002,-29.503,-30.0,Hinkel-14
3,0.168,-29.503,-30.0,Hinkel-14
3,-30.002,-29.503,-30.0,Hinkel-14
3,-0.312,-29.503,-30.0,Hinkel-14
3,-0.102,-29.503,-30.0,Hinkel-14
3,0.048,-29.503,-30.0,Hinkel-14
3,-0.202,3.107,-30.0,Hinkel-14
3,0.148,-29.503,-30.0,Hinkel-14
3,0.248,-29.503,-30.0,Hinkel-14
3,-30.002,-29.503,-30.0,Hinkel-14
3,0.118,-29.503,-30.0,Hinkel-14
3,-30.002,-29.503,-30.0,Hinkel-14
3,0.038,-29.503,-30.0,Hinkel-14
3,-30.002,-29.503,-30.0,Hinkel-14
3,-30.002,3.627,-30.0,Hinkel-14
3,-0.122,-29.503,-30.0,Hinkel-14
3,-30.002,-29.503,-30.0,Hinkel-14
3,-30.002,-29.503,-30.0,Hinkel-14
3,-30.002,-29.503,-30.0,Hinkel-14
3,-0.182,-29.503,-30.0,Hinkel-14
3,0.038,-29.503,-30.0,Hinkel-14
3,0.078,-29.503,-30.0,Hinkel-14
3,0.408,-29.503,-30.0,Hinkel-14
3,0.178,-29.503,-30.0,Hinkel-14
3,-30.002,-29.503,-30.0,Hinkel-14
3,-0.322,-29.503,-30.0,Hinkel-14
3,-0.002,-29.503,-30.0,Hinkel-14
3,-0.382,-29.503,-30.0,Hinkel-14
3,0.498,-29.503,-30.0,Hinkel-14
3,-0.452,-29.503,-30.0,Hinkel-14
3,-30.002,-29.503,-30.0,Hinkel-14
3,0.058,-29.503,-30.0,Hinkel-14
3,-30.002,-29.503,-30.0,Hinkel-14
3,-0.032,-29.503,-30.0,Hinkel-14
3,0.408,-29.503,-30.0,Hinkel-14
3,0.088,-29.503,-30.0,Hinkel-14
3,-30.002,-29.503,-30.0,Hinkel-14
3,-0.032,-29.503,-30.0,Hinkel-14
3,-0.362,-29.503,-30.0,Hinkel-14
3,-30.002,-1.733,-30.0,Hinkel-14
3,0.268,-29.503,-30.0,Hinkel-14
3,-30.002,-29.503,-30.0,Hinkel-14
3,0.318,-29.503,-30.0,Hinkel-14
3,0.198,-29.503,-30.0,Hinkel-14
3,-30.002,-29.503,-30.0,Hinkel-14
3,-30.002,-29.503,-30.0,Hinkel-14
3,0.418,-29.503,-30.0,Hinkel-14
3,-30.002,-29.503,-30.0,Hinkel-14
3,0.158,-29.503,-30.0,Hinkel-14
3,-30.002,-29.503,-30.0,Hinkel-14
3,-0.002,-29.503,-30.0,Hinkel-14
3,0.288,-29.503,-30.0,Hinkel-14
3,0.008,-29.503,-30.0,Hinkel-14
3,0.308,-29.503,-30.0,Hinkel-14
3,-30.002,-29.503,-30.0,Hinkel-14
3,-0.922,-29.503,-30.0,Hinkel-14
