elemZ,[Fe/H]sun by mass (Asplund09),[X/Fe]sun by mass(Neutral),[X/Fe]sun by mass(Ionized),paperName
12,-1.95,0.47,-30.0,Ishigaki-12&13-LTE
12,-2.37,0.3,-30.0,Ishigaki-12&13-LTE
12,-1.08,0.3,-30.0,Ishigaki-12&13-LTE
12,-1.65,0.38,-30.0,Ishigaki-12&13-LTE
12,-1.49,0.26,-30.0,Ishigaki-12&13-LTE
12,-1.97,0.11,-30.0,Ishigaki-12&13-LTE
12,-1.31,-0.06,-30.0,Ishigaki-12&13-LTE
12,-1.36,0.17,-30.0,Ishigaki-12&13-LTE
12,-1.1,0.19,-30.0,Ishigaki-12&13-LTE
12,-2.17,0.09,-30.0,Ishigaki-12&13-LTE
12,-1.11,0.38,-30.0,Ishigaki-12&13-LTE
12,-1.23,0.12,-30.0,Ishigaki-12&13-LTE
12,-1.27,0.08,-30.0,Ishigaki-12&13-LTE
12,-1.27,0.28,-30.0,Ishigaki-12&13-LTE
12,-1.35,0.0,-30.0,Ishigaki-12&13-LTE
12,-1.74,0.04,-30.0,Ishigaki-12&13-LTE
12,-1.4,0.09,-30.0,Ishigaki-12&13-LTE
12,-2.14,0.24,-30.0,Ishigaki-12&13-LTE
12,-1.14,0.16,-30.0,Ishigaki-12&13-LTE
12,-1.99,0.28,-30.0,Ishigaki-12&13-LTE
12,-1.03,0.12,-30.0,Ishigaki-12&13-LTE
12,-3.06,0.15,-30.0,Ishigaki-12&13-LTE
12,-0.58,0.02,-30.0,Ishigaki-12&13-LTE
12,-2.77,0.24,-30.0,Ishigaki-12&13-LTE
12,-2.23,0.37,-30.0,Ishigaki-12&13-LTE
12,-1.34,0.37,-30.0,Ishigaki-12&13-LTE
12,-1.21,-30.0,-30.0,Ishigaki-12&13-LTE
12,-1.9,0.25,-30.0,Ishigaki-12&13-LTE
12,-1.76,0.14,-30.0,Ishigaki-12&13-LTE
12,-1.72,0.3,-30.0,Ishigaki-12&13-LTE
12,-1.37,0.1,-30.0,Ishigaki-12&13-LTE
12,-0.93,-0.01,-30.0,Ishigaki-12&13-LTE
12,-1.25,0.35,-30.0,Ishigaki-12&13-LTE
12,-1.44,0.26,-30.0,Ishigaki-12&13-LTE
12,-1.4,0.27,-30.0,Ishigaki-12&13-LTE
12,-1.94,0.21,-30.0,Ishigaki-12&13-LTE
12,-2.19,0.33,-30.0,Ishigaki-12&13-LTE
12,-2.43,0.36,-30.0,Ishigaki-12&13-LTE
12,-2.26,0.25,-30.0,Ishigaki-12&13-LTE
12,-1.36,0.19,-30.0,Ishigaki-12&13-LTE
12,-1.45,0.07,-30.0,Ishigaki-12&13-LTE
12,90.0,1111.0,-30.0,Ishigaki-12&13-LTE
12,-0.64,0.1,-30.0,Ishigaki-12&13-LTE
12,-1.38,0.19,-30.0,Ishigaki-12&13-LTE
12,-2.37,0.43,-30.0,Ishigaki-12&13-LTE
12,-2.02,0.29,-30.0,Ishigaki-12&13-LTE
12,-1.91,0.29,-30.0,Ishigaki-12&13-LTE
12,-1.53,0.18,-30.0,Ishigaki-12&13-LTE
12,-1.62,0.29,-30.0,Ishigaki-12&13-LTE
12,-2.16,0.37,-30.0,Ishigaki-12&13-LTE
12,-1.47,0.16,-30.0,Ishigaki-12&13-LTE
12,-2.58,0.48,-30.0,Ishigaki-12&13-LTE
12,-3.2,0.29,-30.0,Ishigaki-12&13-LTE
12,-1.32,0.17,-30.0,Ishigaki-12&13-LTE
12,-1.87,0.31,-30.0,Ishigaki-12&13-LTE
12,-1.47,0.09,-30.0,Ishigaki-12&13-LTE
12,-1.97,0.21,-30.0,Ishigaki-12&13-LTE
12,-1.19,0.17,-30.0,Ishigaki-12&13-LTE
12,-1.23,0.12,-30.0,Ishigaki-12&13-LTE
12,-1.63,0.06,-30.0,Ishigaki-12&13-LTE
12,-1.6,0.21,-30.0,Ishigaki-12&13-LTE
12,-1.78,0.19,-30.0,Ishigaki-12&13-LTE
12,-1.06,-0.1,-30.0,Ishigaki-12&13-LTE
12,-2.92,0.28,-30.0,Ishigaki-12&13-LTE
12,-1.6,-0.06,-30.0,Ishigaki-12&13-LTE
12,-2.63,0.13,-30.0,Ishigaki-12&13-LTE
12,-2.43,0.1,-30.0,Ishigaki-12&13-LTE
12,-3.21,0.32,-30.0,Ishigaki-12&13-LTE
12,-1.13,0.32,-30.0,Ishigaki-12&13-LTE
12,-1.88,0.18,-30.0,Ishigaki-12&13-LTE
12,-1.69,0.13,-30.0,Ishigaki-12&13-LTE
12,-2.16,0.27,-30.0,Ishigaki-12&13-LTE
12,-1.23,0.01,-30.0,Ishigaki-12&13-LTE
12,-1.35,0.2,-30.0,Ishigaki-12&13-LTE
12,-1.72,0.34,-30.0,Ishigaki-12&13-LTE
12,-1.96,0.11,-30.0,Ishigaki-12&13-LTE
12,-1.92,0.46,-30.0,Ishigaki-12&13-LTE
12,-2.81,0.27,-30.0,Ishigaki-12&13-LTE
12,-2.04,0.29,-30.0,Ishigaki-12&13-LTE
12,-1.33,0.03,-30.0,Ishigaki-12&13-LTE
12,-1.5,0.0,-30.0,Ishigaki-12&13-LTE
12,-1.56,0.33,-30.0,Ishigaki-12&13-LTE
12,-0.91,0.27,-30.0,Ishigaki-12&13-LTE
12,-0.66,0.29,-30.0,Ishigaki-12&13-LTE
12,-1.47,0.29,-30.0,Ishigaki-12&13-LTE
12,-0.72,0.21,-30.0,Ishigaki-12&13-LTE
12,-0.63,0.21,-30.0,Ishigaki-12&13-LTE
12,-0.8,0.31,-30.0,Ishigaki-12&13-LTE
12,-1.01,0.39,-30.0,Ishigaki-12&13-LTE
12,-1.45,0.37,-30.0,Ishigaki-12&13-LTE
12,-2.52,0.48,-30.0,Ishigaki-12&13-LTE
12,-2.27,0.34,-30.0,Ishigaki-12&13-LTE
12,-0.81,0.34,-30.0,Ishigaki-12&13-LTE
12,-1.0,0.32,-30.0,Ishigaki-12&13-LTE
12,-0.83,0.27,-30.0,Ishigaki-12&13-LTE
12,-1.34,0.4,-30.0,Ishigaki-12&13-LTE
12,-1.44,0.64,-30.0,Ishigaki-12&13-LTE
14,-1.95,0.44,-30.0,Ishigaki-12&13-LTE
