elemZ,[Fe/H]sun by mass (Asplund09),[X/Fe]sun by mass(Neutral),[X/Fe]sun by mass(Ionized),paperName
70,-0.56,0.22304946,-30,Montelius-22
70,0.29,0.20204946,-30,Montelius-22
70,0.15,0.11004946,-30,Montelius-22
70,0,-0.09795054,-30,Montelius-22
70,0.3,0.18004946,-30,Montelius-22
70,0.28,0.23904946,-30,Montelius-22
70,-0.49,0.49404946,-30,Montelius-22
70,-0.65,0.42904946,-30,Montelius-22
70,-0.19,0.16704946,-30,Montelius-22
70,-0.37,0.51504946,-30,Montelius-22
70,-0.35,0.16404946,-30,Montelius-22
70,-0.16,0.35904946,-30,Montelius-22
70,-1.1,0.53604946,-30,Montelius-22
70,0.08,0.12004946,-30,Montelius-22
70,0.06,-0.00195054,-30,Montelius-22
70,-0.43,0.37504946,-30,Montelius-22
70,-0.37,0.35704946,-30,Montelius-22
70,-0.35,0.06204946,-30,Montelius-22
70,-0.48,0.30904946,-30,Montelius-22
70,0.14,-0.14995054,-30,Montelius-22
70,0.22,0.06504946,-30,Montelius-22
70,-0.28,0.41204946,-30,Montelius-22
70,-0.72,0.31304946,-30,Montelius-22
70,-0.68,0.32104946,-30,Montelius-22
70,-0.52,0.29804946,-30,Montelius-22
70,0.21,0.15604946,-30,Montelius-22
70,-0.09,0.18204946,-30,Montelius-22
70,-0.33,0.28004946,-30,Montelius-22
70,-0.26,0.56004946,-30,Montelius-22
70,-0.77,0.75104946,-30,Montelius-22
70,0.06,0.17804946,-30,Montelius-22
63,-0.56,0.319904991,-30,Montelius-22
63,0.29,0.036904991,-30,Montelius-22
63,0.15,-29.99709501,-30,Montelius-22
63,0,0.018904991,-30,Montelius-22
63,0.3,-0.024095009,-30,Montelius-22
63,0.28,-0.024095009,-30,Montelius-22
63,-0.49,0.195904991,-30,Montelius-22
63,-0.65,0.294904991,-30,Montelius-22
63,-0.19,0.184904991,-30,Montelius-22
63,-0.37,0.225904991,-30,Montelius-22
63,-0.35,0.088904991,-30,Montelius-22
63,-0.16,0.139904991,-30,Montelius-22
63,-1.1,0.513904991,-30,Montelius-22
63,0.08,-0.034095009,-30,Montelius-22
63,0.06,-0.076095009,-30,Montelius-22
63,-0.43,0.609904991,-30,Montelius-22
63,-0.37,0.124904991,-30,Montelius-22
63,-0.35,0.408904991,-30,Montelius-22
63,-0.48,0.419904991,-30,Montelius-22
63,0.14,0.032904991,-30,Montelius-22
63,0.22,0.073904991,-30,Montelius-22
63,-0.28,0.171904991,-30,Montelius-22
63,-0.72,0.399904991,-30,Montelius-22
63,-0.68,0.308904991,-30,Montelius-22
63,-0.52,0.087904991,-30,Montelius-22
63,0.21,0.046904991,-30,Montelius-22
63,-0.09,0.148904991,-30,Montelius-22
63,-0.33,0.164904991,-30,Montelius-22
63,-0.26,0.098904991,-30,Montelius-22
63,-0.77,0.549904991,-30,Montelius-22
63,0.06,-29.99709501,-30,Montelius-22
58,-0.56,-0.290095009,-30,Montelius-22
58,0.29,-0.280095009,-30,Montelius-22
58,0.15,0.014904991,-30,Montelius-22
58,0,-0.098095009,-30,Montelius-22
58,0.3,-0.215095009,-30,Montelius-22
58,0.28,-0.220095009,-30,Montelius-22
58,-0.49,0.022904991,-30,Montelius-22
58,-0.65,-0.036095009,-30,Montelius-22
58,-0.19,-0.120095009,-30,Montelius-22
58,-0.37,0.015904991,-30,Montelius-22
58,-0.35,-0.146095009,-30,Montelius-22
58,-0.16,-0.097095009,-30,Montelius-22
58,-1.1,0.209904991,-30,Montelius-22
58,0.08,-0.102095009,-30,Montelius-22
58,0.06,-0.229095009,-30,Montelius-22
58,-0.43,-0.251095009,-30,Montelius-22
58,-0.37,-0.037095009,-30,Montelius-22
58,-0.35,-0.327095009,-30,Montelius-22
58,-0.48,-0.222095009,-30,Montelius-22
58,0.14,-0.285095009,-30,Montelius-22
58,0.22,-0.207095009,-30,Montelius-22
58,-0.28,0.073904991,-30,Montelius-22
58,-0.72,-0.146095009,-30,Montelius-22
58,-0.68,-0.223095009,-30,Montelius-22
58,-0.52,-0.198095009,-30,Montelius-22
58,0.21,-0.115095009,-30,Montelius-22
58,-0.09,-0.141095009,-30,Montelius-22
58,-0.33,-0.058095009,-30,Montelius-22
58,-0.26,0.353904991,-30,Montelius-22
58,-0.77,0.181904991,-30,Montelius-22
58,0.06,-0.214095009,-30,Montelius-22
