elemZ,[Fe/H]sun by mass (Asplund09),[X/Fe]sun by mass(Neutral),[X/Fe]sun by mass(Ionized),paperName
16,-2.69,0.435,-30.0,Nissen-07-LTE
16,-1.89,0.295,-30.0,Nissen-07-LTE
16,-2.34,0.295,-30.0,Nissen-07-LTE
16,-2.03,0.205,-30.0,Nissen-07-LTE
16,-2.03,0.345,-30.0,Nissen-07-LTE
16,-2.29,0.475,-30.0,Nissen-07-LTE
16,-1.46,0.335,-30.0,Nissen-07-LTE
16,-2.19,0.325,-30.0,Nissen-07-LTE
16,-1.62,0.345,-30.0,Nissen-07-LTE
16,-1.69,0.295,-30.0,Nissen-07-LTE
16,-1.29,0.275,-30.0,Nissen-07-LTE
16,-3.24,0.455,-30.0,Nissen-07-LTE
16,-3.08,0.335,-30.0,Nissen-07-LTE
16,-1.48,0.285,-30.0,Nissen-07-LTE
16,-1.55,0.255,-30.0,Nissen-07-LTE
16,-2.54,0.195,-30.0,Nissen-07-LTE
16,-1.37,0.435,-30.0,Nissen-07-LTE
16,-1.71,0.335,-30.0,Nissen-07-LTE
16,-1.59,0.295,-30.0,Nissen-07-LTE
16,-2.38,0.285,-30.0,Nissen-07-LTE
16,-1.75,0.375,-30.0,Nissen-07-LTE
16,-1.12,0.265,-30.0,Nissen-07-LTE
16,-1.87,0.295,-30.0,Nissen-07-LTE
16,-1.72,0.285,-30.0,Nissen-07-LTE
16,-1.1,0.215,-30.0,Nissen-07-LTE
16,-1.15,0.205,-30.0,Nissen-07-LTE
16,-2.28,0.305,-30.0,Nissen-07-LTE
16,-2.71,0.355,-30.0,Nissen-07-LTE
16,-3.21,0.525,-30.0,Nissen-07-LTE
16,-2.38,0.345,-30.0,Nissen-07-LTE
16,-2.24,0.385,-30.0,Nissen-07-LTE
16,-2.45,0.265,-30.0,Nissen-07-LTE
16,-2.6,0.395,-30.0,Nissen-07-LTE
16,-1.93,0.305,-30.0,Nissen-07-LTE
16,-2.21,0.225,-30.0,Nissen-07-LTE
16,-2.58,0.435,-30.0,Nissen-07-LTE
16,-2.11,0.335,-30.0,Nissen-07-LTE
16,-2.26,0.405,-30.0,Nissen-07-LTE
16,-2.39,0.295,-30.0,Nissen-07-LTE
16,-2.63,0.265,-30.0,Nissen-07-LTE
30,-2.69,0.084,-30.0,Nissen-07-LTE
30,-1.89,0.034,-30.0,Nissen-07-LTE
30,-2.34,0.074,-30.0,Nissen-07-LTE
30,-2.03,0.084,-30.0,Nissen-07-LTE
30,-2.03,0.194,-30.0,Nissen-07-LTE
30,-2.29,0.094,-30.0,Nissen-07-LTE
30,-1.46,0.084,-30.0,Nissen-07-LTE
30,-2.19,0.154,-30.0,Nissen-07-LTE
30,-1.62,0.064,-30.0,Nissen-07-LTE
30,-1.69,-0.046,-30.0,Nissen-07-LTE
30,-1.29,0.024,-30.0,Nissen-07-LTE
30,-3.24,0.414,-30.0,Nissen-07-LTE
30,-3.08,0.444,-30.0,Nissen-07-LTE
30,-1.48,-0.016,-30.0,Nissen-07-LTE
30,-1.55,-0.006,-30.0,Nissen-07-LTE
30,-2.54,0.194,-30.0,Nissen-07-LTE
30,-1.37,0.144,-30.0,Nissen-07-LTE
30,-1.71,0.074,-30.0,Nissen-07-LTE
30,-1.59,0.014,-30.0,Nissen-07-LTE
30,-2.38,0.084,-30.0,Nissen-07-LTE
30,-1.75,-0.026,-30.0,Nissen-07-LTE
30,-1.12,0.004,-30.0,Nissen-07-LTE
30,-1.87,0.084,-30.0,Nissen-07-LTE
30,-1.72,0.034,-30.0,Nissen-07-LTE
30,-1.1,-0.116,-30.0,Nissen-07-LTE
30,-1.15,-0.076,-30.0,Nissen-07-LTE
30,-2.28,0.094,-30.0,Nissen-07-LTE
30,-2.71,0.284,-30.0,Nissen-07-LTE
30,-3.21,0.574,-30.0,Nissen-07-LTE
30,-2.38,0.124,-30.0,Nissen-07-LTE
30,-2.24,0.134,-30.0,Nissen-07-LTE
30,-2.45,0.144,-30.0,Nissen-07-LTE
30,-2.6,0.134,-30.0,Nissen-07-LTE
30,-1.93,0.064,-30.0,Nissen-07-LTE
30,-2.21,0.114,-30.0,Nissen-07-LTE
30,-2.58,0.084,-30.0,Nissen-07-LTE
30,-2.11,0.064,-30.0,Nissen-07-LTE
30,-2.26,0.144,-30.0,Nissen-07-LTE
30,-2.39,0.154,-30.0,Nissen-07-LTE
30,-2.63,0.074,-30.0,Nissen-07-LTE
30,-2.69,0.194,-30.0,Nissen-07-NLTE
30,-1.89,0.104,-30.0,Nissen-07-NLTE
30,-2.34,0.144,-30.0,Nissen-07-NLTE
30,-2.03,0.124,-30.0,Nissen-07-NLTE
30,-2.03,0.244,-30.0,Nissen-07-NLTE
30,-2.29,0.184,-30.0,Nissen-07-NLTE
