elemZ,[Fe/H]sun by mass (Asplund09),[X/Fe]sun by mass(Neutral),[X/Fe]sun by mass(Ionized),paperName
8,-0.34,0.16,-30.0,Ramirez-13-NLTE
8,-0.17,0.08,-30.0,Ramirez-13-NLTE
8,0.03,0.02,-30.0,Ramirez-13-NLTE
8,0.04,0.05,-30.0,Ramirez-13-NLTE
8,-0.02,0.17,-30.0,Ramirez-13-NLTE
8,0.02,0.19,-30.0,Ramirez-13-NLTE
8,0.13,0.06,-30.0,Ramirez-13-NLTE
8,-0.36,0.36,-30.0,Ramirez-13-NLTE
8,0.06,0.09,-30.0,Ramirez-13-NLTE
8,0.05,-0.03,-30.0,Ramirez-13-NLTE
8,0.01,0.06,-30.0,Ramirez-13-NLTE
8,-0.76,0.46,-30.0,Ramirez-13-NLTE
8,-0.19,0.09,-30.0,Ramirez-13-NLTE
8,-0.48,0.23,-30.0,Ramirez-13-NLTE
8,-0.34,0.04,-30.0,Ramirez-13-NLTE
8,-0.2,0.02,-30.0,Ramirez-13-NLTE
8,0.05,0.07,-30.0,Ramirez-13-NLTE
8,-0.01,0.14,-30.0,Ramirez-13-NLTE
8,0.14,0.04,-30.0,Ramirez-13-NLTE
8,-0.24,0.2,-30.0,Ramirez-13-NLTE
8,-0.01,-0.01,-30.0,Ramirez-13-NLTE
8,-0.11,0.05,-30.0,Ramirez-13-NLTE
8,-0.06,0.08,-30.0,Ramirez-13-NLTE
8,-0.24,0.16,-30.0,Ramirez-13-NLTE
8,-0.63,0.39,-30.0,Ramirez-13-NLTE
8,-0.01,0.13,-30.0,Ramirez-13-NLTE
8,-0.03,-0.07,-30.0,Ramirez-13-NLTE
8,0.18,-0.05,-30.0,Ramirez-13-NLTE
8,-0.22,0.06,-30.0,Ramirez-13-NLTE
8,-0.03,-0.03,-30.0,Ramirez-13-NLTE
8,-0.13,0.06,-30.0,Ramirez-13-NLTE
8,-0.22,0.09,-30.0,Ramirez-13-NLTE
8,-0.39,0.12,-30.0,Ramirez-13-NLTE
8,-0.14,0.13,-30.0,Ramirez-13-NLTE
8,-0.14,0.08,-30.0,Ramirez-13-NLTE
8,-0.08,0.1,-30.0,Ramirez-13-NLTE
8,-0.07,-0.01,-30.0,Ramirez-13-NLTE
8,-0.22,0.24,-30.0,Ramirez-13-NLTE
8,-0.58,0.19,-30.0,Ramirez-13-NLTE
8,-0.31,0.23,-30.0,Ramirez-13-NLTE
8,-0.94,0.06,-30.0,Ramirez-13-NLTE
8,-0.15,0.06,-30.0,Ramirez-13-NLTE
8,0.18,-0.06,-30.0,Ramirez-13-NLTE
8,-0.33,0.17,-30.0,Ramirez-13-NLTE
8,-0.61,0.37,-30.0,Ramirez-13-NLTE
8,0.23,0.01,-30.0,Ramirez-13-NLTE
8,-0.42,0.13,-30.0,Ramirez-13-NLTE
8,-0.48,0.34,-30.0,Ramirez-13-NLTE
8,-0.31,0.2,-30.0,Ramirez-13-NLTE
