elemZ,[Fe/H]sun by mass (Asplund09),[X/Fe]sun by mass(Neutral),[X/Fe]sun by mass(Ionized),paperName
6,-0.353,0.217,-30.0,Reddy-03-LTE
6,-0.293,0.197,-30.0,Reddy-03-LTE
6,-0.113,0.287,-30.0,Reddy-03-LTE
6,-0.273,0.337,-30.0,Reddy-03-LTE
6,-0.263,0.157,-30.0,Reddy-03-LTE
6,-0.413,0.207,-30.0,Reddy-03-LTE
6,-0.193,0.207,-30.0,Reddy-03-LTE
6,-0.363,0.337,-30.0,Reddy-03-LTE
6,-0.583,0.227,-30.0,Reddy-03-LTE
6,-0.353,0.147,-30.0,Reddy-03-LTE
6,-0.383,0.057,-30.0,Reddy-03-LTE
6,-0.183,0.197,-30.0,Reddy-03-LTE
6,-0.173,0.227,-30.0,Reddy-03-LTE
6,-0.393,0.077,-30.0,Reddy-03-LTE
6,-0.153,0.097,-30.0,Reddy-03-LTE
6,-0.323,0.247,-30.0,Reddy-03-LTE
6,-0.693,-29.993,-30.0,Reddy-03-LTE
6,-0.433,0.107,-30.0,Reddy-03-LTE
6,-0.123,0.167,-30.0,Reddy-03-LTE
6,-0.163,0.047,-30.0,Reddy-03-LTE
6,-0.353,0.137,-30.0,Reddy-03-LTE
6,-0.283,0.097,-30.0,Reddy-03-LTE
6,-0.313,0.087,-30.0,Reddy-03-LTE
6,-0.393,0.307,-30.0,Reddy-03-LTE
6,-0.293,-0.003,-30.0,Reddy-03-LTE
6,-0.423,0.157,-30.0,Reddy-03-LTE
6,-0.313,-0.093,-30.0,Reddy-03-LTE
6,-0.013,-0.183,-30.0,Reddy-03-LTE
6,-0.123,0.147,-30.0,Reddy-03-LTE
6,-0.523,0.217,-30.0,Reddy-03-LTE
6,-0.333,0.067,-30.0,Reddy-03-LTE
6,-0.483,0.277,-30.0,Reddy-03-LTE
6,-0.283,0.137,-30.0,Reddy-03-LTE
6,-0.253,0.197,-30.0,Reddy-03-LTE
6,-0.193,0.187,-30.0,Reddy-03-LTE
6,-0.363,0.217,-30.0,Reddy-03-LTE
6,-0.383,0.057,-30.0,Reddy-03-LTE
6,-0.393,0.257,-30.0,Reddy-03-LTE
6,-0.543,0.107,-30.0,Reddy-03-LTE
6,-0.013,0.057,-30.0,Reddy-03-LTE
6,-0.453,0.347,-30.0,Reddy-03-LTE
6,-0.223,0.227,-30.0,Reddy-03-LTE
6,-0.563,0.117,-30.0,Reddy-03-LTE
6,-0.163,0.137,-30.0,Reddy-03-LTE
6,-0.123,0.087,-30.0,Reddy-03-LTE
6,-0.203,0.167,-30.0,Reddy-03-LTE
6,-0.243,0.247,-30.0,Reddy-03-LTE
6,-0.213,0.177,-30.0,Reddy-03-LTE
6,0.037,-0.003,-30.0,Reddy-03-LTE
6,-0.383,0.157,-30.0,Reddy-03-LTE
6,-0.253,0.047,-30.0,Reddy-03-LTE
6,-0.083,0.107,-30.0,Reddy-03-LTE
6,-0.213,0.047,-30.0,Reddy-03-LTE
