elemZ,[Fe/H]sun by mass (Asplund09),[X/Fe]sun by mass(Neutral),[X/Fe]sun by mass(Ionized),paperName
38,-0.1,0.674874553,-30,Roriz-21
38,-0.24,1.364874553,-30,Roriz-21
38,0.01,0.704874553,-30,Roriz-21
38,-0.25,0.844874553,-30,Roriz-21
38,0.04,0.924874553,-30,Roriz-21
38,-0.11,0.524874553,-30,Roriz-21
38,-0.52,1.034874553,-30,Roriz-21
38,-0.23,1.004874553,-30,Roriz-21
38,-0.19,0.594874553,-30,Roriz-21
38,-0.2,0.474874553,-30,Roriz-21
38,-0.08,0.854874553,-30,Roriz-21
38,-0.1,0.964874553,-30,Roriz-21
38,-0.42,0.664874553,-30,Roriz-21
38,-0.41,0.934874553,-30,Roriz-21
38,-0.48,0.674874553,-30,Roriz-21
38,-0.27,0.714874553,-30,Roriz-21
38,-0.22,0.854874553,-30,Roriz-21
38,-0.14,0.374874553,-30,Roriz-21
38,-0.6,0.964874553,-30,Roriz-21
38,-0.17,0.474874553,-30,Roriz-21
38,-0.23,0.984874553,-30,Roriz-21
38,-0.25,0.774874553,-30,Roriz-21
38,-0.07,0.454874553,-30,Roriz-21
38,0.02,0.654874553,-30,Roriz-21
38,-0.12,0.414874553,-30,Roriz-21
38,-0.24,0.314874553,-30,Roriz-21
38,-0.44,0.284874553,-30,Roriz-21
38,-0.05,0.814874553,-30,Roriz-21
38,-0.28,0.524874553,-30,Roriz-21
38,0.05,0.624874553,-30,Roriz-21
38,-0.23,0.634874553,-30,Roriz-21
38,-0.5,1.164874553,-30,Roriz-21
38,-0.1,0.694874553,-30,Roriz-21
38,0.04,0.464874553,-30,Roriz-21
38,-0.22,0.334874553,-30,Roriz-21
38,0.07,0.404874553,-30,Roriz-21
38,0.06,0.714874553,-30,Roriz-21
38,-0.31,0.354874553,-30,Roriz-21
38,-0.41,0.754874553,-30,Roriz-21
38,-0.03,0.494874553,-30,Roriz-21
38,-0.21,0.514874553,-30,Roriz-21
38,-0.21,0.734874553,-30,Roriz-21
38,0.03,0.364874553,-30,Roriz-21
38,0,0.564874553,-30,Roriz-21
38,-0.13,1.044874553,-30,Roriz-21
38,-0.1,0.794874553,-30,Roriz-21
38,-0.27,0.474874553,-30,Roriz-21
38,-0.55,1.194874553,-30,Roriz-21
38,0.05,0.894874553,-30,Roriz-21
38,-0.11,0.864874553,-30,Roriz-21
38,-0.15,0.994874553,-30,Roriz-21
38,-0.18,1.214874553,-30,Roriz-21
38,-0.19,0.944874553,-30,Roriz-21
38,-0.63,1.324874553,-30,Roriz-21
38,-0.04,0.634874553,-30,Roriz-21
38,-0.56,0.534874553,-30,Roriz-21
38,0.04,0.554874553,-30,Roriz-21
38,-0.02,0.724874553,-30,Roriz-21
38,-0.36,0.634874553,-30,Roriz-21
38,-0.43,0.324874553,-30,Roriz-21
38,-0.39,0.464874553,-30,Roriz-21
38,-0.14,1.144874553,-30,Roriz-21
38,-0.07,0.884874553,-30,Roriz-21
38,-1.04,0.884874553,-30,Roriz-21
38,-0.44,1.064874553,-30,Roriz-21
38,-0.09,0.864874553,-30,Roriz-21
38,-0.1,0.874874553,-30,Roriz-21
38,-1.11,0.204874553,-30,Roriz-21
38,-0.04,0.624874553,-30,Roriz-21
38,-0.04,0.824874553,-30,Roriz-21
38,-0.1,0.714874553,-30,Roriz-21
38,-0.27,0.674874553,-30,Roriz-21
38,-0.09,0.864874553,-30,Roriz-21
38,-0.15,0.544874553,-30,Roriz-21
38,-0.36,0.884874553,-30,Roriz-21
38,-0.26,0.724874553,-30,Roriz-21
38,-0.08,1.074874553,-30,Roriz-21
38,-0.13,0.444874553,-30,Roriz-21
38,-0.23,0.874874553,-30,Roriz-21
38,-0.14,0.734874553,-30,Roriz-21
38,-0.17,0.824874553,-30,Roriz-21
38,0.06,0.774874553,-30,Roriz-21
38,0.06,0.824874553,-30,Roriz-21
38,-0.39,0.774874553,-30,Roriz-21
38,-0.08,0.614874553,-30,Roriz-21
38,-0.17,0.394874553,-30,Roriz-21
38,-0.19,1.004874553,-30,Roriz-21
38,-0.39,0.924874553,-30,Roriz-21
38,-0.03,0.574874553,-30,Roriz-21
38,-0.34,1.024874553,-30,Roriz-21
38,-0.33,0.994874553,-30,Roriz-21
38,0.06,0.874874553,-30,Roriz-21
38,-0.13,0.654874553,-30,Roriz-21
38,-0.1,0.434874553,-30,Roriz-21
38,-0.12,0.624874553,-30,Roriz-21
38,-0.39,0.494874553,-30,Roriz-21
38,-0.43,1.224874553,-30,Roriz-21
38,-0.51,0.964874553,-30,Roriz-21
38,-0.26,0.524874553,-30,Roriz-21
38,-0.35,0.634874553,-30,Roriz-21
38,-0.17,0.934874553,-30,Roriz-21
38,-0.61,0.824874553,-30,Roriz-21
38,-0.08,0.764874553,-30,Roriz-21
38,-0.18,0.594874553,-30,Roriz-21
38,-0.14,0.804874553,-30,Roriz-21
38,-0.15,0.754874553,-30,Roriz-21
38,-0.05,0.344874553,-30,Roriz-21
38,-0.43,1.194874553,-30,Roriz-21
38,-0.27,0.674874553,-30,Roriz-21
38,0.02,0.554874553,-30,Roriz-21
38,0.05,0.564874553,-30,Roriz-21
38,-0.07,0.524874553,-30,Roriz-21
38,0.01,0.674874553,-30,Roriz-21
38,-0.1,0.664874553,-30,Roriz-21
38,-0.17,0.714874553,-30,Roriz-21
38,0.01,0.314874553,-30,Roriz-21
38,-0.48,0.384874553,-30,Roriz-21
38,-0.3,0.414874553,-30,Roriz-21
38,-0.07,0.704874553,-30,Roriz-21
38,-0.2,0.364874553,-30,Roriz-21
38,-0.12,0.764874553,-30,Roriz-21
38,0.02,0.374874553,-30,Roriz-21
38,-0.14,0.624874553,-30,Roriz-21
38,-0.07,0.394874553,-30,Roriz-21
38,0.02,0.194874553,-30,Roriz-21
38,-0.13,0.354874553,-30,Roriz-21
38,-0.22,-0.165125447,-30,Roriz-21
38,-0.16,0.454874553,-30,Roriz-21
38,-0.31,0.464874553,-30,Roriz-21
38,-0.23,0.764874553,-30,Roriz-21
38,-0.01,0.394874553,-30,Roriz-21
38,-0.11,0.974874553,-30,Roriz-21
38,-0.04,0.494874553,-30,Roriz-21
38,0.04,0.504874553,-30,Roriz-21
38,0.05,0.144874553,-30,Roriz-21
38,-0.56,0.554874553,-30,Roriz-21
38,-0.15,0.604874553,-30,Roriz-21
38,-0.03,0.544874553,-30,Roriz-21
38,-0.1,0.324874553,-30,Roriz-21
38,-0.52,0.404874553,-30,Roriz-21
38,-0.27,0.674874553,-30,Roriz-21
38,-0.51,0.504874553,-30,Roriz-21
38,0.01,0.414874553,-30,Roriz-21
38,-0.21,0.634874553,-30,Roriz-21
38,0.04,0.434874553,-30,Roriz-21
38,-0.09,0.674874553,-30,Roriz-21
38,-0.42,0.644874553,-30,Roriz-21
38,0,0.364874553,-30,Roriz-21
38,-0.01,0.644874553,-30,Roriz-21
38,-0.08,0.744874553,-30,Roriz-21
38,-0.61,0.964874553,-30,Roriz-21
38,-0.4,1.004874553,-30,Roriz-21
38,-0.17,0.754874553,-30,Roriz-21
38,-0.5,1.124874553,-30,Roriz-21
38,0.03,0.564874553,-30,Roriz-21
38,-0.34,0.854874553,-30,Roriz-21
38,-0.03,0.454874553,-30,Roriz-21
38,-0.17,0.634874553,-30,Roriz-21
38,-0.08,1.004874553,-30,Roriz-21
38,-0.04,0.804874553,-30,Roriz-21
38,-0.1,0.754874553,-30,Roriz-21
38,-0.29,0.734874553,-30,Roriz-21
38,0.02,0.584874553,-30,Roriz-21
38,-0.98,-29.98512545,-30,Roriz-21
38,-0.19,0.654874553,-30,Roriz-21
38,-0.3,0.454874553,-30,Roriz-21
38,-0.11,0.844874553,-30,Roriz-21
38,-0.15,0.764874553,-30,Roriz-21
38,-0.92,1.114874553,-30,Roriz-21
38,0.12,0.594874553,-30,Roriz-21
38,0.11,0.824874553,-30,Roriz-21
38,0.21,0.474874553,-30,Roriz-21
38,0.19,0.354874553,-30,Roriz-21
38,0.2,0.464874553,-30,Roriz-21
38,0.23,0.634874553,-30,Roriz-21
38,0.1,0.424874553,-30,Roriz-21
38,0.16,0.544874553,-30,Roriz-21
38,0.26,0.404874553,-30,Roriz-21
38,0.18,0.444874553,-30,Roriz-21
38,0.3,0.334874553,-30,Roriz-21
41,-0.1,1.367935489,-30,Roriz-21
41,-0.24,2.367935489,-30,Roriz-21
41,0.01,1.047935489,-30,Roriz-21
41,-0.25,1.087935489,-30,Roriz-21
41,0.04,1.017935489,-30,Roriz-21
41,-0.11,0.467935489,-30,Roriz-21
41,-0.52,1.367935489,-30,Roriz-21
41,-0.23,1.247935489,-30,Roriz-21
41,-0.19,1.127935489,-30,Roriz-21
41,-0.2,1.067935489,-30,Roriz-21
41,-0.08,-30.01206451,-30,Roriz-21
41,-0.1,1.587935489,-30,Roriz-21
41,-0.42,1.537935489,-30,Roriz-21
41,-0.41,1.317935489,-30,Roriz-21
41,-0.48,-30.01206451,-30,Roriz-21
41,-0.27,1.407935489,-30,Roriz-21
41,-0.22,1.237935489,-30,Roriz-21
41,-0.14,0.457935489,-30,Roriz-21
41,-0.6,1.187935489,-30,Roriz-21
41,-0.17,0.777935489,-30,Roriz-21
41,-0.23,1.387935489,-30,Roriz-21
