elemZ,[Fe/H]sun by mass (Asplund09),[X/Fe]sun by mass(Neutral),[X/Fe]sun by mass(Ionized),paperName
38,-0.028,0.081,-30,Spina-18
38, 0.088,0.097,-30,Spina-18
38,-0.080,0.062,-30,Spina-18
38,-0.016,-0.11,-30,Spina-18
38, 0.104,0.032,-30,Spina-18
38, 0.051,0.018,-30,Spina-18
38, 0.003,0.113,-30,Spina-18
38, 0.055,-0.079,-30,Spina-18
38,-0.096,-0.116,-30,Spina-18
38,-0.108,-0.09,-30,Spina-18
38,-0.017,-0.054,-30,Spina-18
38,-0.063,0.058,-30,Spina-18
38, 0.013,-0.072,-30,Spina-18
38,-0.005,-0.047,-30,Spina-18
38, 0.024,-0.045,-30,Spina-18
38,-0.036,-0.113,-30,Spina-18
38,-0.067,0.056,-30,Spina-18
38,-0.153,-0.057,-30,Spina-18
38,-0.109,0.019,-30,Spina-18
38,-0.064,-0.125,-30,Spina-18
38, 0.014,-0.085,-30,Spina-18
38,-0.090,0.041,-30,Spina-18
38, 0.037,0.125,-30,Spina-18
38, 0.054,0.052,-30,Spina-18
38,-0.147,-0.054,-30,Spina-18
38,-0.112,-0.006,-30,Spina-18
38,-0.012,0.09,-30,Spina-18
38, 0.007,-0.013,-30,Spina-18
38,-0.004,-0.036,-30,Spina-18
38,-0.033,-0.107,-30,Spina-18
38,-0.057,-0.019,-30,Spina-18
38,-0.050,0.11,-30,Spina-18
38, 0.023,-0.073,-30,Spina-18
38,-0.091,0.03,-30,Spina-18
38,-0.126,-0.01,-30,Spina-18
38,-0.029,0.104,-30,Spina-18
38, 0.085,0.063,-30,Spina-18
38, 0.116,0.006,-30,Spina-18
38,-0.081,-0.077,-30,Spina-18
38, 0.132,0.127,-30,Spina-18
38, 0.082,0.109,-30,Spina-18
38, 0.063,-0.11,-30,Spina-18
38, 0.038,-0.031,-30,Spina-18
38,-0.012,0.021,-30,Spina-18
38, 0.048,0.122,-30,Spina-18
38, 0.023,0.026,-30,Spina-18
38,-0.074,-0.019,-30,Spina-18
38, 0.011,0.093,-30,Spina-18
38, 0.107,-0.014,-30,Spina-18
38,-0.096,-0.098,-30,Spina-18
38, 0.104,-0.059,-30,Spina-18
38,-0.058,0.07,-30,Spina-18
38, 0.049,0.359,-30,Spina-18
38,-0.017,-0.067,-30,Spina-18
38,-0.043,0.016,-30,Spina-18
38,-0.063,-0.085,-30,Spina-18
38, 0.071,-0.059,-30,Spina-18
38,-0.026,-0.006,-30,Spina-18
38,-0.026,-0.097,-30,Spina-18
38, 0.092,-0.064,-30,Spina-18
38, 0.023,-0.101,-30,Spina-18
38, 0.083,0.055,-30,Spina-18
38, 0.048,-0.081,-30,Spina-18
38, 0.083,0.07,-30,Spina-18
38,-0.024,-0.015,-30,Spina-18
38, 0.051,0.099,-30,Spina-18
38, 0.017,-0.076,-30,Spina-18
38, 0.048,0.054,-30,Spina-18
38,-0.037,-0.061,-30,Spina-18
38, 0.041,0.043,-30,Spina-18
38,-0.091,-0.092,-30,Spina-18
38,-0.093,-0.135,-30,Spina-18
38, 0.030,-0.021,-30,Spina-18
38,-0.099,0.049,-30,Spina-18
38, 0.072,0.037,-30,Spina-18
38,-0.015,-0.046,-30,Spina-18
38,-0.006,0.084,-30,Spina-18
38, 0.029,-0.018,-30,Spina-18
38,-0.036,0.053,-30,Spina-18
39,-0.028,-30,0.066,Spina-18
39, 0.088,-30,0.081,Spina-18
39,-0.080,-30,0.054,Spina-18
39,-0.016,-30,-0.104,Spina-18
39, 0.104,-30,0.019,Spina-18
39, 0.051,-30,0.015,Spina-18
39, 0.003,-30,0.097,Spina-18
39, 0.055,-30,-0.082,Spina-18
39,-0.096,-30,-0.121,Spina-18
39,-0.108,-30,-0.092,Spina-18
39,-0.017,-30,-0.061,Spina-18
39,-0.063,-30,0.047,Spina-18
