elemZ,[Fe/H]sun by mass (Asplund09),[X/Fe]sun by mass(Neutral),[X/Fe]sun by mass(Ionized),paperName
11,-2.47,-0.129,-30.0,Andrievsky-07-NLTE
11,-2.82,-0.229,-30.0,Andrievsky-07-NLTE
11,-2.59,-0.209,-30.0,Andrievsky-07-NLTE
11,-3.06,-0.289,-30.0,Andrievsky-07-NLTE
11,-4.19,0.091,-30.0,Andrievsky-07-NLTE
11,-3.77,-0.099,-30.0,Andrievsky-07-NLTE
11,-3.36,-0.089,-30.0,Andrievsky-07-NLTE
11,-2.88,-0.119,-30.0,Andrievsky-07-NLTE
11,-3.04,0.091,-30.0,Andrievsky-07-NLTE
11,-3.86,-0.239,-30.0,Andrievsky-07-NLTE
11,-3.0,-0.099,-30.0,Andrievsky-07-NLTE
11,-3.49,-0.289,-30.0,Andrievsky-07-NLTE
11,-2.97,-0.079,-30.0,Andrievsky-07-NLTE
11,-3.25,-0.049,-30.0,Andrievsky-07-NLTE
11,-3.78,0.031,-30.0,Andrievsky-07-NLTE
11,-3.03,-0.219,-30.0,Andrievsky-07-NLTE
11,-2.69,-0.089,-30.0,Andrievsky-07-NLTE
11,-3.41,-0.149,-30.0,Andrievsky-07-NLTE
11,-3.14,-0.139,-30.0,Andrievsky-07-NLTE
11,-2.84,-0.209,-30.0,Andrievsky-07-NLTE
11,-3.33,-29.999,-30.0,Andrievsky-07-NLTE
11,-2.62,-0.029,-30.0,Andrievsky-07-NLTE
11,-3.56,-0.339,-30.0,Andrievsky-07-NLTE
11,-3.04,-0.159,-30.0,Andrievsky-07-NLTE
11,-2.82,-0.209,-30.0,Andrievsky-07-NLTE
11,-3.19,-0.429,-30.0,Andrievsky-07-NLTE
11,-3.06,-0.139,-30.0,Andrievsky-07-NLTE
11,-2.69,-0.159,-30.0,Andrievsky-07-NLTE
11,-3.3,-0.109,-30.0,Andrievsky-07-NLTE
11,-2.91,-0.039,-30.0,Andrievsky-07-NLTE
11,-2.97,0.051,-30.0,Andrievsky-07-NLTE
11,-3.05,-0.399,-30.0,Andrievsky-07-NLTE
11,-2.92,-0.209,-30.0,Andrievsky-07-NLTE
11,-3.1,-0.199,-30.0,Andrievsky-07-NLTE
11,-3.28,-0.249,-30.0,Andrievsky-07-NLTE
11,-3.43,-0.509,-30.0,Andrievsky-07-NLTE
11,-2.89,-0.459,-30.0,Andrievsky-07-NLTE
11,-3.04,-0.109,-30.0,Andrievsky-07-NLTE
11,-3.07,-0.229,-30.0,Andrievsky-07-NLTE
11,-2.7,-0.319,-30.0,Andrievsky-07-NLTE
11,-2.91,-0.189,-30.0,Andrievsky-07-NLTE
11,-2.83,-0.019,-30.0,Andrievsky-07-NLTE
11,-2.77,-0.249,-30.0,Andrievsky-07-NLTE
11,-3.24,-0.299,-30.0,Andrievsky-07-NLTE
11,-3.55,-0.199,-30.0,Andrievsky-07-NLTE
11,-2.75,-0.199,-30.0,Andrievsky-07-NLTE
11,-3.08,-0.169,-30.0,Andrievsky-07-NLTE
11,-2.58,-0.169,-30.0,Andrievsky-07-NLTE
