elemZ,[Fe/H]sun by mass (Asplund09),[X/Fe]sun by mass(Neutral),[X/Fe]sun by mass(Ionized),paperName
29,-3.04,-0.958,-30.0,Bihain-04-LTE
29,-3.0,-0.938,-30.0,Bihain-04-LTE
29,-2.98,-0.868,-30.0,Bihain-04-LTE
29,-2.81,-0.958,-30.0,Bihain-04-LTE
29,-2.73,-1.058,-30.0,Bihain-04-LTE
29,-2.65,-1.108,-30.0,Bihain-04-LTE
29,-2.46,-0.958,-30.0,Bihain-04-LTE
29,-2.35,-0.658,-30.0,Bihain-04-LTE
29,-2.17,-27.828,-30.0,Bihain-04-LTE
29,-2.16,-0.708,-30.0,Bihain-04-LTE
29,-2.1,-1.008,-30.0,Bihain-04-LTE
29,-2.05,-0.908,-30.0,Bihain-04-LTE
29,-2.03,-0.658,-30.0,Bihain-04-LTE
29,-1.82,-0.458,-30.0,Bihain-04-LTE
29,-1.77,-0.458,-30.0,Bihain-04-LTE
29,-1.75,-0.758,-30.0,Bihain-04-LTE
29,-1.73,-0.458,-30.0,Bihain-04-LTE
29,-1.67,-0.208,-30.0,Bihain-04-LTE
29,-1.59,-0.508,-30.0,Bihain-04-LTE
29,-1.56,-0.318,-30.0,Bihain-04-LTE
29,-1.49,-0.408,-30.0,Bihain-04-LTE
29,-1.48,-0.308,-30.0,Bihain-04-LTE
29,-1.47,-0.628,-30.0,Bihain-04-LTE
29,-1.47,-0.158,-30.0,Bihain-04-LTE
29,-1.42,-0.408,-30.0,Bihain-04-LTE
29,-1.19,-0.258,-30.0,Bihain-04-LTE
29,-1.11,-0.308,-30.0,Bihain-04-LTE
29,-1.04,0.092,-30.0,Bihain-04-LTE
29,-0.94,-0.058,-30.0,Bihain-04-LTE
29,-0.9,-0.258,-30.0,Bihain-04-LTE
29,-0.89,-0.128,-30.0,Bihain-04-LTE
29,-0.85,-0.108,-30.0,Bihain-04-LTE
29,-0.8,0.142,-30.0,Bihain-04-LTE
29,-0.69,-0.158,-30.0,Bihain-04-LTE
29,-0.66,-0.008,-30.0,Bihain-04-LTE
29,-0.64,-0.058,-30.0,Bihain-04-LTE
29,-0.49,-0.068,-30.0,Bihain-04-LTE
29,-0.34,-0.058,-30.0,Bihain-04-LTE
30,-3.04,0.694,-30.0,Bihain-04-LTE
30,-3.0,0.194,-30.0,Bihain-04-LTE
30,-2.98,0.644,-30.0,Bihain-04-LTE
30,-2.81,0.794,-30.0,Bihain-04-LTE
30,-2.73,0.444,-30.0,Bihain-04-LTE
30,-2.65,0.444,-30.0,Bihain-04-LTE
30,-2.46,0.194,-30.0,Bihain-04-LTE
30,-2.35,0.394,-30.0,Bihain-04-LTE
30,-2.17,0.144,-30.0,Bihain-04-LTE
30,-2.16,0.344,-30.0,Bihain-04-LTE
30,-2.1,-0.206,-30.0,Bihain-04-LTE
30,-2.05,0.094,-30.0,Bihain-04-LTE
30,-2.03,0.344,-30.0,Bihain-04-LTE
30,-1.82,0.694,-30.0,Bihain-04-LTE
30,-1.77,-28.226,-30.0,Bihain-04-LTE
30,-1.75,0.144,-30.0,Bihain-04-LTE
30,-1.73,0.094,-30.0,Bihain-04-LTE
30,-1.67,0.444,-30.0,Bihain-04-LTE
30,-1.59,0.494,-30.0,Bihain-04-LTE
30,-1.56,0.044,-30.0,Bihain-04-LTE
30,-1.49,-28.506,-30.0,Bihain-04-LTE
30,-1.48,0.094,-30.0,Bihain-04-LTE
30,-1.47,0.044,-30.0,Bihain-04-LTE
30,-1.47,0.144,-30.0,Bihain-04-LTE
30,-1.42,0.044,-30.0,Bihain-04-LTE
30,-1.19,-28.806,-30.0,Bihain-04-LTE
30,-1.11,0.094,-30.0,Bihain-04-LTE
30,-1.04,0.194,-30.0,Bihain-04-LTE
30,-0.94,0.144,-30.0,Bihain-04-LTE
30,-0.9,0.144,-30.0,Bihain-04-LTE
30,-0.89,0.154,-30.0,Bihain-04-LTE
30,-0.85,-0.056,-30.0,Bihain-04-LTE
30,-0.8,-0.006,-30.0,Bihain-04-LTE
30,-0.69,-0.056,-30.0,Bihain-04-LTE
30,-0.66,-0.006,-30.0,Bihain-04-LTE
30,-0.64,0.044,-30.0,Bihain-04-LTE
30,-0.49,-0.046,-30.0,Bihain-04-LTE
30,-0.34,-0.006,-30.0,Bihain-04-LTE
