elemZ,[Fe/H]sun by mass (Asplund09),[X/Fe]sun by mass(Neutral),[X/Fe]sun by mass(Ionized),paperName
16,-1.22,0.355,-30.0,Caffau-05
16,-1.15,0.545,-30.0,Caffau-05
16,-1.25,0.645,-30.0,Caffau-05
16,-0.99,0.355,-30.0,Caffau-05
16,-2.17,0.915,-30.0,Caffau-05
16,-1.61,0.325,-30.0,Caffau-05
16,-0.95,0.345,-30.0,Caffau-05
16,-2.09,0.345,-30.0,Caffau-05
16,-0.82,0.175,-30.0,Caffau-05
16,-0.72,0.315,-30.0,Caffau-05
16,-0.63,0.605,-30.0,Caffau-05
16,-0.83,0.095,-30.0,Caffau-05
16,-0.79,0.375,-30.0,Caffau-05
16,-0.83,0.145,-30.0,Caffau-05
16,-0.63,0.215,-30.0,Caffau-05
16,-0.91,0.205,-30.0,Caffau-05
16,-1.52,0.215,-30.0,Caffau-05
16,-1.54,0.405,-30.0,Caffau-05
16,-1.08,0.265,-30.0,Caffau-05
16,-1.69,0.335,-30.0,Caffau-05
16,-1.17,0.265,-30.0,Caffau-05
16,-1.28,0.625,-30.0,Caffau-05
16,-0.84,0.055,-30.0,Caffau-05
16,-0.85,0.495,-30.0,Caffau-05
16,-0.8,0.185,-30.0,Caffau-05
16,-0.85,0.125,-30.0,Caffau-05
16,-0.75,0.215,-30.0,Caffau-05
16,-0.79,0.055,-30.0,Caffau-05
16,-0.8,0.195,-30.0,Caffau-05
16,-1.27,0.685,-30.0,Caffau-05
16,-0.72,0.335,-30.0,Caffau-05
16,-1.69,0.185,-30.0,Caffau-05
16,-0.7,0.345,-30.0,Caffau-05
16,-1.84,0.665,-30.0,Caffau-05
16,-0.94,0.365,-30.0,Caffau-05
16,-0.76,0.265,-30.0,Caffau-05
16,-1.14,0.415,-30.0,Caffau-05
16,-1.67,0.615,-30.0,Caffau-05
16,-0.84,0.285,-30.0,Caffau-05
16,-1.38,0.395,-30.0,Caffau-05
16,-1.39,0.835,-30.0,Caffau-05
16,-0.84,0.425,-30.0,Caffau-05
16,-2.37,0.345,-30.0,Caffau-05
16,-1.19,0.755,-30.0,Caffau-05
16,-1.54,0.445,-30.0,Caffau-05
16,-2.43,0.475,-30.0,Caffau-05
16,-0.88,-0.135,-30.0,Caffau-05
16,-1.81,0.845,-30.0,Caffau-05
16,-1.45,0.155,-30.0,Caffau-05
16,-1.18,0.405,-30.0,Caffau-05
16,-1.09,0.355,-30.0,Caffau-05
16,-1.17,0.365,-30.0,Caffau-05
16,-1.16,0.505,-30.0,Caffau-05
16,-1.4,0.465,-30.0,Caffau-05
16,-0.73,0.425,-30.0,Caffau-05
16,-1.16,0.395,-30.0,Caffau-05
16,-1.62,0.405,-30.0,Caffau-05
16,-1.59,0.545,-30.0,Caffau-05
16,-1.56,0.685,-30.0,Caffau-05
16,-1.33,-0.025,-30.0,Caffau-05
16,-0.63,0.575,-30.0,Caffau-05
16,-1.64,0.405,-30.0,Caffau-05
16,-0.42,0.045,-30.0,Caffau-05
16,-1.25,0.525,-30.0,Caffau-05
16,-0.43,-0.175,-30.0,Caffau-05
16,-1.04,0.455,-30.0,Caffau-05
