elemZ,[Fe/H]sun by mass (Asplund09),[X/Fe]sun by mass(Neutral),[X/Fe]sun by mass(Ionized),paperName
6,-2.47,-0.505,-30.0,Cayrel-04
6,-2.82,-0.405,-30.0,Cayrel-04
6,-2.59,-0.335,-30.0,Cayrel-04
6,-2.07,-0.435,-30.0,Cayrel-04
6,-3.06,-0.015,-30.0,Cayrel-04
6,-4.19,-0.325,-30.0,Cayrel-04
6,-3.77,0.255,-30.0,Cayrel-04
6,-3.36,0.345,-30.0,Cayrel-04
6,-2.88,-0.215,-30.0,Cayrel-04
6,-3.04,0.285,-30.0,Cayrel-04
6,-3.86,-0.025,-30.0,Cayrel-04
6,-3.0,-0.615,-30.0,Cayrel-04
6,-3.49,0.275,-30.0,Cayrel-04
6,-2.99,-0.975,-30.0,Cayrel-04
6,-2.97,-0.145,-30.0,Cayrel-04
6,-3.25,-29.995,-30.0,Cayrel-04
6,-3.78,0.245,-30.0,Cayrel-04
6,-3.29,-0.515,-30.0,Cayrel-04
6,-3.03,0.895,-30.0,Cayrel-04
6,-2.69,0.275,-30.0,Cayrel-04
6,-3.41,0.505,-30.0,Cayrel-04
6,-3.14,-0.015,-30.0,Cayrel-04
6,-3.97,1.175,-30.0,Cayrel-04
6,-3.43,-29.995,-30.0,Cayrel-04
6,-2.84,0.325,-30.0,Cayrel-04
6,-3.33,0.285,-30.0,Cayrel-04
6,-2.62,0.065,-30.0,Cayrel-04
6,-3.56,0.305,-30.0,Cayrel-04
6,-3.04,-0.275,-30.0,Cayrel-04
6,-2.82,-0.035,-30.0,Cayrel-04
6,-3.19,0.235,-30.0,Cayrel-04
6,-3.06,-0.005,-30.0,Cayrel-04
6,-2.69,-0.125,-30.0,Cayrel-04
6,-3.3,-0.015,-30.0,Cayrel-04
6,-2.91,0.215,-30.0,Cayrel-04
7,-2.47,-29.995,-30.0,Cayrel-04
7,-2.82,-29.995,-30.0,Cayrel-04
7,-2.59,0.425,-30.0,Cayrel-04
7,-2.07,0.575,-30.0,Cayrel-04
7,-3.06,-29.995,-30.0,Cayrel-04
7,-4.19,-29.995,-30.0,Cayrel-04
7,-3.77,-29.995,-30.0,Cayrel-04
7,-3.36,-29.995,-30.0,Cayrel-04
7,-2.88,0.735,-30.0,Cayrel-04
7,-3.04,-29.995,-30.0,Cayrel-04
7,-3.86,-29.995,-30.0,Cayrel-04
7,-3.0,-29.995,-30.0,Cayrel-04
7,-3.49,-29.995,-30.0,Cayrel-04
7,-2.99,-29.995,-30.0,Cayrel-04
7,-2.97,1.055,-30.0,Cayrel-04
7,-3.25,-29.995,-30.0,Cayrel-04
7,-3.78,-29.995,-30.0,Cayrel-04
7,-3.29,-29.995,-30.0,Cayrel-04
7,-3.03,0.535,-30.0,Cayrel-04
7,-2.69,-29.995,-30.0,Cayrel-04
7,-3.41,-29.995,-30.0,Cayrel-04
7,-3.14,-29.995,-30.0,Cayrel-04
7,-3.97,2.575,-30.0,Cayrel-04
7,-3.43,-29.995,-30.0,Cayrel-04
7,-2.84,-29.995,-30.0,Cayrel-04
7,-3.33,-29.995,-30.0,Cayrel-04
7,-2.62,-29.995,-30.0,Cayrel-04
7,-3.56,-29.995,-30.0,Cayrel-04
7,-3.04,-29.995,-30.0,Cayrel-04
7,-2.82,-29.995,-30.0,Cayrel-04
7,-3.19,-29.995,-30.0,Cayrel-04
7,-3.06,-29.995,-30.0,Cayrel-04
7,-2.69,-29.995,-30.0,Cayrel-04
7,-3.3,-29.995,-30.0,Cayrel-04
7,-2.91,0.215,-30.0,Cayrel-04
8,-2.47,0.504,-30.0,Cayrel-04
8,-2.82,0.624,-30.0,Cayrel-04
8,-2.59,0.754,-30.0,Cayrel-04
8,-2.07,0.694,-30.0,Cayrel-04
8,-3.06,0.424,-30.0,Cayrel-04
8,-4.19,-29.996,-30.0,Cayrel-04
8,-3.77,-29.996,-30.0,Cayrel-04
8,-3.36,-29.996,-30.0,Cayrel-04
8,-2.88,-29.996,-30.0,Cayrel-04
8,-3.04,-29.996,-30.0,Cayrel-04
8,-3.86,1.044,-30.0,Cayrel-04
8,-3.0,0.594,-30.0,Cayrel-04
8,-3.49,-29.996,-30.0,Cayrel-04
8,-2.99,0.524,-30.0,Cayrel-04
8,-2.97,-29.996,-30.0,Cayrel-04
8,-3.25,-29.996,-30.0,Cayrel-04
8,-3.78,-29.996,-30.0,Cayrel-04
8,-3.29,0.774,-30.0,Cayrel-04
8,-3.03,0.474,-30.0,Cayrel-04
8,-2.69,0.944,-30.0,Cayrel-04
8,-3.41,-29.996,-30.0,Cayrel-04
8,-3.14,0.894,-30.0,Cayrel-04
8,-3.97,1.984,-30.0,Cayrel-04
8,-3.43,-29.996,-30.0,Cayrel-04
8,-2.84,0.754,-30.0,Cayrel-04
8,-3.33,-29.996,-30.0,Cayrel-04
8,-2.62,0.994,-30.0,Cayrel-04
8,-3.56,0.904,-30.0,Cayrel-04
8,-3.04,0.764,-30.0,Cayrel-04
8,-2.82,0.684,-30.0,Cayrel-04
8,-3.19,-29.996,-30.0,Cayrel-04
8,-3.06,0.624,-30.0,Cayrel-04
8,-2.69,0.934,-30.0,Cayrel-04
8,-3.3,0.724,-30.0,Cayrel-04
8,-2.91,0.604,-30.0,Cayrel-04
11,-2.47,-0.154,-30.0,Cayrel-04
11,-2.82,-0.264,-30.0,Cayrel-04
11,-2.59,-0.294,-30.0,Cayrel-04
11,-2.07,0.196,-30.0,Cayrel-04
11,-3.06,-0.444,-30.0,Cayrel-04
11,-4.19,-0.554,-30.0,Cayrel-04
11,-3.77,-0.664,-30.0,Cayrel-04
11,-3.36,-0.424,-30.0,Cayrel-04
11,-2.88,-0.074,-30.0,Cayrel-04
11,-3.04,-29.994,-30.0,Cayrel-04
11,-3.86,-0.844,-30.0,Cayrel-04
11,-3.0,0.846,-30.0,Cayrel-04
11,-3.49,-0.794,-30.0,Cayrel-04
11,-2.99,0.216,-30.0,Cayrel-04
11,-2.97,-0.164,-30.0,Cayrel-04
11,-3.25,-0.354,-30.0,Cayrel-04
11,-3.78,-0.554,-30.0,Cayrel-04
11,-3.29,0.016,-30.0,Cayrel-04
11,-3.03,-0.444,-30.0,Cayrel-04
11,-2.69,-0.374,-30.0,Cayrel-04
11,-3.41,-0.654,-30.0,Cayrel-04
11,-3.14,-0.344,-30.0,Cayrel-04
11,-3.97,0.946,-30.0,Cayrel-04
11,-3.43,-29.994,-30.0,Cayrel-04
11,-2.84,-0.344,-30.0,Cayrel-04
11,-3.33,-29.994,-30.0,Cayrel-04
11,-2.62,-0.024,-30.0,Cayrel-04
11,-3.56,-0.864,-30.0,Cayrel-04
11,-3.04,-0.244,-30.0,Cayrel-04
11,-2.82,-0.254,-30.0,Cayrel-04
11,-3.19,-0.544,-30.0,Cayrel-04
11,-3.06,-0.134,-30.0,Cayrel-04
11,-2.69,-0.184,-30.0,Cayrel-04
11,-3.3,-0.404,-30.0,Cayrel-04
11,-2.91,-0.214,-30.0,Cayrel-04
12,-2.47,0.249,-30.0,Cayrel-04
12,-2.82,0.359,-30.0,Cayrel-04
12,-2.59,0.389,-30.0,Cayrel-04
12,-2.07,0.189,-30.0,Cayrel-04
12,-3.06,0.309,-30.0,Cayrel-04
12,-4.19,0.199,-30.0,Cayrel-04
12,-3.77,0.159,-30.0,Cayrel-04
12,-3.36,0.279,-30.0,Cayrel-04
12,-2.88,0.249,-30.0,Cayrel-04
12,-3.04,0.089,-30.0,Cayrel-04
12,-3.86,0.199,-30.0,Cayrel-04
12,-3.0,0.359,-30.0,Cayrel-04
12,-3.49,0.109,-30.0,Cayrel-04
12,-2.99,0.419,-30.0,Cayrel-04
12,-2.97,0.519,-30.0,Cayrel-04
12,-3.25,0.439,-30.0,Cayrel-04
12,-3.78,0.189,-30.0,Cayrel-04
12,-3.29,0.339,-30.0,Cayrel-04
12,-3.03,0.219,-30.0,Cayrel-04
12,-2.69,0.079,-30.0,Cayrel-04
12,-3.41,0.259,-30.0,Cayrel-04
12,-3.14,0.279,-30.0,Cayrel-04
12,-3.97,1.559,-30.0,Cayrel-04
12,-3.43,-0.001,-30.0,Cayrel-04
