elemZ,[Fe/H]sun by mass (Asplund09),[X/Fe]sun by mass(Neutral),[X/Fe]sun by mass(Ionized),paperName
6,-1.49,-0.54,-30,Cohen&Huang-09
8,-1.49,0,-30,Cohen&Huang-09
11,-1.49,-0.48,-30,Cohen&Huang-09
12,-1.49,-0.01,-30,Cohen&Huang-09
13,-1.49,-30,-30,Cohen&Huang-09
14,-1.49,-0.23,-30,Cohen&Huang-09
19,-1.49,-30,-30,Cohen&Huang-09
20,-1.49,-0.16,-30,Cohen&Huang-09
21,-1.49,-30,-0.2,Cohen&Huang-09
22,-1.49,-0.17,-30,Cohen&Huang-09
22,-1.49,-30,0,Cohen&Huang-09
23,-1.49,-0.28,-30,Cohen&Huang-09
24,-1.49,-0.11,-30,Cohen&Huang-09
25,-1.49,-0.37,-30,Cohen&Huang-09
27,-1.49,-0.15,-30,Cohen&Huang-09
28,-1.49,-0.35,-30,Cohen&Huang-09
29,-1.49,-0.85,-30,Cohen&Huang-09
30,-1.49,-0.56,-30,Cohen&Huang-09
38,-1.49,-0.67,-30,Cohen&Huang-09
38,-1.49,-30,-0.5,Cohen&Huang-09
39,-1.49,-30,-0.62,Cohen&Huang-09
40,-1.49,-30,-30,Cohen&Huang-09
56,-1.49,-30,0.02,Cohen&Huang-09
58,-1.49,-30,-0.38,Cohen&Huang-09
60,-1.49,-30,-0.17,Cohen&Huang-09
63,-1.49,-30,0.19,Cohen&Huang-09
66,-1.49,-30,-0.18,Cohen&Huang-09
6,-1.73,-0.8,-30,Cohen&Huang-09
8,-1.73,0.32,-30,Cohen&Huang-09
11,-1.73,-0.62,-30,Cohen&Huang-09
12,-1.73,0,-30,Cohen&Huang-09
13,-1.73,-30,-30,Cohen&Huang-09
14,-1.73,-0.01,-30,Cohen&Huang-09
19,-1.73,0.25,-30,Cohen&Huang-09
20,-1.73,-0.08,-30,Cohen&Huang-09
21,-1.73,-30,-0.25,Cohen&Huang-09
22,-1.73,-0.08,-30,Cohen&Huang-09
22,-1.73,-30,0.03,Cohen&Huang-09
23,-1.73,-0.31,-30,Cohen&Huang-09
24,-1.73,-0.28,-30,Cohen&Huang-09
