elemZ,[Fe/H]sun by mass (Asplund09),[X/Fe]sun by mass(Neutral),[X/Fe]sun by mass(Ionized),paperName
82,-1.42,1.97,-30,Frebel-14
63,-2.4,-30,0.48,Frebel-14
63,-3.6,-30,2,Frebel-14
63,-3.78,-30,2,Frebel-14
63,-3.57,-30,0.85,Frebel-14
63,-1.42,-30,0.73,Frebel-14
63,-1.67,-30,0,Frebel-14
63,-2.32,-30,0.3,Frebel-14
57,-1.42,-30,1.8,Frebel-14
56,-2.4,-30,-1.98,Frebel-14
56,-3.6,-30,-0.45,Frebel-14
56,-3.78,-30,-0.65,Frebel-14
56,-3.57,-30,-0.92,Frebel-14
56,-1.42,-30,1.85,Frebel-14
56,-1.67,-30,-2.61,Frebel-14
56,-2.32,-30,-2.12,Frebel-14
40,-1.42,-30,1.4,Frebel-14
38,-2.4,-30,-2.77,Frebel-14
38,-3.6,-30,-0.9,Frebel-14
38,-3.78,-30,-1.3,Frebel-14
38,-3.57,-30,-1.29,Frebel-14
38,-1.42,-30,0.9,Frebel-14
38,-1.67,-30,-3.2,Frebel-14
38,-2.32,-30,-2.74,Frebel-14
30,-2.4,0.31,-30,Frebel-14
30,-3.6,1.44,-30,Frebel-14
30,-3.78,1.26,-30,Frebel-14
30,-3.57,-30,-30,Frebel-14
30,-1.42,0.15,-30,Frebel-14
30,-1.67,-0.05,-30,Frebel-14
30,-2.32,0.45,-30,Frebel-14
28,-2.4,0.13,-30,Frebel-14
28,-3.6,0.13,-30,Frebel-14
28,-3.78,0.15,-30,Frebel-14
28,-3.57,-0.49,-30,Frebel-14
28,-1.42,-0.01,-30,Frebel-14
28,-1.67,0.01,-30,Frebel-14
28,-2.32,-0.11,-30,Frebel-14
27,-2.4,0.13,-30,Frebel-14
27,-3.6,0.52,-30,Frebel-14
27,-3.78,0.4,-30,Frebel-14
27,-3.57,0.35,-30,Frebel-14
27,-1.42,0.08,-30,Frebel-14
27,-1.67,0,-30,Frebel-14
27,-2.32,-0.1,-30,Frebel-14
25,-2.4,-0.42,-30,Frebel-14
25,-3.6,-0.33,-30,Frebel-14
25,-3.78,-0.55,-30,Frebel-14
25,-3.57,-0.55,-30,Frebel-14
25,-1.42,-0.5,-30,Frebel-14
25,-1.67,-0.49,-30,Frebel-14
25,-2.32,-0.57,-30,Frebel-14
24,-2.4,-0.28,-30,Frebel-14
24,-3.6,-0.32,-30,Frebel-14
24,-3.78,-0.42,-30,Frebel-14
24,-3.57,-0.21,-30,Frebel-14
24,-1.42,-0.02,-30,Frebel-14
24,-1.42,-30,0.46,Frebel-14
24,-1.67,-0.13,-30,Frebel-14
24,-1.67,30,-0.21,Frebel-14
24,-2.32,-0.15,-30,Frebel-14
22,-2.4,0.4,-30,Frebel-14
22,-2.4,-30,0.45,Frebel-14
22,-3.6,-30,0.6,Frebel-14
22,-3.78,-30,0.37,Frebel-14
22,-3.57,-30,0.65,Frebel-14
22,-1.42,0.31,-30,Frebel-14
22,-1.42,-30,0.48,Frebel-14
22,-1.67,0.38,-30,Frebel-14
22,-1.67,-30,0.38,Frebel-14
22,-2.32,0.38,-30,Frebel-14
22,-2.32,-30,0.43,Frebel-14
21,-2.4,-30,0.31,Frebel-14
21,-3.6,-30,0.35,Frebel-14
21,-3.78,-30,-0.02,Frebel-14
21,-3.57,-30,-30,Frebel-14
21,-1.42,-30,-0.05,Frebel-14
21,-1.67,-30,0.13,Frebel-14
21,-2.32,-30,0.1,Frebel-14
20,-2.4,0.52,-30,Frebel-14
20,-3.6,0.56,-30,Frebel-14
20,-3.78,0.59,-30,Frebel-14
20,-3.57,0.86,-30,Frebel-14
20,-1.42,0.44,-30,Frebel-14
20,-1.67,0.58,-30,Frebel-14
20,-2.32,0.51,-30,Frebel-14
14,-2.4,0.63,-30,Frebel-14
14,-3.6,0.41,-30,Frebel-14
14,-3.78,1.27,-30,Frebel-14
14,-3.57,0.85,-30,Frebel-14
14,-1.42,0.39,-30,Frebel-14
14,-1.67,0.53,-30,Frebel-14
14,-2.32,0.42,-30,Frebel-14
13,-2.4,-0.67,-30,Frebel-14
13,-3.6,-0.6,-30,Frebel-14
13,-3.78,-0.7,-30,Frebel-14
13,-3.57,0.2,-30,Frebel-14
13,-1.42,-0.66,-30,Frebel-14
13,-1.67,-0.9,-30,Frebel-14
13,-2.32,-0.84,-30,Frebel-14
12,-2.4,0.54,-30,Frebel-14
12,-3.6,0.59,-30,Frebel-14
12,-3.78,0.57,-30,Frebel-14
12,-3.57,0.92,-30,Frebel-14
12,-1.42,0.38,-30,Frebel-14
12,-1.67,0.47,-30,Frebel-14
12,-2.32,0.52,-30,Frebel-14
11,-2.4,-0.23,-30,Frebel-14
11,-3.6,0.11,-30,Frebel-14
11,-3.78,0.28,-30,Frebel-14
11,-3.57,0.51,-30,Frebel-14
11,-1.42,-0.04,-30,Frebel-14
11,-1.67,-0.26,-30,Frebel-14
11,-2.32,0.15,-30,Frebel-14
6,-2.4,-0.1,-30,Frebel-14
6,-3.6,1.2,-30,Frebel-14
6,-3.78,0.91,-30,Frebel-14
6,-3.57,2.31,-30,Frebel-14
6,-1.42,1.44,-30,Frebel-14
6,-1.67,0.15,-30,Frebel-14
6,-2.32,0.08,-30,Frebel-14
