elemZ,[Fe/H]sun by mass (Asplund09),[X/Fe]sun by mass(Neutral),[X/Fe]sun by mass(Ionized),paperName
63,-3.1,-30,0.582904991,Frebel-10
63,-3.23,-30,0.512904991,Frebel-10
63,-2.34,-30,-0.377095009,Frebel-10
63,-2.31,-30,-0.007095009,Frebel-10
63,-2.88,-30,-0.037095009,Frebel-10
63,-2.53,-30,-0.387095009,Frebel-10
63,-2.77,-30,-0.207095009,Frebel-10
62,-3.1,-30,1.294955131,Frebel-10
62,-3.23,-30,0.714955131,Frebel-10
62,-2.34,-30,-0.435044869,Frebel-10
62,-2.31,-30,0.144955131,Frebel-10
62,-2.88,-30,0.544955131,Frebel-10
62,-2.53,-30,-0.165044869,Frebel-10
62,-2.77,-30,-0.585044869,Frebel-10
60,-3.1,-30,0.711984648,Frebel-10
60,-3.23,-30,0.581984648,Frebel-10
60,-2.34,-30,-0.528015352,Frebel-10
60,-2.31,-30,-0.008015352,Frebel-10
60,-2.88,-30,0.451984648,Frebel-10
60,-2.53,-30,-0.228015352,Frebel-10
60,-2.77,-30,-0.888015352,Frebel-10
58,-3.1,-30,0.392904991,Frebel-10
58,-3.23,-30,0.162904991,Frebel-10
58,-2.34,-30,-0.517095009,Frebel-10
58,-2.31,-30,-0.437095009,Frebel-10
58,-2.88,-30,-0.037095009,Frebel-10
58,-2.53,-30,-0.737095009,Frebel-10
58,-2.77,-30,-0.807095009,Frebel-10
57,-3.1,-30,0.432904991,Frebel-10
57,-3.23,-30,0.252904991,Frebel-10
57,-2.34,-30,-0.277095009,Frebel-10
57,-2.31,-30,-0.387095009,Frebel-10
57,-2.88,-30,0.052904991,Frebel-10
57,-2.53,-30,-0.677095009,Frebel-10
56,-3.1,-30,-1.339091769,Frebel-10
56,-3.23,-30,-1.139091769,Frebel-10
56,-2.34,-30,-0.559091769,Frebel-10
56,-2.31,-30,-2.329091769,Frebel-10
56,-2.88,-30,-1.909091769,Frebel-10
56,-2.53,-30,-1.309091769,Frebel-10
56,-2.77,-30,-1.169091769,Frebel-10
40,-3.1,-30,0.324585049,Frebel-10
40,-3.23,-30,0.214585049,Frebel-10
40,-2.34,-30,-0.595414951,Frebel-10
40,-2.31,-30,-0.455414951,Frebel-10
40,-2.88,-30,0.344585049,Frebel-10
40,-2.53,-30,-0.905414951,Frebel-10
40,-2.77,-30,-0.105414951,Frebel-10
39,-3.1,-30,-0.257095009,Frebel-10
39,-3.23,-30,-0.247095009,Frebel-10
39,-2.34,-30,-1.137095009,Frebel-10
39,-2.31,-30,-1.087095009,Frebel-10
39,-2.88,-30,-0.497095009,Frebel-10
39,-2.53,-30,-1.247095009,Frebel-10
39,-2.77,-30,-0.507095009,Frebel-10
38,-3.1,30,-0.709594055,Frebel-10
38,-3.23,-30,-0.979594055,Frebel-10
38,-2.34,-30,-1.469594055,Frebel-10
38,-2.31,-30,-1.399594055,Frebel-10
38,-2.88,-30,-1.629594055,Frebel-10
38,-2.53,-30,-1.379594055,Frebel-10
38,-2.77,-30,-0.539594055,Frebel-10
30,-3.1,0.85669798,-30,Frebel-10
30,-3.23,0.05669798,-30,Frebel-10
30,-2.34,0.00669798,-30,Frebel-10
30,-2.31,-0.21330202,-30,Frebel-10
30,-2.88,0.06669798,-30,Frebel-10
30,-2.53,0.10669798,-30,Frebel-10
30,-2.77,0.13669798,-30,Frebel-10
29,-3.1,0.734973064,-30,Frebel-10
29,-3.23,0.624973064,-30,Frebel-10
29,-2.34,-0.445026936,-30,Frebel-10
29,-2.31,-0.115026936,-30,Frebel-10
29,-2.88,0.194973064,-30,Frebel-10
29,-2.53,-0.235026936,-30,Frebel-10
29,-2.77,-1.235026936,-30,Frebel-10
28,-3.1,0.313602653,-30,Frebel-10
28,-3.23,0.583602653,-30,Frebel-10
28,-2.34,-0.016397347,-30,Frebel-10
28,-2.31,-0.556397347,-30,Frebel-10
28,-2.88,0.083602653,-30,Frebel-10
28,-2.53,-0.186397347,-30,Frebel-10
28,-2.77,0.103602653,-30,Frebel-10
27,-3.1,0.946769548,-30,Frebel-10
27,-3.23,0.896769548,-30,Frebel-10
27,-2.34,-0.093230452,-30,Frebel-10
27,-2.31,0.076769548,-30,Frebel-10
27,-2.88,0.516769548,-30,Frebel-10
27,-2.53,0.136769548,-30,Frebel-10
27,-2.77,0.166769548,-30,Frebel-10
25,-3.1,-0.020306074,-30,Frebel-10
25,-3.23,0.239693926,-30,Frebel-10
25,-2.34,-0.570306074,-30,Frebel-10
25,-2.31,-0.680306074,-30,Frebel-10
25,-2.88,-0.310306074,-30,Frebel-10
25,-2.53,-0.660306074,-30,Frebel-10
25,-2.77,-0.360306074,-30,Frebel-10
24,-3.1,-0.257095009,-30,Frebel-10
24,-3.23,-0.497095009,-30,Frebel-10
24,-2.34,-0.317095009,-30,Frebel-10
24,-2.31,0.012904991,-30,Frebel-10
24,-2.88,-0.537095009,-30,Frebel-10
