elemZ,[Fe/H]sun by mass (Asplund09),[X/Fe]sun by mass(Neutral),[X/Fe]sun by mass(Ionized),paperName
49,-0.01,0.052770657,-30,Gonzalez-06
49,0.11,-0.217229343,-30,Gonzalez-06
49,-0.26,0.092770657,-30,Gonzalez-06
49,-0.18,-0.187229343,-30,Gonzalez-06
49,-0.07,0.002770657,-30,Gonzalez-06
49,0.01,0.012770657,-30,Gonzalez-06
49,-0.42,0.522770657,-30,Gonzalez-06
49,0.04,-0.137229343,-30,Gonzalez-06
49,-0.37,0.282770657,-30,Gonzalez-06
49,-0.08,0.002770657,-30,Gonzalez-06
49,-0.25,0.162770657,-30,Gonzalez-06
49,0.22,-0.787229343,-30,Gonzalez-06
49,0.01,0.252770657,-30,Gonzalez-06
49,0.12,-0.087229343,-30,Gonzalez-06
49,0.03,0.212770657,-30,Gonzalez-06
49,-0.04,-0.257229343,-30,Gonzalez-06
49,-0.03,0.122770657,-30,Gonzalez-06
49,-0.35,0.272770657,-30,Gonzalez-06
49,-0.03,-0.157229343,-30,Gonzalez-06
49,-0.05,0.352770657,-30,Gonzalez-06
49,-0.33,0.262770657,-30,Gonzalez-06
49,-0.08,0.202770657,-30,Gonzalez-06
49,-0.29,0.422770657,-30,Gonzalez-06
49,0.22,-0.027229343,-30,Gonzalez-06
49,-0.25,0.472770657,-30,Gonzalez-06
49,-0.05,0.192770657,-30,Gonzalez-06
49,-0.02,-0.017229343,-30,Gonzalez-06
49,-0.55,0.492770657,-30,Gonzalez-06
49,0.04,0.192770657,-30,Gonzalez-06
49,0.01,-0.047229343,-30,Gonzalez-06
49,-0.38,0.172770657,-30,Gonzalez-06
49,-0.37,0.292770657,-30,Gonzalez-06
49,-0.06,-0.277229343,-30,Gonzalez-06
49,0.15,-0.107229343,-30,Gonzalez-06
49,-0.03,-0.187229343,-30,Gonzalez-06
49,-0.13,0.012770657,-30,Gonzalez-06
49,-0.3,0.472770657,-30,Gonzalez-06
49,-0.24,0.282770657,-30,Gonzalez-06
49,-0.49,0.032770657,-30,Gonzalez-06
49,0.04,-0.157229343,-30,Gonzalez-06
49,0.06,-0.457229343,-30,Gonzalez-06
