elemZ,[Fe/H]sun by mass (Asplund09),[X/Fe]sun by mass(Neutral),[X/Fe]sun by mass(Ionized),paperName
38,-2.603,-29.997,-30.0,Hansen-12
38,-2.563,0.213,-30.0,Hansen-12
38,-1.923,0.153,-30.0,Hansen-12
38,-1.553,0.223,-30.0,Hansen-12
38,-0.993,-0.147,-30.0,Hansen-12
38,-1.013,0.003,-30.0,Hansen-12
38,-1.333,-0.097,-30.0,Hansen-12
38,-2.133,0.133,-30.0,Hansen-12
38,-0.953,0.333,-30.0,Hansen-12
38,-1.123,0.303,-30.0,Hansen-12
38,-1.053,0.363,-30.0,Hansen-12
38,-0.993,0.413,-30.0,Hansen-12
38,-0.973,-29.997,-30.0,Hansen-12
38,-0.853,0.043,-30.0,Hansen-12
38,-0.843,0.103,-30.0,Hansen-12
38,-0.633,-29.997,-30.0,Hansen-12
38,-1.323,0.453,-30.0,Hansen-12
38,-2.173,-29.997,-30.0,Hansen-12
38,-1.313,0.223,-30.0,Hansen-12
38,-0.733,0.403,-30.0,Hansen-12
38,-1.813,0.033,-30.0,Hansen-12
38,-1.283,0.203,-30.0,Hansen-12
38,-1.523,0.343,-30.0,Hansen-12
38,-2.583,-0.267,-30.0,Hansen-12
38,-1.833,0.043,-30.0,Hansen-12
38,-0.723,-29.997,-30.0,Hansen-12
38,-1.583,-0.037,-30.0,Hansen-12
38,-1.183,-0.697,-30.0,Hansen-12
38,-0.713,-29.997,-30.0,Hansen-12
38,-1.193,-0.017,-30.0,Hansen-12
38,-2.013,0.043,-30.0,Hansen-12
38,-1.483,-0.027,-30.0,Hansen-12
38,-2.273,0.163,-30.0,Hansen-12
38,-0.933,-29.997,-30.0,Hansen-12
38,-1.903,0.223,-30.0,Hansen-12
38,-3.103,-0.047,-30.0,Hansen-12
38,-3.163,-0.057,-30.0,Hansen-12
38,-2.533,-29.997,-30.0,Hansen-12
38,-0.893,0.043,-30.0,Hansen-12
38,-2.123,-29.997,-30.0,Hansen-12
38,-1.993,0.113,-30.0,Hansen-12
38,-2.483,-0.177,-30.0,Hansen-12
