elemZ,[Fe/H]sun by mass (Asplund09),[X/Fe]sun by mass(Neutral),[X/Fe]sun by mass(Ionized),paperName
8,-1.68,-30,-30,Hill-19
8,-1.68,-30,-30,Hill-19
8,-1.24,-0.10,-30,Hill-19
8,-1.80,-30,-30,Hill-19
8,-1.50,-30,-30,Hill-19
8,-1.22,-30,-30,Hill-19
8,-1.68, 0.26,-30,Hill-19
8,-1.77, 0.30,-30,Hill-19
8,-1.95,-30,-30,Hill-19
8,-2.10,-30,-30,Hill-19
8,-1.24,-0.08,-30,Hill-19
8,-1.90,-30,-30,Hill-19
8,-0.92,-0.27,-30,Hill-19
8,-1.81,-30,-30,Hill-19
8,-1.33,-30,-30,Hill-19
8,-1.53,-30,-30,Hill-19
8,-1.56,-30,-30,Hill-19
8,-2.27,-30,-30,Hill-19
8,-1.18,-30,-30,Hill-19
8,-1.38,-30,-30,Hill-19
8,-1.30,-30,-30,Hill-19
8,-1.65,-30,-30,Hill-19
8,-2.11,-30,-30,Hill-19
8,-1.35,-30,-30,Hill-19
8,-1.53,-30,-30,Hill-19
8,-1.97,-30,-30,Hill-19
8,-1.86,-30,-30,Hill-19
8,-2.16, 0.35,-30,Hill-19
8,-1.91,-30,-30,Hill-19
8,-1.21,-30,-30,Hill-19
8,-1.62, 0.33,-30,Hill-19
8,-1.85,-30,-30,Hill-19
8,-2.18,-30,-30,Hill-19
8,-2.35,-30,-30,Hill-19
8,-1.11,-30,-30,Hill-19
8,-1.50,-30,-30,Hill-19
8,-1.07,-0.19,-30,Hill-19
8,-0.89,-0.27,-30,Hill-19
8,-1.70, 0.14,-30,Hill-19
8,-1.41,-30,-30,Hill-19
8,-1.68,-30,-30,Hill-19
8,-1.15,-0.19,-30,Hill-19
8,-0.93,-30,-30,Hill-19
8,-1.77,-30,-30,Hill-19
8,-1.80,-30,-30,Hill-19
8,-1.16,-0.18,-30,Hill-19
8,-1.86,-30,-30,Hill-19
8,-1.89,-30,-30,Hill-19
8,-1.10,-30,-30,Hill-19
8,-1.49,-30,-30,Hill-19
8,-1.10,-0.17,-30,Hill-19
8,-1.47,-30,-30,Hill-19
8,-1.16,-30,-30,Hill-19
8,-1.49,-30,-30,Hill-19
8,-1.32,-30,-30,Hill-19
8,-1.33,-30,-30,Hill-19
8,-1.00,-30,-30,Hill-19
8,-2.41,-30,-30,Hill-19
8,-1.61, 0.26,-30,Hill-19
8,-1.57,-30,-30,Hill-19
8,-2.26,-30,-30,Hill-19
8,-1.15,-30,-30,Hill-19
8,-1.41,-30,-30,Hill-19
8,-1.32,-30,-30,Hill-19
8,-1.24, 0.00,-30,Hill-19
8,-1.56,-30,-30,Hill-19
8,-1.21,-30,-30,Hill-19
8,-1.83,-30,-30,Hill-19
8,-1.39,-30,-30,Hill-19
8,-1.69,-30,-30,Hill-19
8,-1.71,-30,-30,Hill-19
8,-1.93, 0.25,-30,Hill-19
8,-2.04,-30,-30,Hill-19
8,-1.32,-30,-30,Hill-19
8,-2.00,-30,-30,Hill-19
