elemZ,[Fe/H]sun by mass (Asplund09),[X/Fe]sun by mass(Neutral),[X/Fe]sun by mass(Ionized),paperName
6,-2.32,-0.33,-30.0,Jacobson-15-LTE
6,-2.32,-0.23,-30.0,Jacobson-15-LTE
6,-2.56,-0.25,-30.0,Jacobson-15-LTE
6,-3.17,0.29,-30.0,Jacobson-15-LTE
6,-2.53,0.05,-30.0,Jacobson-15-LTE
6,-3.36,-0.39,-30.0,Jacobson-15-LTE
6,-3.83,-0.09,-30.0,Jacobson-15-LTE
6,-3.93,1.2,-30.0,Jacobson-15-LTE
6,-3.03,0.19,-30.0,Jacobson-15-LTE
6,-3.79,0.13,-30.0,Jacobson-15-LTE
6,-3.02,0.22,-30.0,Jacobson-15-LTE
6,-1.59,-0.53,-30.0,Jacobson-15-LTE
6,-2.81,-0.27,-30.0,Jacobson-15-LTE
6,-2.62,-0.52,-30.0,Jacobson-15-LTE
6,-3.11,0.19,-30.0,Jacobson-15-LTE
6,-3.03,-0.52,-30.0,Jacobson-15-LTE
6,-2.71,-0.54,-30.0,Jacobson-15-LTE
6,-2.87,-0.53,-30.0,Jacobson-15-LTE
6,-3.4,0.03,-30.0,Jacobson-15-LTE
6,-3.97,0.07,-30.0,Jacobson-15-LTE
6,-2.55,0.12,-30.0,Jacobson-15-LTE
6,-2.63,0.38,-30.0,Jacobson-15-LTE
6,-2.22,0.24,-30.0,Jacobson-15-LTE
6,-2.94,0.4,-30.0,Jacobson-15-LTE
6,-3.42,0.35,-30.0,Jacobson-15-LTE
6,-3.37,0.02,-30.0,Jacobson-15-LTE
6,-3.71,0.66,-30.0,Jacobson-15-LTE
6,-1.56,0.2,-30.0,Jacobson-15-LTE
6,-3.26,0.19,-30.0,Jacobson-15-LTE
6,-3.4,-0.13,-30.0,Jacobson-15-LTE
6,-3.44,0.65,-30.0,Jacobson-15-LTE
6,-2.33,-0.5,-30.0,Jacobson-15-LTE
6,-3.09,0.35,-30.0,Jacobson-15-LTE
6,-2.97,-0.26,-30.0,Jacobson-15-LTE
6,-3.2,0.56,-30.0,Jacobson-15-LTE
6,-2.5,0.51,-30.0,Jacobson-15-LTE
6,-2.72,0.22,-30.0,Jacobson-15-LTE
6,-2.77,0.27,-30.0,Jacobson-15-LTE
6,-3.41,0.08,-30.0,Jacobson-15-LTE
6,-2.48,-0.07,-30.0,Jacobson-15-LTE
6,-3.18,-0.18,-30.0,Jacobson-15-LTE
6,-2.62,0.42,-30.0,Jacobson-15-LTE
6,-2.08,-0.37,-30.0,Jacobson-15-LTE
6,-3.63,-0.2,-30.0,Jacobson-15-LTE
6,-2.4,0.2,-30.0,Jacobson-15-LTE
6,-2.64,0.26,-30.0,Jacobson-15-LTE
6,-3.11,0.21,-30.0,Jacobson-15-LTE
6,-2.68,1.0,-30.0,Jacobson-15-LTE
6,-2.34,0.36,-30.0,Jacobson-15-LTE
6,-3.18,-0.12,-30.0,Jacobson-15-LTE
6,-2.99,0.19,-30.0,Jacobson-15-LTE
6,-1.48,-0.15,-30.0,Jacobson-15-LTE
6,-2.62,0.34,-30.0,Jacobson-15-LTE
6,-3.13,-0.05,-30.0,Jacobson-15-LTE
6,-2.96,-27.04,-30.0,Jacobson-15-LTE
6,-2.39,-27.61,-30.0,Jacobson-15-LTE
6,-2.39,-0.34,-30.0,Jacobson-15-LTE
6,-1.86,0.09,-30.0,Jacobson-15-LTE
6,-1.98,0.1,-30.0,Jacobson-15-LTE
