elemZ,[Fe/H]sun by mass (Asplund09),[X/Fe]sun by mass(Neutral),[X/Fe]sun by mass(Ionized),paperName
6,-2.709,0.594,-30.0,Lai-08
6,-2.579,0.114,-30.0,Lai-08
6,-2.629,0.414,-30.0,Lai-08
6,-2.719,0.604,-30.0,Lai-08
6,-3.069,-0.446,-30.0,Lai-08
6,-3.189,-0.626,-30.0,Lai-08
6,-3.199,-0.116,-30.0,Lai-08
6,-3.749,0.484,-30.0,Lai-08
6,-3.439,1.624,-30.0,Lai-08
6,-3.529,-0.486,-30.0,Lai-08
6,-3.069,-0.246,-30.0,Lai-08
6,-3.339,0.974,-30.0,Lai-08
6,-2.869,0.604,-30.0,Lai-08
6,-2.479,0.864,-30.0,Lai-08
6,-3.009,0.244,-30.0,Lai-08
6,-3.139,0.924,-30.0,Lai-08
6,-2.979,0.314,-30.0,Lai-08
6,-2.929,0.164,-30.0,Lai-08
6,-3.419,0.404,-30.0,Lai-08
6,-3.089,1.074,-30.0,Lai-08
6,-3.179,0.964,-30.0,Lai-08
6,-2.849,0.834,-30.0,Lai-08
6,-2.089,0.424,-30.0,Lai-08
6,-3.139,0.274,-30.0,Lai-08
6,-2.899,0.384,-30.0,Lai-08
6,-4.039,-0.276,-30.0,Lai-08
6,-2.839,0.374,-30.0,Lai-08
6,-2.679,0.364,-30.0,Lai-08
7,-2.709,0.294,-30.0,Lai-08
7,-2.579,-0.536,-30.0,Lai-08
7,-2.629,0.214,-30.0,Lai-08
7,-2.719,0.804,-30.0,Lai-08
7,-3.069,0.754,-30.0,Lai-08
7,-3.189,-29.996,-30.0,Lai-08
7,-3.199,0.784,-30.0,Lai-08
7,-3.749,-29.996,-30.0,Lai-08
7,-3.439,1.824,-30.0,Lai-08
7,-3.529,1.114,-30.0,Lai-08
7,-3.069,1.054,-30.0,Lai-08
7,-3.339,0.324,-30.0,Lai-08
7,-2.869,0.554,-30.0,Lai-08
7,-2.479,1.064,-30.0,Lai-08
7,-3.009,-29.996,-30.0,Lai-08
7,-3.139,1.224,-30.0,Lai-08
7,-2.979,-0.436,-30.0,Lai-08
7,-2.929,0.214,-30.0,Lai-08
7,-3.419,0.804,-30.0,Lai-08
7,-3.089,-29.996,-30.0,Lai-08
7,-3.179,0.814,-30.0,Lai-08
7,-2.849,0.934,-30.0,Lai-08
7,-2.089,-0.326,-30.0,Lai-08
7,-3.139,-0.476,-30.0,Lai-08
7,-2.899,-0.216,-30.0,Lai-08
7,-4.039,0.924,-30.0,Lai-08
7,-2.839,-0.376,-30.0,Lai-08
