elemZ,[Fe/H]sun by mass (Asplund09),[X/Fe]sun by mass(Neutral),[X/Fe]sun by mass(Ionized),paperName
15,-0.50,0.293995378,-30,Maas-19
15,-0.62,0.423995378,-30,Maas-19
15,-0.27,-0.006004622,-30,Maas-19
15, 0.10,0.093995378,-30,Maas-19
15, 0.09,0.053995378,-30,Maas-19
15,-0.91,0.363995378,-30,Maas-19
15, 0.07,-0.036004622,-30,Maas-19
15,-0.37,0.173995378,-30,Maas-19
15,-0.03,0.093995378,-30,Maas-19
15,-0.57,0.313995378,-30,Maas-19
15,-0.46,0.023995378,-30,Maas-19
15,-0.68,0.283995378,-30,Maas-19
15, 0.14,0.123995378,-30,Maas-19
15,-0.50,0.333995378,-30,Maas-19
15, 0.22,0.053995378,-30,Maas-19
15, 0.16,-0.106004622,-30,Maas-19
15, 0.28,-0.116004622,-30,Maas-19
15,-0.90,0.503995378,-30,Maas-19
15, 0.14,0.153995378,-30,Maas-19
15,-0.03,0.123995378,-30,Maas-19
15,-0.60,0.303995378,-30,Maas-19
15, 0.07,-0.036004622,-30,Maas-19
15, 0.14,0.013995378,-30,Maas-19
15,-0.03,0.103995378,-30,Maas-19
15, 0.10,0.153995378,-30,Maas-19
15, 0.23,0.033995378,-30,Maas-19
15, 0.23,-0.006004622,-30,Maas-19
15,-0.39,0.073995378,-30,Maas-19
15,-0.27,0.103995378,-30,Maas-19
15,-0.36,0.063995378,-30,Maas-19
15, 0.14,0.093995378,-30,Maas-19
15,-0.29,0.113995378,-30,Maas-19
15,-0.26,0.293995378,-30,Maas-19
15,-0.30,0.033995378,-30,Maas-19
15,-0.33,0.133995378,-30,Maas-19
15,-0.03,0.033995378,-30,Maas-19
15,-0.23,0.263995378,-30,Maas-19
15,-0.04,0.133995378,-30,Maas-19
15,-0.39,0.153995378,-30,Maas-19
15,-0.01,-0.056004622,-30,Maas-19
15, 0.05,0.033995378,-30,Maas-19
15,-0.37,0.103995378,-30,Maas-19
15,-0.13,-0.086004622,-30,Maas-19
15,-0.43,0.113995378,-30,Maas-19
15,-0.63,0.163995378,-30,Maas-19
15, 0.02,0.023995378,-30,Maas-19
15, 0.17,-0.016004622,-30,Maas-19
15,-0.24,0.053995378,-30,Maas-19
15,-0.28,0.093995378,-30,Maas-19
15, 0.24,0.023995378,-30,Maas-19
