elemZ,[Fe/H]sun by mass (Asplund09),[X/Fe]sun by mass(Neutral),[X/Fe]sun by mass(Ionized),paperName
6,-1.143,0.233,-30.0,Nissen-14-NLTE
6,-1.373,0.163,-30.0,Nissen-14-NLTE
6,-0.443,0.203,-30.0,Nissen-14-NLTE
6,-0.933,-0.087,-30.0,Nissen-14-NLTE
6,-1.323,-0.087,-30.0,Nissen-14-NLTE
6,-0.913,-0.057,-30.0,Nissen-14-NLTE
6,-1.253,-0.037,-30.0,Nissen-14-NLTE
6,-1.193,-0.057,-30.0,Nissen-14-NLTE
6,-1.253,0.133,-30.0,Nissen-14-NLTE
6,-0.833,0.203,-30.0,Nissen-14-NLTE
6,-1.123,0.253,-30.0,Nissen-14-NLTE
6,-0.853,0.263,-30.0,Nissen-14-NLTE
6,-1.413,0.083,-30.0,Nissen-14-NLTE
6,-1.503,0.053,-30.0,Nissen-14-NLTE
6,-1.103,-0.087,-30.0,Nissen-14-NLTE
6,-0.733,0.143,-30.0,Nissen-14-NLTE
6,-1.123,0.203,-30.0,Nissen-14-NLTE
6,-0.833,0.063,-30.0,Nissen-14-NLTE
6,-0.553,0.183,-30.0,Nissen-14-NLTE
6,-1.213,-0.177,-30.0,Nissen-14-NLTE
6,-0.903,-0.117,-30.0,Nissen-14-NLTE
6,-0.943,0.063,-30.0,Nissen-14-NLTE
6,-0.483,0.153,-30.0,Nissen-14-NLTE
6,-1.583,0.213,-30.0,Nissen-14-NLTE
6,-0.883,-0.097,-30.0,Nissen-14-NLTE
6,-0.743,0.203,-30.0,Nissen-14-NLTE
6,-1.043,-0.137,-30.0,Nissen-14-NLTE
6,-0.693,0.123,-30.0,Nissen-14-NLTE
6,-0.783,0.093,-30.0,Nissen-14-NLTE
6,-0.603,0.143,-30.0,Nissen-14-NLTE
6,-1.103,-0.247,-30.0,Nissen-14-NLTE
6,-0.903,0.273,-30.0,Nissen-14-NLTE
6,-0.893,0.053,-30.0,Nissen-14-NLTE
6,-0.683,0.273,-30.0,Nissen-14-NLTE
6,-1.273,0.033,-30.0,Nissen-14-NLTE
6,-1.313,0.103,-30.0,Nissen-14-NLTE
6,-1.123,0.013,-30.0,Nissen-14-NLTE
6,-1.503,-0.037,-30.0,Nissen-14-NLTE
6,-0.943,-0.157,-30.0,Nissen-14-NLTE
6,-0.533,0.153,-30.0,Nissen-14-NLTE
6,-0.823,-0.257,-30.0,Nissen-14-NLTE
6,-0.943,0.243,-30.0,Nissen-14-NLTE
6,-1.013,-0.177,-30.0,Nissen-14-NLTE
6,-0.943,-0.027,-30.0,Nissen-14-NLTE
6,-1.363,-28.637,-30.0,Nissen-14-NLTE
6,-1.413,0.233,-30.0,Nissen-14-NLTE
6,-0.683,0.243,-30.0,Nissen-14-NLTE
6,-1.333,0.143,-30.0,Nissen-14-NLTE
6,-1.173,-0.107,-30.0,Nissen-14-NLTE
6,-0.683,0.213,-30.0,Nissen-14-NLTE
6,-0.863,0.223,-30.0,Nissen-14-NLTE
6,-0.863,0.183,-30.0,Nissen-14-NLTE
6,-0.583,0.193,-30.0,Nissen-14-NLTE
6,-1.623,0.003,-30.0,Nissen-14-NLTE
6,-0.873,0.143,-30.0,Nissen-14-NLTE
6,-1.183,0.213,-30.0,Nissen-14-NLTE
6,-0.813,-0.047,-30.0,Nissen-14-NLTE
6,-0.833,0.103,-30.0,Nissen-14-NLTE
6,-0.693,0.183,-30.0,Nissen-14-NLTE
6,-1.093,0.163,-30.0,Nissen-14-NLTE
6,-0.663,0.133,-30.0,Nissen-14-NLTE
6,-0.723,0.183,-30.0,Nissen-14-NLTE
6,-0.913,0.313,-30.0,Nissen-14-NLTE
6,-0.713,0.193,-30.0,Nissen-14-NLTE
6,-1.203,0.223,-30.0,Nissen-14-NLTE
6,-1.513,0.153,-30.0,Nissen-14-NLTE
6,-0.743,0.213,-30.0,Nissen-14-NLTE
6,-0.743,0.193,-30.0,Nissen-14-NLTE
6,-0.483,0.113,-30.0,Nissen-14-NLTE
6,-1.223,0.053,-30.0,Nissen-14-NLTE
6,-0.663,0.243,-30.0,Nissen-14-NLTE
6,-1.063,0.193,-30.0,Nissen-14-NLTE
6,-1.143,0.083,-30.0,Nissen-14-NLTE
6,-1.113,0.063,-30.0,Nissen-14-NLTE
6,-1.113,-0.027,-30.0,Nissen-14-NLTE
6,-1.053,0.173,-30.0,Nissen-14-NLTE
6,-1.193,0.253,-30.0,Nissen-14-NLTE
6,-1.463,-0.067,-30.0,Nissen-14-NLTE
6,-0.703,0.293,-30.0,Nissen-14-NLTE
6,-0.873,0.173,-30.0,Nissen-14-NLTE
6,-1.583,-28.417,-30.0,Nissen-14-NLTE
6,-0.473,0.243,-30.0,Nissen-14-NLTE
6,-1.113,0.183,-30.0,Nissen-14-NLTE
6,-1.033,-28.967,-30.0,Nissen-14-NLTE
6,-1.593,0.063,-30.0,Nissen-14-NLTE
6,0.137,-0.047,-30.0,Nissen-14-NLTE
6,-0.283,0.063,-30.0,Nissen-14-NLTE
6,-0.223,-0.027,-30.0,Nissen-14-NLTE
6,-0.353,0.163,-30.0,Nissen-14-NLTE
6,-0.033,-0.037,-30.0,Nissen-14-NLTE
6,0.157,-0.067,-30.0,Nissen-14-NLTE
6,-0.063,-0.017,-30.0,Nissen-14-NLTE
6,-0.143,-0.037,-30.0,Nissen-14-NLTE
6,0.207,0.013,-30.0,Nissen-14-NLTE
6,0.497,-0.107,-30.0,Nissen-14-NLTE
6,0.217,-0.057,-30.0,Nissen-14-NLTE
6,-0.123,0.173,-30.0,Nissen-14-NLTE
6,0.257,-0.117,-30.0,Nissen-14-NLTE
6,-0.163,-0.027,-30.0,Nissen-14-NLTE
6,-0.333,0.173,-30.0,Nissen-14-NLTE
6,-0.033,-0.007,-30.0,Nissen-14-NLTE
6,0.307,-0.017,-30.0,Nissen-14-NLTE
6,0.277,-0.167,-30.0,Nissen-14-NLTE
6,-0.513,0.113,-30.0,Nissen-14-NLTE
6,-0.043,-0.127,-30.0,Nissen-14-NLTE
6,0.257,-0.067,-30.0,Nissen-14-NLTE
6,0.187,-0.127,-30.0,Nissen-14-NLTE
6,0.297,-0.037,-30.0,Nissen-14-NLTE
6,0.087,-0.027,-30.0,Nissen-14-NLTE
6,0.137,-0.057,-30.0,Nissen-14-NLTE
6,-0.313,0.123,-30.0,Nissen-14-NLTE
6,0.167,-0.117,-30.0,Nissen-14-NLTE
6,0.167,0.013,-30.0,Nissen-14-NLTE
6,-0.483,0.283,-30.0,Nissen-14-NLTE
6,0.137,-0.037,-30.0,Nissen-14-NLTE
6,-0.283,0.063,-30.0,Nissen-14-NLTE
6,-0.233,-0.017,-30.0,Nissen-14-NLTE
6,-0.013,-0.017,-30.0,Nissen-14-NLTE
6,0.257,-0.057,-30.0,Nissen-14-NLTE
6,0.007,0.003,-30.0,Nissen-14-NLTE
6,0.327,-0.067,-30.0,Nissen-14-NLTE
6,0.277,-0.177,-30.0,Nissen-14-NLTE
6,-0.103,0.043,-30.0,Nissen-14-NLTE
6,-0.363,0.043,-30.0,Nissen-14-NLTE
6,0.047,-0.057,-30.0,Nissen-14-NLTE
6,0.307,-0.007,-30.0,Nissen-14-NLTE
6,-0.393,0.213,-30.0,Nissen-14-NLTE
6,0.117,-0.037,-30.0,Nissen-14-NLTE
6,-0.043,-0.057,-30.0,Nissen-14-NLTE
6,0.047,-0.067,-30.0,Nissen-14-NLTE
6,0.027,-0.057,-30.0,Nissen-14-NLTE
6,0.317,-0.037,-30.0,Nissen-14-NLTE
6,0.067,0.093,-30.0,Nissen-14-NLTE
6,0.147,-0.047,-30.0,Nissen-14-NLTE
6,0.197,-0.077,-30.0,Nissen-14-NLTE
6,0.287,-0.037,-30.0,Nissen-14-NLTE
6,0.437,-0.057,-30.0,Nissen-14-NLTE
6,0.257,-0.027,-30.0,Nissen-14-NLTE
6,-0.263,0.053,-30.0,Nissen-14-NLTE
6,0.287,-0.137,-30.0,Nissen-14-NLTE
6,-0.663,0.083,-30.0,Nissen-14-NLTE
6,-0.193,-0.017,-30.0,Nissen-14-NLTE
6,-0.023,-0.097,-30.0,Nissen-14-NLTE
6,0.237,0.043,-30.0,Nissen-14-NLTE
6,0.157,-0.057,-30.0,Nissen-14-NLTE
6,0.127,-0.037,-30.0,Nissen-14-NLTE
6,0.247,-0.057,-30.0,Nissen-14-NLTE
6,-0.383,0.033,-30.0,Nissen-14-NLTE
6,0.277,-0.037,-30.0,Nissen-14-NLTE
6,0.367,-0.067,-30.0,Nissen-14-NLTE
6,0.077,-0.077,-30.0,Nissen-14-NLTE
8,-1.143,0.652,-30.0,Nissen-14-NLTE
8,-1.373,0.512,-30.0,Nissen-14-NLTE
8,-0.443,0.362,-30.0,Nissen-14-NLTE
8,-0.933,0.432,-30.0,Nissen-14-NLTE
8,-1.323,0.342,-30.0,Nissen-14-NLTE
8,-0.913,0.292,-30.0,Nissen-14-NLTE
8,-1.253,0.552,-30.0,Nissen-14-NLTE
8,-1.193,0.482,-30.0,Nissen-14-NLTE
8,-1.253,0.562,-30.0,Nissen-14-NLTE
8,-0.833,0.542,-30.0,Nissen-14-NLTE
8,-1.123,0.742,-30.0,Nissen-14-NLTE
8,-0.853,0.652,-30.0,Nissen-14-NLTE
8,-1.413,0.532,-30.0,Nissen-14-NLTE
8,-1.503,0.462,-30.0,Nissen-14-NLTE
8,-1.103,-28.898,-30.0,Nissen-14-NLTE
8,-0.733,0.612,-30.0,Nissen-14-NLTE
8,-1.123,0.612,-30.0,Nissen-14-NLTE
8,-0.833,0.322,-30.0,Nissen-14-NLTE
8,-0.553,-29.448,-30.0,Nissen-14-NLTE
8,-1.213,0.212,-30.0,Nissen-14-NLTE
8,-0.903,-29.098,-30.0,Nissen-14-NLTE
8,-0.943,0.422,-30.0,Nissen-14-NLTE
8,-0.483,-29.518,-30.0,Nissen-14-NLTE
8,-1.583,-28.418,-30.0,Nissen-14-NLTE
8,-0.883,0.422,-30.0,Nissen-14-NLTE
8,-0.743,-29.258,-30.0,Nissen-14-NLTE
8,-1.043,0.292,-30.0,Nissen-14-NLTE
8,-0.693,-29.308,-30.0,Nissen-14-NLTE
8,-0.783,0.402,-30.0,Nissen-14-NLTE
8,-0.603,0.492,-30.0,Nissen-14-NLTE
8,-1.103,-28.898,-30.0,Nissen-14-NLTE
8,-0.903,-29.098,-30.0,Nissen-14-NLTE
8,-0.893,-29.108,-30.0,Nissen-14-NLTE
8,-0.683,0.592,-30.0,Nissen-14-NLTE
8,-1.273,0.362,-30.0,Nissen-14-NLTE
8,-1.313,-28.688,-30.0,Nissen-14-NLTE
8,-1.123,-28.878,-30.0,Nissen-14-NLTE
8,-1.503,0.412,-30.0,Nissen-14-NLTE
8,-0.943,-29.058,-30.0,Nissen-14-NLTE
8,-0.533,-29.468,-30.0,Nissen-14-NLTE
8,-0.823,0.162,-30.0,Nissen-14-NLTE
8,-0.943,0.532,-30.0,Nissen-14-NLTE
8,-1.013,-28.988,-30.0,Nissen-14-NLTE
8,-0.943,0.292,-30.0,Nissen-14-NLTE
8,-1.363,0.632,-30.0,Nissen-14-NLTE
8,-1.413,0.592,-30.0,Nissen-14-NLTE
