elemZ,[Fe/H]sun by mass (Asplund09),[X/Fe]sun by mass(Neutral),[X/Fe]sun by mass(Ionized),paperName
12,-2.179,0.343,-30.0,Reggiani-17
12,-2.426,0.343,-30.0,Reggiani-17
12,-2.608,0.319,-30.0,Reggiani-17
12,-2.333,0.361,-30.0,Reggiani-17
12,-2.638,0.401,-30.0,Reggiani-17
12,-2.424,0.272,-30.0,Reggiani-17
12,-2.299,0.397,-30.0,Reggiani-17
12,-2.269,0.25,-30.0,Reggiani-17
12,-2.29,0.386,-30.0,Reggiani-17
12,-2.561,0.202,-30.0,Reggiani-17
12,-2.178,0.253,-30.0,Reggiani-17
12,-2.366,0.314,-30.0,Reggiani-17
12,-1.937,0.3,-30.0,Reggiani-17
12,-1.808,0.33,-30.0,Reggiani-17
12,-1.96,0.249,-30.0,Reggiani-17
12,-1.473,0.212,-30.0,Reggiani-17
12,-1.611,0.26,-30.0,Reggiani-17
12,-1.688,0.315,-30.0,Reggiani-17
12,-2.02,0.34,-30.0,Reggiani-17
12,-2.129,0.288,-30.0,Reggiani-17
12,-1.768,0.38,-30.0,Reggiani-17
12,-1.653,0.392,-30.0,Reggiani-17
12,-1.855,0.24,-30.0,Reggiani-17
14,-2.179,0.203,-30.0,Reggiani-17
14,-2.426,0.125,-30.0,Reggiani-17
14,-2.608,0.116,-30.0,Reggiani-17
14,-2.333,0.153,-30.0,Reggiani-17
14,-2.638,0.049,-30.0,Reggiani-17
14,-2.424,0.165,-30.0,Reggiani-17
14,-2.299,0.23,-30.0,Reggiani-17
14,-2.269,0.09,-30.0,Reggiani-17
14,-2.29,0.232,-30.0,Reggiani-17
14,-2.561,0.022,-30.0,Reggiani-17
14,-2.178,0.135,-30.0,Reggiani-17
14,-2.366,0.226,-30.0,Reggiani-17
14,-1.937,0.164,-30.0,Reggiani-17
14,-1.808,0.184,-30.0,Reggiani-17
14,-1.96,0.142,-30.0,Reggiani-17
14,-1.473,0.114,-30.0,Reggiani-17
14,-1.611,0.08,-30.0,Reggiani-17
14,-1.688,0.16,-30.0,Reggiani-17
14,-2.02,0.228,-30.0,Reggiani-17
14,-2.129,0.165,-30.0,Reggiani-17
14,-1.768,0.204,-30.0,Reggiani-17
14,-1.653,0.249,-30.0,Reggiani-17
14,-1.855,0.128,-30.0,Reggiani-17
20,-2.179,0.369,-30.0,Reggiani-17
20,-2.426,0.414,-30.0,Reggiani-17
20,-2.608,0.382,-30.0,Reggiani-17
20,-2.333,0.455,-30.0,Reggiani-17
20,-2.638,0.439,-30.0,Reggiani-17
20,-2.424,0.354,-30.0,Reggiani-17
20,-2.299,0.429,-30.0,Reggiani-17
20,-2.269,0.358,-30.0,Reggiani-17
20,-2.29,0.442,-30.0,Reggiani-17
20,-2.561,0.289,-30.0,Reggiani-17
20,-2.178,0.337,-30.0,Reggiani-17
20,-2.366,0.28,-30.0,Reggiani-17
20,-1.937,0.403,-30.0,Reggiani-17
20,-1.808,0.395,-30.0,Reggiani-17
20,-1.96,0.346,-30.0,Reggiani-17
20,-1.473,0.278,-30.0,Reggiani-17
20,-1.611,0.379,-30.0,Reggiani-17
20,-1.688,0.365,-30.0,Reggiani-17
20,-2.02,0.347,-30.0,Reggiani-17
20,-2.129,0.375,-30.0,Reggiani-17
20,-1.768,0.361,-30.0,Reggiani-17
20,-1.653,0.395,-30.0,Reggiani-17
20,-1.855,0.286,-30.0,Reggiani-17
22,-2.179,0.358,-30.0,Reggiani-17
22,-2.426,0.482,-30.0,Reggiani-17
22,-2.608,0.426,-30.0,Reggiani-17
22,-2.333,0.507,-30.0,Reggiani-17
22,-2.638,0.574,-30.0,Reggiani-17
22,-2.424,0.388,-30.0,Reggiani-17
22,-2.299,0.491,-30.0,Reggiani-17
22,-2.269,0.443,-30.0,Reggiani-17
22,-2.29,0.465,-30.0,Reggiani-17
22,-2.561,0.358,-30.0,Reggiani-17
22,-2.178,0.389,-30.0,Reggiani-17
22,-2.366,0.326,-30.0,Reggiani-17
22,-1.937,0.467,-30.0,Reggiani-17
22,-1.808,0.391,-30.0,Reggiani-17
22,-1.96,0.434,-30.0,Reggiani-17
22,-1.473,0.319,-30.0,Reggiani-17
22,-1.611,0.344,-30.0,Reggiani-17
22,-1.688,0.362,-30.0,Reggiani-17
22,-2.02,0.376,-30.0,Reggiani-17
22,-2.129,0.475,-30.0,Reggiani-17
22,-1.768,0.353,-30.0,Reggiani-17
22,-1.653,0.389,-30.0,Reggiani-17
22,-1.855,0.275,-30.0,Reggiani-17
21,-2.179,0.252,-30.0,Reggiani-17
21,-2.426,0.36,-30.0,Reggiani-17
21,-2.608,0.238,-30.0,Reggiani-17
21,-2.333,0.354,-30.0,Reggiani-17
21,-2.638,0.493,-30.0,Reggiani-17
21,-2.424,0.256,-30.0,Reggiani-17
21,-2.299,0.339,-30.0,Reggiani-17
21,-2.269,0.316,-30.0,Reggiani-17
21,-2.29,0.345,-30.0,Reggiani-17
21,-2.561,0.04,-30.0,Reggiani-17
21,-2.178,0.245,-30.0,Reggiani-17
21,-2.366,0.207,-30.0,Reggiani-17
21,-1.937,0.369,-30.0,Reggiani-17
21,-1.808,0.332,-30.0,Reggiani-17
21,-1.96,0.319,-30.0,Reggiani-17
21,-1.473,0.264,-30.0,Reggiani-17
21,-1.611,0.351,-30.0,Reggiani-17
21,-1.688,0.331,-30.0,Reggiani-17
21,-2.02,0.242,-30.0,Reggiani-17
21,-2.129,0.332,-30.0,Reggiani-17
21,-1.768,0.264,-30.0,Reggiani-17
21,-1.653,0.374,-30.0,Reggiani-17
21,-1.855,0.205,-30.0,Reggiani-17
23,-2.179,0.125,-30.0,Reggiani-17
23,-2.426,0.227,-30.0,Reggiani-17
23,-2.608,0.355,-30.0,Reggiani-17
23,-2.333,0.218,-30.0,Reggiani-17
23,-2.638,0.56,-30.0,Reggiani-17
23,-2.424,0.22,-30.0,Reggiani-17
23,-2.299,0.209,-30.0,Reggiani-17
23,-2.269,0.366,-30.0,Reggiani-17
23,-2.29,0.228,-30.0,Reggiani-17
23,-2.561,-0.26,-30.0,Reggiani-17
23,-2.178,0.237,-30.0,Reggiani-17
23,-2.366,0.044,-30.0,Reggiani-17
23,-1.937,0.131,-30.0,Reggiani-17
23,-1.808,0.135,-30.0,Reggiani-17
23,-1.96,0.147,-30.0,Reggiani-17
23,-1.473,0.149,-30.0,Reggiani-17
23,-1.611,0.098,-30.0,Reggiani-17
23,-1.688,0.06,-30.0,Reggiani-17
23,-2.02,0.129,-30.0,Reggiani-17
23,-2.129,0.243,-30.0,Reggiani-17
23,-1.768,0.092,-30.0,Reggiani-17
23,-1.653,0.16,-30.0,Reggiani-17
23,-1.855,-0.004,-30.0,Reggiani-17
25,-2.179,-0.525,-30.0,Reggiani-17
25,-2.426,-0.561,-30.0,Reggiani-17
25,-2.608,-0.653,-30.0,Reggiani-17
25,-2.333,-0.604,-30.0,Reggiani-17
25,-2.638,-0.567,-30.0,Reggiani-17
25,-2.424,-0.597,-30.0,Reggiani-17
25,-2.299,-0.579,-30.0,Reggiani-17
25,-2.269,-0.441,-30.0,Reggiani-17
25,-2.29,-0.531,-30.0,Reggiani-17
25,-2.561,-0.707,-30.0,Reggiani-17
25,-2.178,-0.609,-30.0,Reggiani-17
25,-2.366,-0.495,-30.0,Reggiani-17
25,-1.937,-0.408,-30.0,Reggiani-17
25,-1.808,-0.418,-30.0,Reggiani-17
25,-1.96,-0.456,-30.0,Reggiani-17
25,-1.473,-0.369,-30.0,Reggiani-17
25,-1.611,-0.404,-30.0,Reggiani-17
25,-1.688,-0.402,-30.0,Reggiani-17
25,-2.02,-0.437,-30.0,Reggiani-17
25,-2.129,-0.432,-30.0,Reggiani-17
25,-1.768,-0.426,-30.0,Reggiani-17
25,-1.653,-0.357,-30.0,Reggiani-17
25,-1.855,-0.467,-30.0,Reggiani-17
27,-2.179,0.114,-30.0,Reggiani-17
27,-2.426,0.287,-30.0,Reggiani-17
27,-2.608,0.266,-30.0,Reggiani-17
27,-2.333,0.194,-30.0,Reggiani-17
27,-2.638,0.306,-30.0,Reggiani-17
27,-2.424,0.216,-30.0,Reggiani-17
27,-2.299,0.199,-30.0,Reggiani-17
27,-2.269,0.174,-30.0,Reggiani-17
27,-2.29,0.177,-30.0,Reggiani-17
27,-2.561,0.268,-30.0,Reggiani-17
27,-2.178,0.095,-30.0,Reggiani-17
27,-2.366,0.232,-30.0,Reggiani-17
27,-1.937,0.11,-30.0,Reggiani-17
27,-1.808,0.065,-30.0,Reggiani-17
27,-1.96,0.131,-30.0,Reggiani-17
27,-1.473,0.043,-30.0,Reggiani-17
27,-1.611,-0.078,-30.0,Reggiani-17
27,-1.688,0.0,-30.0,Reggiani-17
27,-2.02,0.122,-30.0,Reggiani-17
27,-2.129,0.175,-30.0,Reggiani-17
27,-1.768,0.017,-30.0,Reggiani-17
27,-1.653,0.069,-30.0,Reggiani-17
27,-1.855,-0.053,-30.0,Reggiani-17
28,-2.179,-0.021,-30.0,Reggiani-17
28,-2.426,0.005,-30.0,Reggiani-17
28,-2.608,-0.04,-30.0,Reggiani-17
28,-2.333,-0.09,-30.0,Reggiani-17
28,-2.638,-0.055,-30.0,Reggiani-17
28,-2.424,-0.059,-30.0,Reggiani-17
28,-2.299,-0.003,-30.0,Reggiani-17
28,-2.269,-0.005,-30.0,Reggiani-17
28,-2.29,-0.039,-30.0,Reggiani-17
28,-2.561,-0.12,-30.0,Reggiani-17
28,-2.178,-0.089,-30.0,Reggiani-17
28,-2.366,-0.015,-30.0,Reggiani-17
28,-1.937,-0.013,-30.0,Reggiani-17
28,-1.808,-0.053,-30.0,Reggiani-17
28,-1.96,-0.043,-30.0,Reggiani-17
28,-1.473,-0.046,-30.0,Reggiani-17
28,-1.611,-0.053,-30.0,Reggiani-17
28,-1.688,-0.047,-30.0,Reggiani-17
28,-2.02,-0.014,-30.0,Reggiani-17
28,-2.129,-0.018,-30.0,Reggiani-17
28,-1.768,-0.026,-30.0,Reggiani-17
28,-1.653,0.016,-30.0,Reggiani-17
28,-1.855,-0.103,-30.0,Reggiani-17
30,-2.179,0.259,-30.0,Reggiani-17
30,-2.426,0.386,-30.0,Reggiani-17
30,-2.608,0.454,-30.0,Reggiani-17
30,-2.333,0.437,-30.0,Reggiani-17
30,-2.638,0.224,-30.0,Reggiani-17
30,-2.424,0.367,-30.0,Reggiani-17
30,-2.299,0.381,-30.0,Reggiani-17
30,-2.269,0.195,-30.0,Reggiani-17
30,-2.29,0.433,-30.0,Reggiani-17
30,-2.561,0.551,-30.0,Reggiani-17
30,-2.178,0.364,-30.0,Reggiani-17
30,-2.366,0.228,-30.0,Reggiani-17
30,-1.937,0.328,-30.0,Reggiani-17
30,-1.808,0.245,-30.0,Reggiani-17
30,-1.96,0.251,-30.0,Reggiani-17
30,-1.473,0.243,-30.0,Reggiani-17
30,-1.611,0.096,-30.0,Reggiani-17
30,-1.688,0.248,-30.0,Reggiani-17
30,-2.02,0.328,-30.0,Reggiani-17
30,-2.129,0.294,-30.0,Reggiani-17
30,-1.768,0.267,-30.0,Reggiani-17
30,-1.653,0.23,-30.0,Reggiani-17
30,-1.855,0.177,-30.0,Reggiani-17
38,-2.179,0.026,-30.0,Reggiani-17
38,-2.426,0.094,-30.0,Reggiani-17
38,-2.608,-0.287,-30.0,Reggiani-17
38,-2.333,0.179,-30.0,Reggiani-17
38,-2.638,0.184,-30.0,Reggiani-17
38,-2.424,-0.616,-30.0,Reggiani-17
38,-2.299,0.321,-30.0,Reggiani-17
38,-2.269,-0.018,-30.0,Reggiani-17
38,-2.29,0.129,-30.0,Reggiani-17
38,-2.561,0.359,-30.0,Reggiani-17
38,-2.178,0.089,-30.0,Reggiani-17
38,-2.366,-0.006,-30.0,Reggiani-17
38,-1.937,0.162,-30.0,Reggiani-17
38,-1.808,0.139,-30.0,Reggiani-17
38,-1.96,0.207,-30.0,Reggiani-17
38,-1.473,0.109,-30.0,Reggiani-17
38,-1.611,0.134,-30.0,Reggiani-17
38,-1.688,0.242,-30.0,Reggiani-17
38,-2.02,0.283,-30.0,Reggiani-17
38,-2.129,0.075,-30.0,Reggiani-17
38,-1.768,0.171,-30.0,Reggiani-17
38,-1.653,0.281,-30.0,Reggiani-17
38,-1.855,-0.007,-30.0,Reggiani-17
39,-2.179,-0.235,-30.0,Reggiani-17
39,-2.426,-0.009,-30.0,Reggiani-17
39,-2.608,-0.181,-30.0,Reggiani-17
39,-2.333,-0.013,-30.0,Reggiani-17
39,-2.638,0.124,-30.0,Reggiani-17
39,-2.424,-0.652,-30.0,Reggiani-17
39,-2.299,0.119,-30.0,Reggiani-17
39,-2.269,-0.032,-30.0,Reggiani-17
39,-2.29,-0.04,-30.0,Reggiani-17
39,-2.561,0.321,-30.0,Reggiani-17
39,-2.178,-0.137,-30.0,Reggiani-17
39,-2.366,-0.022,-30.0,Reggiani-17
39,-1.937,0.023,-30.0,Reggiani-17
39,-1.808,-0.077,-30.0,Reggiani-17
39,-1.96,0.069,-30.0,Reggiani-17
39,-1.473,-0.153,-30.0,Reggiani-17
39,-1.611,-0.141,-30.0,Reggiani-17
39,-1.688,0.043,-30.0,Reggiani-17
39,-2.02,0.028,-30.0,Reggiani-17
39,-2.129,-0.027,-30.0,Reggiani-17
39,-1.768,-0.083,-30.0,Reggiani-17
39,-1.653,0.011,-30.0,Reggiani-17
39,-1.855,-0.298,-30.0,Reggiani-17
40,-2.179,0.376,-30.0,Reggiani-17
40,-2.426,0.648,-30.0,Reggiani-17
40,-2.608,0.41,-30.0,Reggiani-17
40,-2.333,0.532,-30.0,Reggiani-17
40,-2.638,0.636,-30.0,Reggiani-17
40,-2.424,0.617,-30.0,Reggiani-17
40,-2.299,0.711,-30.0,Reggiani-17
40,-2.269,0.84,-30.0,Reggiani-17
40,-2.29,0.559,-30.0,Reggiani-17
40,-2.561,0.623,-30.0,Reggiani-17
40,-2.178,0.567,-30.0,Reggiani-17
40,-2.366,0.473,-30.0,Reggiani-17
40,-1.937,0.527,-30.0,Reggiani-17
40,-1.808,0.459,-30.0,Reggiani-17
40,-1.96,0.673,-30.0,Reggiani-17
40,-1.473,0.496,-30.0,Reggiani-17
40,-1.611,0.444,-30.0,Reggiani-17
40,-1.688,0.576,-30.0,Reggiani-17
