elemZ,[Fe/H]sun by mass (Asplund09),[X/Fe]sun by mass(Neutral),[X/Fe]sun by mass(Ionized),paperName
57,-3.052,-0.624,-30.0,Roederer-09
57,-1.932,-0.094,-30.0,Roederer-09
57,-2.522,-0.924,-30.0,Roederer-09
57,-2.142,0.036,-30.0,Roederer-09
57,-1.982,-0.194,-30.0,Roederer-09
57,-2.422,0.216,-30.0,Roederer-09
57,-1.862,0.076,-30.0,Roederer-09
57,-1.522,0.116,-30.0,Roederer-09
57,-2.182,0.016,-30.0,Roederer-09
57,-2.722,-0.834,-30.0,Roederer-09
57,-1.952,0.156,-30.0,Roederer-09
57,-2.402,-0.264,-30.0,Roederer-09
57,-1.662,-0.044,-30.0,Roederer-09
57,-1.872,0.086,-30.0,Roederer-09
57,-1.642,0.076,-30.0,Roederer-09
57,-1.932,0.176,-30.0,Roederer-09
63,-3.052,-0.28,-30.0,Roederer-09
63,-1.932,0.19,-30.0,Roederer-09
63,-2.522,-0.63,-30.0,Roederer-09
63,-2.142,0.12,-30.0,Roederer-09
63,-1.982,0.16,-30.0,Roederer-09
63,-2.422,0.53,-30.0,Roederer-09
63,-1.862,0.44,-30.0,Roederer-09
63,-1.522,0.5,-30.0,Roederer-09
63,-2.182,0.34,-30.0,Roederer-09
63,-2.722,-0.55,-30.0,Roederer-09
63,-1.952,0.49,-30.0,Roederer-09
63,-2.402,0.08,-30.0,Roederer-09
63,-1.662,0.27,-30.0,Roederer-09
63,-1.872,0.3,-30.0,Roederer-09
63,-1.642,0.4,-30.0,Roederer-09
63,-1.932,0.55,-30.0,Roederer-09
82,-3.052,-26.877,-30.0,Roederer-09
82,-1.932,-0.257,-30.0,Roederer-09
82,-2.522,-27.407,-30.0,Roederer-09
82,-2.142,-27.787,-30.0,Roederer-09
82,-1.982,-0.357,-30.0,Roederer-09
82,-2.422,-27.507,-30.0,Roederer-09
82,-1.862,-0.277,-30.0,Roederer-09
82,-1.522,0.063,-30.0,Roederer-09
82,-2.182,0.363,-30.0,Roederer-09
82,-2.722,-27.207,-30.0,Roederer-09
82,-1.952,-0.117,-30.0,Roederer-09
82,-2.402,-27.527,-30.0,Roederer-09
82,-1.662,-0.277,-30.0,Roederer-09
82,-1.872,-0.067,-30.0,Roederer-09
82,-1.642,-0.147,-30.0,Roederer-09
82,-1.932,0.043,-30.0,Roederer-09
