elemZ,[Fe/H]sun by mass (Asplund09),[X/Fe]sun by mass(Neutral),[X/Fe]sun by mass(Ionized),paperName
9, 0.27  ,0.267438884,-30,Ryde-20
9, -0.17  ,-0.072561116,-30,Ryde-20
9, -0.17  ,-0.002561116,-30,Ryde-20
9, 0.29  ,0.267438884,-30,Ryde-20
9, -0.21  ,0.027438884,-30,Ryde-20
9, 0.37  ,0.257438884,-30,Ryde-20
9, -0.52  ,0.047438884,-30,Ryde-20
9, -0.10  ,-0.102561116,-30,Ryde-20
9, -0.13  ,-0.192561116,-30,Ryde-20
9, -0.43  ,0.027438884,-30,Ryde-20
9, -0.41  ,-0.052561116,-30,Ryde-20
9, 0.20  ,0.197438884,-30,Ryde-20
9, 0.26  ,0.147438884,-30,Ryde-20
9, 0.33  ,0.327438884,-30,Ryde-20
9, -0.05  ,-0.002561116,-30,Ryde-20
9, 0.10  ,0.147438884,-30,Ryde-20
9, -0.11  ,-0.092561116,-30,Ryde-20
9, -0.24  ,-0.072561116,-30,Ryde-20
9, 0.06  ,0.017438884,-30,Ryde-20
9, -0.25  ,-0.132561116,-30,Ryde-20
9, -0.47  ,-0.172561116,-30,Ryde-20
9, -0.15  ,0.007438884,-30,Ryde-20
9, -0.12  ,-0.232561116,-30,Ryde-20
9, -0.09  ,-0.012561116,-30,Ryde-20
9, -0.18  ,0.147438884,-30,Ryde-20
9, 0.08  ,0.177438884,-30,Ryde-20
9, -0.31  ,-0.232561116,-30,Ryde-20
9, -0.25  ,0.117438884,-30,Ryde-20
9, -0.26  ,-0.122561116,-30,Ryde-20
9, -0.09  ,0.137438884,-30,Ryde-20
9, -0.24  ,-0.082561116,-30,Ryde-20
9, -0.19  ,0.087438884,-30,Ryde-20
9, -0.29  ,0.037438884,-30,Ryde-20
9, -0.17  ,-0.032561116,-30,Ryde-20
9, -0.18  ,-0.022561116,-30,Ryde-20
9, -0.20  ,-0.032561116,-30,Ryde-20
9, -0.31  ,0.097438884,-30,Ryde-20
9, -0.22  ,-0.182561116,-30,Ryde-20
9, -0.21  ,-0.222561116,-30,Ryde-20
9, -0.02  ,0.107438884,-30,Ryde-20
9, -0.08  ,-0.142561116,-30,Ryde-20
9,-0.28,0.137438884,-30,Ryde-20
9,-0.09,-0.062561116,-30,Ryde-20
9,-0.87,0.187438884,-30,Ryde-20
9,-0.43,-0.102561116,-30,Ryde-20
9,-0.45,0.067438884,-30,Ryde-20
9,-0.37,-0.062561116,-30,Ryde-20
9,-0.48,-0.112561116,-30,Ryde-20
9,0.03,0.197438884,-30,Ryde-20
9,0.28,0.157438884,-30,Ryde-20
9,0.23,0.107438884,-30,Ryde-20
8, 0.27  , -0.08 ,-30,Ryde-20
8, -0.17  ,  0.18 ,-30,Ryde-20
8, -0.17  ,  0.2  ,-30,Ryde-20
8, 0.29  ,  0.04 ,-30,Ryde-20
8, -0.21  ,  0.24 ,-30,Ryde-20
8, 0.37  , -0.15 ,-30,Ryde-20
8, -0.52  ,  0.47 ,-30,Ryde-20
8, -0.10  ,  0.1  ,-30,Ryde-20
8, -0.13  ,  0.15 ,-30,Ryde-20
8, -0.43  ,  0.26 ,-30,Ryde-20
8, -0.41  ,  0.3  ,-30,Ryde-20
8, 0.20  ,  0.07 ,-30,Ryde-20
8, 0.26  ,  0.03 ,-30,Ryde-20
