elemZ,[Fe/H]sun by mass (Asplund09),[X/Fe]sun by mass(Neutral),[X/Fe]sun by mass(Ionized),paperName
20,-2.55,-2.43,-30,Shetrone-13
20,-2.47,-2.49,-30,Shetrone-13
20,-2.05,-2,-30,Shetrone-13
20,-2.91,-2.81,-30,Shetrone-13
20,-2.04,-1.94,-30,Shetrone-13
20,-2,-1.89,-30,Shetrone-13
20,-2.11,-1.98,-30,Shetrone-13
20,-1.9,-2.02,-30,Shetrone-13
20,-2.34,-2.16,-30,Shetrone-13
20,-1.71,-1.87,-30,Shetrone-13
20,-1.87,-1.85,-30,Shetrone-13
20,-2.63,-2.53,-30,Shetrone-13
20,-1.65,-1.77,-30,Shetrone-13
20,-2,-1.92,-30,Shetrone-13
20,-2.05,-1.9,-30,Shetrone-13
20,-1.94,-1.84,-30,Shetrone-13
20,-2,-1.97,-30,Shetrone-13
20,-1.92,-1.87,-30,Shetrone-13
20,-1.58,-1.61,-30,Shetrone-13
20,-1.92,-1.8,-30,Shetrone-13
20,-2.15,-2.1,-30,Shetrone-13
20,-2,-1.97,-30,Shetrone-13
20,-1.9,-1.83,-30,Shetrone-13
20,-1.85,-1.83,-30,Shetrone-13
20,-2.2,-2.11,-30,Shetrone-13
20,-1.95,-1.82,-30,Shetrone-13
20,-2.3,-2.27,-30,Shetrone-13
20,-2.15,-2.09,-30,Shetrone-13
20,-2.32,-2.17,-30,Shetrone-13
20,-2.2,-1.95,-30,Shetrone-13
20,-2.8,-30,-30,Shetrone-13
20,-2.5,-2.55,-30,Shetrone-13
20,-2.2,-1.98,-30,Shetrone-13
20,-1.9,-1.75,-30,Shetrone-13
20,-1.87,-1.92,-30,Shetrone-13
6,-2.55,-0.55,-30,Shetrone-13
6,-2.47,-0.67,-30,Shetrone-13
6,-2.05,-0.8,-30,Shetrone-13
6,-2.91,-1.08,-30,Shetrone-13
6,-2.04,-0.85,-30,Shetrone-13
6,-2,-0.95,-30,Shetrone-13
6,-2.11,-0.75,-30,Shetrone-13
6,-1.9,-1.2,-30,Shetrone-13
6,-2.34,-0.78,-30,Shetrone-13
6,-1.71,-1.2,-30,Shetrone-13
6,-1.87,-1.1,-30,Shetrone-13
6,-2.63,-0.68,-30,Shetrone-13
6,-1.65,-0.83,-30,Shetrone-13
6,-2,-0.68,-30,Shetrone-13
6,-2.05,-0.73,-30,Shetrone-13
6,-1.94,-0.68,-30,Shetrone-13
6,-2,-0.93,-30,Shetrone-13
6,-1.92,-0.53,-30,Shetrone-13
6,-1.58,-0.78,-30,Shetrone-13
6,-1.92,-0.63,-30,Shetrone-13
6,-2.15,-0.98,-30,Shetrone-13
6,-2,-1.15,-30,Shetrone-13
6,-1.9,-0.69,-30,Shetrone-13
6,-1.85,-0.78,-30,Shetrone-13
6,-2.2,-0.87,-30,Shetrone-13
6,-1.95,-0.67,-30,Shetrone-13
6,-2.3,-0.95,-30,Shetrone-13
6,-2.15,-0.55,-30,Shetrone-13
6,-2.32,-0.9,-30,Shetrone-13
6,-2.2,-0.98,-30,Shetrone-13
6,-2.8,0.6,-30,Shetrone-13
6,-2.5,-1.03,-30,Shetrone-13
6,-2.2,-0.38,-30,Shetrone-13
6,-1.9,-0.4,-30,Shetrone-13
6,-1.87,-0.73,-30,Shetrone-13
