elemZ,[Fe/H]sun by mass (Asplund09),[X/Fe]sun by mass(Neutral),[X/Fe]sun by mass(Ionized),paperName
8,-1.53,  0.40 ,-30,Venn-12
11,-1.53,  -0.25 ,-30,Venn-12
12,-1.53,  0.19 ,-30,Venn-12
14,-1.53,  -30.0              ,-30,Venn-12
20,-1.53,  0.16 ,-30,Venn-12
21,-1.53,-30, 0.06 ,Venn-12
22,-1.53,  0.23 ,-30,Venn-12
22,-1.53,-30, 0.18 ,Venn-12
23,-1.53, 0.01 ,-30,Venn-12
24,-1.53, 0.00 ,-30,Venn-12
25,-1.53, -0.27 ,-30,Venn-12
27,-1.53, -0.13 ,-30,Venn-12
28,-1.53, -0.07 ,-30,Venn-12
29,-1.53, -0.47 ,-30,Venn-12
30,-1.53, 0.16 ,-30,Venn-12
39,-1.53,-30, -0.32 ,Venn-12
56,-1.53,-30, 0.16 ,Venn-12
57,-1.53,-30, 0.48 ,Venn-12
60,-1.53,-30, 0.63 ,Venn-12
63,-1.53,-30, 0.47 ,Venn-12
8,-1.75,  0.41 ,-30,Venn-12
11,-1.75,  -0.26                 ,-30,Venn-12
12,-1.75,  0.27 ,-30,Venn-12
14,-1.75,  0.60 ,-30,Venn-12
20,-1.75,  0.10 ,-30,Venn-12
21,-1.75,-30, -0.08 ,Venn-12
22,-1.75, -0.02 ,-30,Venn-12
22,-1.75,-30,  0.03 ,Venn-12
23,-1.75,  0.21 ,-30,Venn-12
24,-1.75, -0.09 ,-30,Venn-12
25,-1.75, -0.34 ,-30,Venn-12
27,-1.75, -0.27 ,-30,Venn-12
28,-1.75, -0.08 ,-30,Venn-12
29,-1.75,  -0.85                ,-30,Venn-12
30,-1.75, -0.17 ,-30,Venn-12
39,-1.75,-30, -0.46 ,Venn-12
56,-1.75,-30,  0.09 ,Venn-12
57,-1.75,-30,  0.55 ,Venn-12
60,-1.75,-30,  0.52 ,Venn-12
63,-1.75,-30,   0.63           ,Venn-12
8,-1.3,   0.09      ,-30,Venn-12
11,-1.3,  -0.72     ,-30,Venn-12
12,-1.3, -0.50 ,-30,Venn-12
14,-1.3, 0.13 ,-30,Venn-12
20,-1.3, -0.17 ,-30,Venn-12
21,-1.3,-30, -0.74 ,Venn-12
22,-1.3, -0.42 ,-30,Venn-12
22,-1.3,-30, -0.29 ,Venn-12
23,-1.3, -0.67 ,-30,Venn-12
24,-1.3, -0.20 ,-30,Venn-12
25,-1.3, -0.51 ,-30,Venn-12
27,-1.3, -0.86        ,-30,Venn-12
28,-1.3, -0.46 ,-30,Venn-12
29,-1.3, -1.60       ,-30,Venn-12
30,-1.3, -0.83 ,-30,Venn-12
39,-1.3,-30, -1.37 ,Venn-12
