elemZ,[Fe/H]sun by mass (Asplund09),[X/Fe]sun by mass(Neutral),[X/Fe]sun by mass(Ionized),paperName
46,-0.88,0.01,-30,Wu-15
46,-0.96,0.13,-30,Wu-15
46,-1.11,0.21,-30,Wu-15
46,-0.85,0.05,-30,Wu-15
46,-1.2,0.09,-30,Wu-15
46,-1,0.04,-30,Wu-15
46,-0.56,-0.1,-30,Wu-15
46,-0.73,0.08,-30,Wu-15
46,-1.1,0.33,-30,Wu-15
46,-1.48,0.18,-30,Wu-15
46,-0.71,0,-30,Wu-15
46,-1.62,0.25,-30,Wu-15
46,-1.07,0.3,-30,Wu-15
46,-0.59,-0.29,-30,Wu-15
46,-1.1,0.04,-30,Wu-15
46,-1.33,0.22,-30,Wu-15
46,-0.98,-0.1,-30,Wu-15
46,-2.63,0.34,-30,Wu-15
46,-1.54,0.24,-30,Wu-15
46,-0.31,0,-30,Wu-15
46,-1.04,0.05,-30,Wu-15
46,-1.43,0.58,-30,Wu-15
46,-1.6,0.33,-30,Wu-15
46,-1.02,0.05,-30,Wu-15
46,-1.64,0.35,-30,Wu-15
46,-1.12,0.05,-30,Wu-15
46,-1.99,0.28,-30,Wu-15
46,-1.29,0.28,-30,Wu-15
46,-0.9,0.1,-30,Wu-15
46,-2.48,0.32,-30,Wu-15
46,-1.61,0.3,-30,Wu-15
46,-0.85,0.12,-30,Wu-15
46,-0.87,-0.03,-30,Wu-15
46,-1.03,0.18,-30,Wu-15
46,-1.06,0.4,-30,Wu-15
46,-2.22,0.45,-30,Wu-15
46,-0.66,-0.25,-30,Wu-15
46,-1.42,0.23,-30,Wu-15
46,-1.81,0.15,-30,Wu-15
46,-1.49,0.39,-30,Wu-15
46,-0.42,-0.08,-30,Wu-15
46,-0.25,-0.25,-30,Wu-15
46,-0.38,-0.18,-30,Wu-15
46,-0.62,0.02,-30,Wu-15
46,-0.39,-0.1,-30,Wu-15
46,-0.52,-0.15,-30,Wu-15
46,-0.55,0.07,-30,Wu-15
46,-1.46,0.26,-30,Wu-15
46,-0.23,-0.2,-30,Wu-15
46,-0.44,-0.05,-30,Wu-15
46,-0.38,-0.11,-30,Wu-15
