elemZ,[Fe/H]sun by mass (Asplund09),[X/Fe]sun by mass(Neutral),[X/Fe]sun by mass(Ionized),paperName
6,-2.92,0.16,-30.0,Yong-13
6,-1.0,1.07,-30.0,Yong-13
6,-2.8,0.36,-30.0,Yong-13
6,-2.95,0.4,-30.0,Yong-13
6,-2.82,-30.0,-30.0,Yong-13
6,-3.32,1.18,-30.0,Yong-13
6,-3.05,0.56,-30.0,Yong-13
6,-2.28,2.0,-30.0,Yong-13
6,-2.74,-30.0,-30.0,Yong-13
6,-2.31,-0.5,-30.0,Yong-13
6,-2.65,0.58,-30.0,Yong-13
6,-2.6,2.32,-30.0,Yong-13
6,-3.0,2.72,-30.0,Yong-13
6,-2.67,2.12,-30.0,Yong-13
6,-3.04,0.11,-30.0,Yong-13
6,-4.15,-0.33,-30.0,Yong-13
6,-3.68,1.81,-30.0,Yong-13
6,-2.59,-30.0,-30.0,Yong-13
6,-4.08,0.86,-30.0,Yong-13
6,-2.93,0.3,-30.0,Yong-13
6,-2.74,-0.67,-30.0,Yong-13
6,-2.9,-30.0,-30.0,Yong-13
6,-3.28,1.31,-30.0,Yong-13
6,-2.75,-30.0,-30.0,Yong-13
6,-3.17,0.42,-30.0,Yong-13
6,-5.54,3.85,-30.0,Yong-13
6,-2.65,-30.0,-30.0,Yong-13
6,-2.39,0.41,-30.0,Yong-13
6,-3.14,-30.0,-30.0,Yong-13
6,-2.64,-0.13,-30.0,Yong-13
6,-2.7,0.37,-30.0,Yong-13
6,-2.75,0.16,-30.0,Yong-13
6,-3.02,-30.0,-30.0,Yong-13
6,-3.79,0.62,-30.0,Yong-13
6,-4.0,1.13,-30.0,Yong-13
6,-4.09,1.57,-30.0,Yong-13
6,-2.67,-30.0,-30.0,Yong-13
6,-2.32,1.82,-30.0,Yong-13
6,-3.46,0.84,-30.0,Yong-13
6,-3.05,-30.0,-30.0,Yong-13
6,-2.52,2.1,-30.0,Yong-13
6,-2.95,2.38,-30.0,Yong-13
6,-3.57,-30.0,-30.0,Yong-13
6,-3.75,1.88,-30.0,Yong-13
6,-3.75,1.98,-30.0,Yong-13
6,-3.1,1.64,-30.0,Yong-13
6,-2.56,0.56,-30.0,Yong-13
6,-3.48,0.31,-30.0,Yong-13
6,-3.3,-30.0,-30.0,Yong-13
6,-3.01,1.64,-30.0,Yong-13
6,-3.54,0.4,-30.0,Yong-13
6,-2.99,0.37,-30.0,Yong-13
6,-2.95,-30.0,-30.0,Yong-13
6,-3.58,0.25,-30.0,Yong-13
6,-3.77,0.0,-30.0,Yong-13
6,-2.86,1.49,-30.0,Yong-13
6,-2.6,2.25,-30.0,Yong-13
6,-3.41,2.14,-30.0,Yong-13
6,-3.41,2.34,-30.0,Yong-13
6,-1.68,1.14,-30.0,Yong-13
6,-2.98,0.38,-30.0,Yong-13
6,-2.95,-0.24,-30.0,Yong-13
6,-3.07,-0.54,-30.0,Yong-13
6,-2.77,1.38,-30.0,Yong-13
6,-2.7,0.59,-30.0,Yong-13
6,-1.32,1.29,-30.0,Yong-13
6,-2.4,-30.0,-30.0,Yong-13
6,-4.81,1.65,-30.0,Yong-13
6,-2.96,1.39,-30.0,Yong-13
6,-2.98,2.82,-30.0,Yong-13
6,-2.68,2.72,-30.0,Yong-13
6,-3.77,1.7,-30.0,Yong-13
6,-3.78,1.81,-30.0,Yong-13
6,-3.09,2.48,-30.0,Yong-13
6,-2.98,-0.51,-30.0,Yong-13
6,-3.47,2.22,-30.0,Yong-13
6,-3.25,0.21,-30.0,Yong-13
6,-2.79,1.63,-30.0,Yong-13
6,-2.87,1.2,-30.0,Yong-13
6,-2.89,1.42,-30.0,Yong-13
6,-3.49,1.72,-30.0,Yong-13
6,-3.48,1.92,-30.0,Yong-13
6,-3.44,1.77,-30.0,Yong-13
6,-3.53,1.66,-30.0,Yong-13
6,-2.77,0.6,-30.0,Yong-13
6,-2.84,1.57,-30.0,Yong-13
6,-3.47,2.37,-30.0,Yong-13
6,-3.86,1.14,-30.0,Yong-13
6,-3.92,1.6,-30.0,Yong-13
6,-2.71,1.55,-30.0,Yong-13
6,-3.4,-0.07,-30.0,Yong-13
6,-2.7,-0.27,-30.0,Yong-13
6,-2.93,-0.24,-30.0,Yong-13
6,-3.16,-0.52,-30.0,Yong-13
6,-3.51,0.34,-30.0,Yong-13
6,-3.75,1.31,-30.0,Yong-13
6,-3.34,0.99,-30.0,Yong-13
6,-2.65,-0.41,-30.0,Yong-13
6,-2.68,-30.0,-30.0,Yong-13
6,-2.22,1.45,-30.0,Yong-13
6,-3.69,0.52,-30.0,Yong-13
6,-5.76,4.26,-30.0,Yong-13
