# Uncorrected
# names=['KIC', 'Teff1', 'e_Teff1', '[M/H]1', 'e_[M/H]1', 'M1', 'E_M1', 'e_M1', 'R1', 'E_R1', 'e_R1', 'log.g1', 'E_log.g1', 'e_log.g1', 'rho1', 'E_rho1', 'e_rho1']
10907196 4721  87 -0.08 0.06     1.47     0.16     0.19    10.77     0.42     0.64     2.543     0.011     0.011     0.00119     0.00005     0.00005
10962775 4716  94 -0.25 0.06     1.21     0.13     0.12    10.93     0.47     0.48     2.444     0.011     0.012     0.00093     0.00003     0.00003
11177749 4591  83  0.03 0.05     1.08     0.12     0.11    10.51     0.49     0.45     2.426     0.011     0.011     0.00093     0.00003     0.00003
11231549 4451  86 -0.06 0.06     1.51     0.17     0.15    13.31     0.58     0.56     2.368     0.011     0.011     0.00064     0.00002     0.00002
11284798 4126  85 -0.04 0.06     1.22     0.17     0.14    21.76     1.14     1.05     1.848     0.013     0.013     0.00012     0.00001     0.00001
11337883 4806  85 -0.03 0.06     1.53     0.15     0.14     5.93     0.23     0.22     3.076     0.011     0.011     0.00734     0.00019     0.00020
11178396 4835 111 -0.69 0.08     0.89     0.15     0.09    10.31     0.62     0.40     2.361     0.021     0.016     0.00081     0.00002     0.00002
11284760 4609  84 -0.01 0.06     1.12     0.12     0.11    10.67     0.44     0.43     2.431     0.012     0.012     0.00092     0.00003     0.00003
11072470 4473  78  0.15 0.05     1.07     0.16     0.12    10.79     0.61     0.46     2.400     0.018     0.014     0.00085     0.00003     0.00003
11072334 4689  79  0.11 0.05     1.43     0.43     0.35     7.96     1.05     0.97     2.792     0.018     0.019     0.00284     0.00041     0.00038
11017831 4842  85 -0.03 0.06     1.04     0.25     0.15     3.97     0.42     0.27     3.257     0.012     0.012     0.01648     0.00119     0.00145
11232325 4514  78  0.14 0.05     1.32     0.14     0.14     8.79     0.36     0.37     2.670     0.012     0.012     0.00194     0.00006     0.00006
11339000 4684  85 -0.03 0.06     1.32     0.12     0.12    10.95     0.41     0.40     2.479     0.011     0.011     0.00101     0.00003     0.00003
11232225 4505  78  0.15 0.05     1.24     0.24     0.21    11.58     0.82     0.75     2.404     0.021     0.021     0.00080     0.00004     0.00004
11285650 4538  73  0.27 0.05     1.22     0.11     0.10     6.76     0.24     0.23     2.863     0.011     0.010     0.00394     0.00010     0.00010
11391750 4726  89 -0.14 0.06     1.25     0.14     0.13     7.10     0.32     0.31     2.832     0.011     0.012     0.00349     0.00012     0.00012
11018481 4257  91 -0.18 0.06     1.19     0.15     0.13    21.27     0.99     0.94     1.859     0.015     0.015     0.00012     0.00000     0.00000
11072852 4331  84 -0.02 0.06     1.36     0.18     0.15    22.76     1.19     1.09     1.857     0.013     0.013     0.00012     0.00001     0.00001
11126673 4533  89 -0.12 0.06     1.14     0.22     0.20     8.65     0.57     0.54     2.622     0.023     0.023     0.00176     0.00005     0.00005
11179815 4687  87 -0.08 0.06     1.24     0.15     0.15    10.91     0.50     0.53     2.455     0.015     0.016     0.00095     0.00003     0.00003
11018710 4478  80  0.10 0.05     1.31     0.13     0.13     9.34     0.39     0.40     2.615     0.010     0.010     0.00161     0.00005     0.00005
11126721 4376  66  0.45 0.04 -9999.00 -9999.00 -9999.00 -9999.00 -9999.00 -9999.00 -9999.000 -9999.000 -9999.000 -9999.00000 -9999.00000 -9999.00000
11180468 4554  77  0.16 0.05     1.52     0.17     0.13    10.29     0.44     0.38     2.595     0.011     0.011     0.00139     0.00004     0.00004
11127105 4647  80  0.10 0.05     1.01     0.10     0.07     4.31     0.16     0.11     3.175     0.009     0.009     0.01263     0.00031     0.00033
11180378 4555  83  0.02 0.05     0.94     0.12     0.11     9.83     0.55     0.54     2.429     0.013     0.012     0.00100     0.00005     0.00005
11127586 4778 100 -0.40 0.07     1.22     0.15     0.13     7.34     0.34     0.33     2.795     0.013     0.014     0.00310     0.00010     0.00010
11340165 4701  93 -0.22 0.06     1.05     0.12     0.10    10.51     0.45     0.41     2.415     0.013     0.012     0.00090     0.00003     0.00003
11180994 4553  82  0.05 0.05     1.33     0.16     0.15     8.28     0.37     0.36     2.726     0.014     0.014     0.00235     0.00007     0.00006
11340377 4529  96 -0.32 0.07     0.89     0.14     0.07    12.06     0.61     0.36     2.230     0.018     0.013     0.00051     0.00001     0.00001
11287844 4706  89 -0.12 0.06     1.66     0.23     0.20    11.43     0.67     0.58     2.542     0.012     0.012     0.00111     0.00005     0.00005
11287679 4943  91 -0.18 0.06     1.64     0.12     0.15    11.04     0.36     0.44     2.566     0.009     0.011     0.00122     0.00005     0.00005
11234625 4628  89 -0.14 0.06     1.04     0.11     0.10    10.30     0.42     0.40     2.431     0.010     0.011     0.00095     0.00003     0.00003
11340747 4459  69  0.37 0.04     1.15     0.16     0.14     6.15     0.31     0.29     2.922     0.017     0.016     0.00496     0.00015     0.00015
11287896 4668  84 -0.01 0.06     1.14     0.12     0.12    10.80     0.50     0.50     2.426     0.011     0.012     0.00090     0.00003     0.00003
11235672 4958  80  0.09 0.05     2.75     0.34     0.29    11.24     0.53     0.51     2.775     0.011     0.011     0.00193     0.00007     0.00007
11181828 4589 121 -0.93 0.09     1.04     0.11     0.10    10.32     0.44     0.41     2.427     0.010     0.011     0.00094     0.00003     0.00003
11181891 4870  92 -0.19 0.06     1.10     0.21     0.17    10.56     0.72     0.59     2.430     0.022     0.019     0.00093     0.00003     0.00003
11129442 4385  87 -0.09 0.06     1.08     0.16     0.13    10.20     0.56     0.49     2.454     0.016     0.015     0.00102     0.00003     0.00003
11128910 4772  88 -0.10 0.06     1.28     0.14     0.13    10.98     0.54     0.50     2.464     0.010     0.010     0.00097     0.00004     0.00004
11129153 4617  97 -0.33 0.07     0.88     0.08     0.05    10.55     0.36     0.25     2.336     0.012     0.012     0.00075     0.00003     0.00003
11182706 4522  99 -0.39 0.07     1.16     0.14     0.14    10.23     0.49     0.47     2.482     0.013     0.014     0.00108     0.00004     0.00004
11342308 4618  87 -0.08 0.06     1.18     0.13     0.12     7.93     0.33     0.32     2.709     0.013     0.012     0.00235     0.00007     0.00007
11289335 4533  77  0.16 0.05     1.16     0.13     0.13    10.66     0.51     0.51     2.445     0.011     0.011     0.00095     0.00003     0.00003
11342694 4553  74  0.24 0.05     1.29     0.12     0.12     7.75     0.30     0.30     2.767     0.011     0.010     0.00276     0.00008     0.00008
11289128 5122 112 -0.71 0.08     0.88     0.06     0.06     9.94     0.32     0.32     2.389     0.009     0.010     0.00090     0.00003     0.00003
11235816 4573  83  0.03 0.05     1.01     0.18     0.11    10.28     0.62     0.42     2.425     0.019     0.015     0.00094     0.00003     0.00003
11076453 4565  84 -0.01 0.06     1.42     0.22     0.19    10.01     0.53     0.51     2.590     0.019     0.019     0.00142     0.00004     0.00004
11129480 4624  78  0.15 0.05     1.27     0.28     0.27    10.21     0.86     0.83     2.524     0.022     0.027     0.00119     0.00004     0.00004
11129945 4681  83  0.01 0.05     1.78     0.22     0.20    11.04     0.51     0.53     2.603     0.013     0.014     0.00133     0.00005     0.00005
11236571 4582  79  0.12 0.05     1.06     0.11     0.09     4.42     0.18     0.15     3.175     0.010     0.010     0.01234     0.00034     0.00034
11289990 4556  83  0.02 0.05     1.24     0.14     0.13    10.96     0.48     0.48     2.451     0.012     0.012     0.00094     0.00003     0.00003
11236536 4526  83  0.03 0.05     1.39     0.18     0.18    10.70     0.53     0.56     2.523     0.013     0.015     0.00114     0.00005     0.00005
11289822 4456  70  0.34 0.04     1.30     0.12     0.12     8.02     0.30     0.30     2.744     0.011     0.012     0.00253     0.00007     0.00007
11289675 4520 113 -0.74 0.08     1.05     0.16     0.15    11.77     0.76     0.72     2.316     0.013     0.013     0.00064     0.00003     0.00003
11236845 4533 103 -0.47 0.07     1.10     0.13     0.11     9.41     0.45     0.42     2.534     0.011     0.011     0.00133     0.00005     0.00005
11289759 4532  82  0.05 0.05     1.22     0.26     0.21    11.41     0.87     0.73     2.410     0.025     0.024     0.00082     0.00003     0.00003
11395816 4801  92 -0.20 0.06     1.06     0.11     0.08    10.55     0.42     0.38     2.415     0.011     0.009     0.00090     0.00003     0.00003
11342804 4532  90 -0.15 0.06     1.20     0.16     0.15     8.26     0.39     0.39     2.683     0.016     0.015     0.00213     0.00007     0.00006
10651578 4690  92 -0.20 0.06     0.98     0.11     0.09    10.20     0.47     0.38     2.414     0.011     0.011     0.00093     0.00003     0.00003
10651320 4803 106 -0.56 0.07     0.85     0.07     0.05     9.81     0.33     0.27     2.384     0.011     0.011     0.00090     0.00003     0.00003
10651398 4930 107 -0.58 0.08 -9999.00 -9999.00 -9999.00 -9999.00 -9999.00 -9999.00 -9999.000 -9999.000 -9999.000 -9999.00000 -9999.00000 -9999.00000
10847321 4498  78  0.14 0.05     1.24     0.17     0.16     8.09     0.40     0.39     2.717     0.017     0.017     0.00235     0.00007     0.00007
10907410 4447  68  0.40 0.04     1.43     0.13     0.13     8.08     0.29     0.30     2.780     0.011     0.011     0.00272     0.00008     0.00007
11018922 4877  96 -0.31 0.07     1.06     0.12     0.10    10.43     0.48     0.44     2.428     0.011     0.010     0.00094     0.00003     0.00003
11018745 4454  69  0.36 0.04     1.26     0.18     0.16    11.33     0.61     0.61     2.429     0.015     0.014     0.00087     0.00004     0.00004
10848618 4604  87 -0.08 0.06     1.05     0.14     0.11    10.53     0.56     0.47     2.414     0.012     0.011     0.00090     0.00004     0.00004
10908322 4815 101 -0.43 0.07     1.34     0.16     0.15    12.32     0.55     0.54     2.383     0.013     0.013     0.00072     0.00002     0.00002
10964584 4644 103 -0.47 0.07     0.88     0.10     0.05     9.95     0.42     0.22     2.391     0.011     0.010     0.00090     0.00003     0.00003
10522111 4593  97 -0.34 0.07     0.93     0.13     0.08    10.99     0.65     0.41     2.326     0.011     0.011     0.00070     0.00003     0.00003
10586902 4538 100 -0.40 0.07     0.91     0.20     0.11     8.64     0.61     0.34     2.528     0.024     0.016     0.00142     0.00004     0.00004
10587122 4559  79  0.12 0.05     1.13     0.15     0.14    10.32     0.56     0.56     2.462     0.012     0.011     0.00103     0.00004     0.00004
10522084 4694  85 -0.02 0.06     1.55     0.15     0.19    10.86     0.35     0.55     2.558     0.012     0.014     0.00122     0.00004     0.00003
10652469 4499  99 -0.37 0.07     1.13     0.12     0.12     8.87     0.38     0.39     2.595     0.011     0.011     0.00162     0.00005     0.00005
10784013 4387  93 -0.24 0.06     1.22     0.26     0.22    16.28     1.13     1.11     2.103     0.025     0.026     0.00028     0.00001     0.00001
10849541 4363  95 -0.28 0.06     1.15     0.13     0.11    13.73     0.61     0.55     2.222     0.011     0.012     0.00044     0.00001     0.00001
