# Corrected
# names=['KIC', 'Teff2', 'e_Teff2', '[M/H]2', 'e_[M/H]2', 'M2', 'E_M2', 'e_M2', 'R2', 'E_R2', 'e_R2', 'log.g2', 'E_log.g2', 'e_log.g2', 'rho2', 'E_rho2', 'e_rho2']
10907196 4740  87 -0.08 0.06     1.50     0.13     0.20    10.88     0.33     0.72     2.543     0.011     0.011     0.00119     0.00005     0.00004
10962775 4736  94 -0.29 0.06     1.21     0.13     0.12    10.94     0.48     0.45     2.444     0.011     0.012     0.00093     0.00003     0.00003
11177749 4644  83  0.06 0.05     1.08     0.13     0.11    10.54     0.50     0.46     2.427     0.011     0.010     0.00093     0.00003     0.00003
11231549 4541  86 -0.03 0.06     1.55     0.17     0.16    13.46     0.61     0.58     2.371     0.011     0.011     0.00064     0.00002     0.00002
11284798 4283  85  0.04 0.06     1.29     0.16     0.15    22.26     1.12     1.07     1.854     0.012     0.012     0.00012     0.00001     0.00001
11337883 4802  85 -0.03 0.06     1.53     0.15     0.13     5.92     0.23     0.22     3.076     0.011     0.011     0.00734     0.00019     0.00019
11178396 4824 111 -0.81 0.08     0.86     0.17     0.07    10.19     0.67     0.36     2.359     0.021     0.016     0.00081     0.00002     0.00002
11284760 4658  84  0.02 0.06     1.14     0.12     0.12    10.72     0.44     0.45     2.433     0.012     0.012     0.00092     0.00003     0.00003
11072470 4558  78  0.23 0.05     1.10     0.17     0.14    10.90     0.64     0.51     2.403     0.018     0.015     0.00085     0.00003     0.00003
11072334 4716  79  0.16 0.05     1.61     0.50     0.40     8.41     1.18     1.07     2.794     0.018     0.019     0.00270     0.00043     0.00039
11017831 4829  85 -0.03 0.06     1.02     0.24     0.14     3.94     0.41     0.25     3.257     0.013     0.012     0.01657     0.00115     0.00140
11232325 4588  78  0.20 0.05     1.36     0.15     0.13     8.89     0.39     0.36     2.672     0.012     0.012     0.00193     0.00006     0.00006
11339000 4713  85 -0.02 0.06     1.33     0.13     0.12    10.96     0.43     0.40     2.480     0.011     0.011     0.00101     0.00003     0.00003
11232225 4581  78  0.22 0.05     1.30     0.29     0.27    11.75     0.98     0.94     2.410     0.022     0.025     0.00080     0.00004     0.00004
11285650 4606  73  0.37 0.05     1.25     0.12     0.11     6.84     0.24     0.24     2.865     0.009     0.010     0.00391     0.00011     0.00011
11391750 4744  89 -0.16 0.06     1.26     0.13     0.13     7.12     0.31     0.31     2.833     0.011     0.011     0.00349     0.00012     0.00012
11018481 4399  91 -0.14 0.06     1.24     0.15     0.14    21.59     0.98     0.95     1.864     0.014     0.015     0.00012     0.00000     0.00000
11072852 4453  84  0.04 0.06     1.41     0.20     0.18    23.06     1.29     1.24     1.861     0.013     0.013     0.00012     0.00001     0.00001
11126673 4602  89 -0.11 0.06     1.22     0.21     0.20     8.84     0.53     0.54     2.630     0.023     0.023     0.00176     0.00005     0.00005
11179815 4715  87 -0.08 0.06     1.25     0.16     0.15    10.93     0.53     0.52     2.456     0.015     0.016     0.00095     0.00003     0.00003
11018710 4561  80  0.16 0.05     1.35     0.14     0.13     9.45     0.40     0.39     2.618     0.010     0.010     0.00160     0.00006     0.00006
11126721 4486  66  0.61 0.04 -9999.00 -9999.00 -9999.00 -9999.00 -9999.00 -9999.00 -9999.000 -9999.000 -9999.000 -9999.00000 -9999.00000 -9999.00000
11180468 4617  77  0.23 0.05     1.56     0.23     0.14    10.40     0.59     0.41     2.598     0.012     0.011     0.00139     0.00004     0.00004
11127105 4686  80  0.15 0.05     1.03     0.10     0.07     4.34     0.16     0.12     3.175     0.010     0.008     0.01259     0.00031     0.00033
11180378 4618  83  0.06 0.05     0.96     0.14     0.14     9.86     0.63     0.62     2.431     0.013     0.013     0.00100     0.00006     0.00006
11127586 4782 100 -0.47 0.07     1.22     0.14     0.13     7.33     0.35     0.34     2.795     0.013     0.014     0.00311     0.00010     0.00011
11340165 4725  93 -0.26 0.06     1.06     0.12     0.10    10.54     0.44     0.40     2.417     0.012     0.012     0.00090     0.00003     0.00003
11180994 4617  82  0.10 0.05     1.38     0.16     0.15     8.39     0.36     0.37     2.730     0.014     0.015     0.00234     0.00007     0.00007
11340377 4599  96 -0.35 0.07     0.91     0.15     0.08    12.12     0.69     0.38     2.233     0.021     0.014     0.00051     0.00001     0.00001
11287844 4729  89 -0.13 0.06     1.68     0.23     0.20    11.48     0.67     0.60     2.543     0.012     0.012     0.00111     0.00005     0.00005
11287679 4903  91 -0.23 0.06     1.61     0.11     0.24    10.93     0.34     0.73     2.564     0.010     0.011     0.00123     0.00006     0.00004
11234625 4672  89 -0.14 0.06     1.06     0.11     0.10    10.35     0.41     0.39     2.432     0.011     0.010     0.00095     0.00003     0.00003
11340747 4547  69  0.50 0.04     1.29     0.16     0.16     6.40     0.30     0.30     2.935     0.015     0.017     0.00490     0.00015     0.00015
11287896 4701  84  0.01 0.06     1.14     0.13     0.12    10.81     0.52     0.50     2.426     0.012     0.012     0.00090     0.00003     0.00003
11235672 4914  80  0.10 0.05     2.72     0.27     0.32    11.17     0.51     0.50     2.773     0.011     0.011     0.00194     0.00007     0.00007
11181828 4643 121 -1.05 0.09     1.06     0.11     0.10    10.39     0.43     0.41     2.429     0.011     0.011     0.00094     0.00003     0.00003
11181891 4850  92 -0.24 0.06     1.12     0.19     0.16    10.64     0.65     0.58     2.432     0.020     0.019     0.00093     0.00003     0.00003
11129442 4493  87 -0.06 0.06     1.14     0.16     0.15    10.42     0.54     0.54     2.460     0.016     0.015     0.00101     0.00003     0.00003
11128910 4777  88 -0.11 0.06     1.28     0.15     0.13    10.99     0.54     0.51     2.464     0.010     0.010     0.00097     0.00004     0.00004
11129153 4664  97 -0.37 0.07     0.88     0.11     0.05    10.56     0.44     0.28     2.337     0.013     0.012     0.00075     0.00003     0.00003
11182706 4594  99 -0.43 0.07     1.18     0.16     0.14    10.30     0.49     0.46     2.485     0.012     0.014     0.00108     0.00004     0.00004
11342308 4664  87 -0.07 0.06     1.20     0.13     0.12     7.99     0.34     0.33     2.711     0.012     0.013     0.00235     0.00007     0.00007
11289335 4602  77  0.24 0.05     1.18     0.14     0.15    10.73     0.55     0.58     2.447     0.011     0.011     0.00095     0.00004     0.00004
11342694 4616  74  0.33 0.05     1.32     0.13     0.13     7.85     0.31     0.32     2.770     0.011     0.011     0.00275     0.00008     0.00008
11289128 5035 112 -0.88 0.08     0.87     0.07     0.09     9.89     0.35     0.40     2.384     0.013     0.014     0.00090     0.00003     0.00003
11235816 4631  83  0.06 0.05     1.03     0.19     0.11    10.32     0.66     0.42     2.427     0.020     0.015     0.00094     0.00003     0.00003
11076453 4625  84  0.02 0.06     1.50     0.23     0.20    10.20     0.56     0.52     2.597     0.019     0.020     0.00141     0.00004     0.00004
11129480 4669  78  0.21 0.05     1.33     0.31     0.39    10.36     0.88     1.17     2.529     0.023     0.038     0.00119     0.00005     0.00005
