Isotope,A,Z,YIELD,MASS,METALLICITY,IRV
H,1.0,1.0,0.94271,2.0,0.014,60.0
He4,4.0,2.0,0.39696,2.0,0.014,60.0
C12,12.0,6.0,0.0079529,2.0,0.014,60.0
C13,13.0,6.0,9.6368e-05,2.0,0.014,60.0
C14,14.0,6.0,2.6266e-10,2.0,0.014,60.0
N14,14.0,7.0,0.0023024,2.0,0.014,60.0
N15,15.0,7.0,1.6774e-06,2.0,0.014,60.0
O16,16.0,8.0,0.0082824,2.0,0.014,60.0
O17,17.0,8.0,3.6414e-05,2.0,0.014,60.0
O18,18.0,8.0,1.3152e-05,2.0,0.014,60.0
F18,18.0,9.0,0.0,2.0,0.014,60.0
F19,19.0,9.0,1.4744e-06,2.0,0.014,60.0
Ne20,20.0,10.0,0.0014585,2.0,0.014,60.0
Ne21,21.0,10.0,3.7369e-06,2.0,0.014,60.0
Ne22,22.0,10.0,0.00070797,2.0,0.014,60.0
Na22,22.0,11.0,0.0,2.0,0.014,60.0
Na23,23.0,11.0,6.6422e-05,2.0,0.014,60.0
Na24,24.0,11.0,0.0,2.0,0.014,60.0
Mg24,24.0,12.0,0.00073873,2.0,0.014,60.0
Mg25,25.0,12.0,9.6743e-05,2.0,0.014,60.0
Mg26,26.0,12.0,0.00011263,2.0,0.014,60.0
Al26,26.0,13.0,2.7234e-07,2.0,0.014,60.0
Al27,27.0,13.0,8.3395e-05,2.0,0.014,60.0
Si28,28.0,14.0,0.00094883,2.0,0.014,60.0
Si29,29.0,14.0,4.997e-05,2.0,0.014,60.0
Si30,30.0,14.0,3.4445e-05,2.0,0.014,60.0
Si31,31.0,14.0,0.0,2.0,0.014,60.0
Si32,32.0,14.0,0.0,2.0,0.014,60.0
P31,31.0,15.0,9.0839e-06,2.0,0.014,60.0
P32,32.0,15.0,0.0,2.0,0.014,60.0
P33,33.0,15.0,0.0,2.0,0.014,60.0
S32,32.0,16.0,0.00049848,2.0,0.014,60.0
S33,33.0,16.0,4.1341e-06,2.0,0.014,60.0
S34,34.0,16.0,2.367e-05,2.0,0.014,60.0
S35,35.0,16.0,0.0,2.0,0.014,60.0
S36,36.0,16.0,1.1747e-07,2.0,0.014,60.0
Cl35,35.0,17.0,5.0946e-06,2.0,0.014,60.0
Cl36,36.0,17.0,1.4318e-09,2.0,0.014,60.0
Cl37,37.0,17.0,1.9751e-06,2.0,0.014,60.0
Ar36,36.0,18.0,0.00011407,2.0,0.014,60.0
Ar37,37.0,18.0,0.0,2.0,0.014,60.0
Ar38,38.0,18.0,2.2103e-05,2.0,0.014,60.0
Ar39,39.0,18.0,2.491e-12,2.0,0.014,60.0
Ar40,40.0,18.0,4.869e-08,2.0,0.014,60.0
Ar41,41.0,18.0,0.0,2.0,0.014,60.0
Ar42,42.0,18.0,0.0,2.0,0.014,60.0
K39,39.0,19.0,4.7736e-06,2.0,0.014,60.0
K40,40.0,19.0,1.2819e-08,2.0,0.014,60.0
K41,41.0,19.0,3.9376e-07,2.0,0.014,60.0
K42,42.0,19.0,0.0,2.0,0.014,60.0
K43,43.0,19.0,0.0,2.0,0.014,60.0
Ca40,40.0,20.0,8.5591e-05,2.0,0.014,60.0
Ca41,41.0,20.0,4.1748e-09,2.0,0.014,60.0
Ca42,42.0,20.0,6.2501e-07,2.0,0.014,60.0
Ca43,43.0,20.0,1.3274e-07,2.0,0.014,60.0
Ca44,44.0,20.0,2.0495e-06,2.0,0.014,60.0
Ca45,45.0,20.0,0.0,2.0,0.014,60.0
Ca46,46.0,20.0,4.5828e-09,2.0,0.014,60.0
Ca47,47.0,20.0,0.0,2.0,0.014,60.0
Ca48,48.0,20.0,1.9857e-07,2.0,0.014,60.0
Sc45,45.0,21.0,5.952e-08,2.0,0.014,60.0
Sc46,46.0,21.0,0.0,2.0,0.014,60.0
Sc47,47.0,21.0,0.0,2.0,0.014,60.0
Sc48,48.0,21.0,0.0,2.0,0.014,60.0
Sc49,49.0,21.0,0.0,2.0,0.014,60.0
Ti46,46.0,22.0,3.4031e-07,2.0,0.014,60.0
Ti47,47.0,22.0,3.0743e-07,2.0,0.014,60.0
Ti48,48.0,22.0,3.1015e-06,2.0,0.014,60.0
Ti49,49.0,22.0,2.4929e-07,2.0,0.014,60.0
Ti50,50.0,22.0,2.5223e-07,2.0,0.014,60.0
V50,50.0,23.0,1.3108e-09,2.0,0.014,60.0
V51,51.0,23.0,5.3884e-07,2.0,0.014,60.0
Cr50,50.0,24.0,1.0425e-06,2.0,0.014,60.0
Cr51,51.0,24.0,0.0,2.0,0.014,60.0
Cr52,52.0,24.0,2.1049e-05,2.0,0.014,60.0
Cr53,53.0,24.0,2.4285e-06,2.0,0.014,60.0
Cr54,54.0,24.0,6.6236e-07,2.0,0.014,60.0
Mn55,55.0,25.0,1.8528e-05,2.0,0.014,60.0
Mn56,56.0,25.0,0.0,2.0,0.014,60.0
Fe54,54.0,26.0,0.00010025,2.0,0.014,60.0
Fe55,55.0,26.0,1.3212e-12,2.0,0.014,60.0
Fe56,56.0,26.0,0.0016392,2.0,0.014,60.0
Fe57,57.0,26.0,4.0138e-05,2.0,0.014,60.0
Fe58,58.0,26.0,7.0401e-06,2.0,0.014,60.0
Fe59,59.0,26.0,0.0,2.0,0.014,60.0
