Isotope      A            Z            YIELD [M<sub><font face='Wingdings'>&#164;</font></sub>]
H            1            1            4.37060E-01  
He4          4            2            1.79440E-01  
C12          12           6            2.54500E-03  
C13          13           6            3.34320E-04  
C14          14           6            3.80810E-08  
N14          14           7            2.64770E-04  
N15          15           7            3.92250E-08  
O16          16           8            1.78120E-04  
O17          17           8            6.52340E-07  
O18          18           8            1.71250E-06  
F18          18           9            0.00000E+00  
F19          19           9            5.85850E-08  
Ne20         20           10           3.18380E-06  
Ne21         21           10           4.54910E-08  
Ne22         22           10           8.01980E-05  
Na22         22           11           0.00000E+00  
Na23         23           11           3.18940E-07  
Na24         24           11           0.00000E+00  
Mg24         24           12           1.61750E-06  
Mg25         25           12           1.01260E-07  
Mg26         26           12           1.96830E-07  
Al26         26           13           2.89180E-10  
Al27         27           13           5.97600E-08  
Si28         28           14           2.00300E-06  
Si29         29           14           3.72990E-08  
Si30         30           14           3.75300E-08  
Si31         31           14           0.00000E+00  
Si32         32           14           1.29760E-12  
P31          31           15           3.10950E-08  
P32          32           15           0.00000E+00  
P33          33           15           0.00000E+00  
S32          32           16           1.05580E-06  
S33          33           16           1.22410E-08  
S34          34           16           6.20900E-08  
S35          35           16           0.00000E+00  
S36          36           16           9.61550E-09  
Cl35         35           17           4.45620E-09  
Cl36         36           17           1.60060E-12  
Cl37         37           17           1.77400E-09  
Ar36         36           18           2.37180E-07  
Ar37         37           18           0.00000E+00  
Ar38         38           18           1.51190E-08  
Ar39         39           18           0.00000E+00  
Ar40         40           18           1.19750E-09  
Ar41         41           18           0.00000E+00  
Ar42         42           18           0.00000E+00  
K39          39           19           3.36020E-09  
K40          40           19           1.36740E-11  
K41          41           19           4.41400E-10  
K42          42           19           0.00000E+00  
K43          43           19           0.00000E+00  
Ca40         40           20           1.77880E-07  
Ca41         41           20           3.01620E-13  
Ca42         42           20           8.39230E-10  
Ca43         43           20           2.20160E-10  
Ca44         44           20           1.66510E-09  
Ca45         45           20           0.00000E+00  
Ca46         46           20           5.02310E-10  
Ca47         47           20           0.00000E+00  
Ca48         48           20           1.55670E-09  
Sc45         45           21           1.66130E-10  
Sc46         46           21           0.00000E+00  
Sc47         47           21           0.00000E+00  
Sc48         48           21           0.00000E+00  
Sc49         49           21           0.00000E+00  
Ti46         46           22           2.41270E-10  
Ti47         47           22           9.10430E-10  
Ti48         48           22           2.09490E-09  
Ti49         49           22           3.39690E-10  
Ti50         50           22           9.29360E-10  
V50          50           23           8.64680E-13  
V51          51           23           3.89190E-10  
Cr50         50           24           6.87730E-10  
Cr51         51           24           0.00000E+00  
Cr52         52           24           1.40550E-08  
Cr53         53           24           1.61920E-09  
Cr54         54           24           6.34020E-10  
Mn55         55           25           1.21410E-08  
Mn56         56           25           0.00000E+00  
Fe54         54           26           6.60530E-08  
Fe55         55           26           0.00000E+00  
Fe56         56           26           1.07700E-06  
Fe57         57           26           2.58120E-08  
Fe58         58           26           4.02540E-09  
Fe59         59           26           0.00000E+00  
Fe60         60           26           1.10770E-09  
Co59         59           27           3.42130E-09  
Co60         60           27           0.00000E+00  
Ni58         58           28           4.54080E-08  
Ni59         59           28           7.71260E-13  
Ni60         60           28           1.85270E-08  
Ni61         61           28           9.17990E-10  
Ni62         62           28           2.92240E-09  
Ni63         63           28           0.00000E+00  
Ni64         64           28           2.17600E-09  
Ni65         65           28           0.00000E+00  
Ni66         66           28           0.00000E+00  
Cu63         63           29           8.56640E-10  
Cu64         64           29           0.00000E+00  
Cu65         65           29           7.70930E-10  
Cu66         66           29           0.00000E+00  
Cu67         67           29           0.00000E+00  
Zn64         64           30           9.47630E-10  
Zn65         65           30           0.00000E+00  
Zn66         66           30           2.46770E-09  
Zn67         67           30           4.10760E-10  
Zn68         68           30           1.16480E-09  
Zn69         69           30           0.00000E+00  
Zn70         70           30           6.09710E-10  
Ga69         69           31           2.21650E-10  
Ga70         70           31           0.00000E+00  
Ga71         71           31           1.86990E-10  
Ga72         72           31           0.00000E+00  
Ga73         73           31           0.00000E+00  
Ge70         70           32           9.79040E-11  
Ge71         71           32           0.00000E+00  
Ge72         72           32           4.65090E-10  
Ge73         73           32           2.61810E-10  
Ge74         74           32           4.48380E-10  
Ge75         75           32           0.00000E+00  
Ge76         76           32           7.64110E-10  
Ge77         77           32           0.00000E+00  
As75         75           33           1.63200E-10  
As76         76           33           0.00000E+00  
As77         77           33           0.00000E+00  
Se76         76           34           4.67530E-11  
Se77         77           34           3.18260E-10  
Se78         78           34           9.09220E-10  
Se79         79           34           3.41770E-11  
Se80         80           34           7.14290E-10  
Se81         81           34           0.00000E+00  
Se82         82           34           2.46680E-09  
Br79         79           35           1.77310E-10  
Br80         80           35           0.00000E+00  
Br81         81           35           1.77170E-10  
Br82         82           35           0.00000E+00  
Br83         83           35           0.00000E+00  
Br84         84           35           0.00000E+00  
Kr80         80           36           2.71500E-12  
Kr81         81           36           0.00000E+00  
Kr82         82           36           6.33380E-11  
Kr83         83           36           4.36110E-10  
Kr84         84           36           6.53780E-10  
Kr85         85           36           0.00000E+00  
Kr86         86           36           4.70170E-09  
Kr87         87           36           0.00000E+00  
Kr88         88           36           0.00000E+00  
Rb85         85           37           4.31000E-10  
