Isotope      A            Z            YIELD 
H            1            1            2.75910E+00  
He4          4            2            1.30550E+00  
C12          12           6            6.48750E-03  
C13          13           6            2.75560E-04  
C14          14           6            6.02450E-08  
N14          14           7            9.98570E-03  
N15          15           7            4.98870E-06  
O16          16           8            2.24170E-02  
O17          17           8            6.75830E-05  
O18          18           8            3.47220E-05  
F18          18           9            0.00000E+00  
F19          19           9            1.63200E-06  
Ne20         20           10           4.40440E-03  
Ne21         21           10           1.82570E-05  
Ne22         22           10           3.74650E-04  
Na22         22           11           0.00000E+00  
Na23         23           11           2.16130E-04  
Na24         24           11           0.00000E+00  
Mg24         24           12           2.20030E-03  
Mg25         25           12           2.72570E-04  
Mg26         26           12           3.55600E-04  
Al26         26           13           3.93800E-07  
Al27         27           13           2.52370E-04  
Si28         28           14           2.86520E-03  
Si29         29           14           1.50730E-04  
Si30         30           14           1.02870E-04  
Si31         31           14           0.00000E+00  
Si32         32           14           0.00000E+00  
P31          31           15           2.67550E-05  
P32          32           15           0.00000E+00  
P33          33           15           0.00000E+00  
S32          32           16           1.50640E-03  
S33          33           16           1.22870E-05  
S34          34           16           7.10690E-05  
S35          35           16           0.00000E+00  
S36          36           16           3.07120E-07  
Cl35         35           17           1.54340E-05  
Cl36         36           17           1.14020E-09  
Cl37         37           17           5.24830E-06  
Ar36         36           18           3.45570E-04  
Ar37         37           18           0.00000E+00  
Ar38         38           18           6.63640E-05  
Ar39         39           18           2.28430E-11  
Ar40         40           18           1.17390E-07  
Ar41         41           18           0.00000E+00  
Ar42         42           18           0.00000E+00  
K39          39           19           1.43180E-05  
K40          40           19           1.94120E-08  
K41          41           19           1.09050E-06  
K42          42           19           0.00000E+00  
K43          43           19           0.00000E+00  
Ca40         40           20           2.59110E-04  
Ca41         41           20           3.08020E-09  
Ca42         42           20           1.82020E-06  
Ca43         43           20           3.88790E-07  
Ca44         44           20           6.13560E-06  
Ca45         45           20           0.00000E+00  
Ca46         46           20           1.24450E-08  
Ca47         47           20           0.00000E+00  
Ca48         48           20           5.99850E-07  
Sc45         45           21           1.70110E-07  
Sc46         46           21           0.00000E+00  
Sc47         47           21           0.00000E+00  
Sc48         48           21           0.00000E+00  
Sc49         49           21           0.00000E+00  
Ti46         46           22           1.01020E-06  
Ti47         47           22           9.29680E-07  
Ti48         48           22           9.40890E-06  
Ti49         49           22           7.09790E-07  
Ti50         50           22           6.95900E-07  
V50          50           23           3.99000E-09  
V51          51           23           1.62720E-06  
Cr50         50           24           3.17360E-06  
Cr51         51           24           0.00000E+00  
Cr52         52           24           6.36820E-05  
Cr53         53           24           7.36020E-06  
Cr54         54           24           1.87970E-06  
Mn55         55           25           5.56670E-05  
Mn56         56           25           0.00000E+00  
Fe54         54           26           3.04660E-04  
Fe55         55           26           3.19920E-12  
Fe56         56           26           4.96140E-03  
Fe57         57           26           1.17250E-04  
Fe58         58           26           1.63520E-05  
Fe59         59           26           0.00000E+00  
Fe60         60           26           7.15450E-09  
Co59         59           27           1.47430E-05  
Co60         60           27           0.00000E+00  
Ni58         58           28           2.09440E-04  
Ni59         59           28           3.16480E-08  
Ni60         60           28           8.35670E-05  
Ni61         61           28           3.73040E-06  
Ni62         62           28           1.20100E-05  
Ni63         63           28           1.84870E-11  
Ni64         64           28           3.18300E-06  
Ni65         65           28           0.00000E+00  
Ni66         66           28           0.00000E+00  
Cu63         63           29           2.55820E-06  
Cu64         64           29           0.00000E+00  
Cu65         65           29           1.18430E-06  
Cu66         66           29           0.00000E+00  
Cu67         67           29           0.00000E+00  
Zn64         64           30           4.34850E-06  
Zn65         65           30           0.00000E+00  
Zn66         66           30           2.58570E-06  
Zn67         67           30           3.86970E-07  
Zn68         68           30           1.79850E-06  
Zn69         69           30           0.00000E+00  
Zn70         70           30           6.05750E-08  
Ga69         69           31           1.69870E-07  
Ga70         70           31           0.00000E+00  
Ga71         71           31           1.16610E-07  
Ga72         72           31           0.00000E+00  
Ga73         73           31           0.00000E+00  
Ge70         70           32           2.02990E-07  
Ge71         71           32           0.00000E+00  
Ge72         72           32           2.71240E-07  
Ge73         73           32           7.67830E-08  
Ge74         74           32           3.64770E-07  
Ge75         75           32           0.00000E+00  
Ge76         76           32           7.54200E-08  
Ge77         77           32           0.00000E+00  
As75         75           33           5.11330E-08  
As76         76           33           0.00000E+00  
As77         77           33           0.00000E+00  
Se76         76           34           5.52320E-08  
Se77         77           34           4.45550E-08  
Se78         78           34           1.43950E-07  
Se79         79           34           1.03410E-09  
Se80         80           34           3.05150E-07  
Se81         81           34           0.00000E+00  
Se82         82           34           5.05370E-08  
Br79         79           35           5.06410E-08  
